Q8BH24,Tm9sf4
Q8BH21,Ubp1
B2KGR2,Lancl1
Q6IQZ4,Ctr9
Q6IQZ1,Ddx54
Q8BMH2,Rnpep
Q8K0Z7,Taco1
Q3TDY6,Tpp1
Q8K0Z2,Mphosph10
Q8K0Z3,Pak2
F6WZH1,Mbd3
Q3TDY8,Otud5
O70250,Pgam2
Q8C929,Mier1
O35841,Api5
E9Q3P4,Cenpf
A0A087WRQ4,Sumo1
Q149Z9,Hist1h1d
A0A1B0GSG9,Uevld
A0A087WRQ0,Cspp1
E9QPK4,Atr
Q07968,F13b
B7ZP01,Stap1
Q8BJT4,Lpcat1
A0A1Y7VIQ5,Bicd2
Q8BJT9,Edem2
Q9CXG2,Rab22a
Q9CXG3,Ppil4
Q543W6,Chek2
E9QB04,Cyp4f16
E9QB01,Ncam1
F8WI46,Tbl2
O55042,Snca
A0A1B0GST7,Inppl1
Q3TQ19,Rasal1
A0A1B0GST1,Bcat2
P01942,Hba
M4KB43,Kmt2e
P03899,ND3
O35157,Slc8a1
Q9CRN1,Atrip
O35153,Bet1l
A0A2Z4SWZ5,H2-Eb1
A0A1W2P6R4,Uhrf1bp1l
A0A2Z4SWZ8,H2-Ab1
A0A1W2P6R7,Scfd1
Q9CRN9,D6Wsu163e
Q9CRN8,Dync1i2
A2AHF0,Slx4ip
P52479,Usp10
Q9QYH6,Maged1
A0A2X0SG59,Tagap
Q8BTW3,Exosc6
Q8BTW8,Cdk5rap1
Q5EBH1,Rassf5
A0A087WSM9,Nav1
Q3UWK8,Serpinb6c
A0A087WSM4,Dap
A0A087WSM7,Nmnat3
Q0PNF0,Gulp1
A0A087WSM3,Ggt5
Q8CEB1,Entpd1
Q80YU0,Abhd16b
A2AQY8,Kyat1
Q3UJE5,Nup98
Q80YU9,Rbbp9
A0A0E3WJP9,Katnal2
A0A0G2JGA9,Sycp1
A0A0G2JGA8,Cdk6
UNM21,Gm29376
Q3TRF3,Mettl13
F6VSQ9,Usp48
A0A0G2JGA1,Znhit6
A0A0G2JGA0,Hvcn1
Q3TGS1,Ehd1
A0A140LIA3,Zfp28
Q3UX91,Spin1
