,,AgedHSC,AgedMPPa,AgedMPPb,AgedMPPc,CLP,CMP,GMP,HSC,MEP,MPPa,MPPb,MPPc
A0A068BER1,Tap1,189.05345059640968,249.83105976634678,293.93075289473427,255.11380638672196,156.80529368522352,196.94669900249093,125.9390616963897,35.99522231108983,21.9401371081036,218.15034705211698,223.0231126820713,145.64053848642703
A0A068BFS4,Ring1,2.052696936206908,3.742328611271206,4.8327642072937165,99.00702315289973,0.17171087596965812,47.17152461672045,33.26387486960541,0.5295038665341207,1.8889370636216214,0.28267517909595025,66.24244591733978,68.96776898004273
A0A068BGR9,Ndufa7,12.263336071991963,24.157669274874564,26.912624521031333,3.8747209162434335,2.9419198331708993,1.4738987157237518,0.1823865680007217,0.5390684864516132,0.3719558321339729,0.3343240631312779,1.1969910269488286,0.04326223124319759
A0A068BIU7,Wdr46,221.13385961216537,262.73944770955137,212.58744937228468,250.55507677671002,29.990670621820808,171.68072160390486,202.7089069430178,0.0,275.7714897183632,63.09489898255106,107.57963853150436,145.6937414450981
A0A075DCG2,COX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0033081441402275,0.0,0.0,0.0,0.0,0.0
A0A076N1C3,Kidins220,0.0,0.0,0.0,0.0,0.0,0.00531307990241665,0.0,0.0,0.010291559194692905,0.0,0.0035093016996248683,0.0
A0A087WNL5,Msl2,0.0,0.0,0.0,0.0,0.0,0.005088579682182776,0.0,0.0,0.0,0.0,0.0,0.0
A0A087WNM5,Aamp,103.54293313750904,205.45749943268424,237.58597331445944,239.92978650720812,156.23671705408518,170.83564719797175,189.57531196959894,19.860706225274846,193.9895235966597,175.59893789483337,139.99627895304857,140.7070350409659
A0A087WNQ8,Ogfrl1,0.0,0.0,0.0,0.0,0.0,0.0,0.016111175046540287,0.0,0.0,0.0,0.003814747019964883,0.043129960463268106
A0A087WNW0,Nop58,902.4911021815326,700.3437821561605,643.0565965735427,680.3192474240276,621.470373893466,876.9130752036801,591.220142044903,532.1940675615,641.273877499339,587.6941112442948,850.6715755000823,1065.0450102851275
A0A087WNY4,Ikzf2,0.0,2.89116062108346,4.6407285360880906,2.3055685176046277,0.0,0.03611687275852907,0.0031263361080664355,0.0,0.0,0.009764715263284589,0.14386643552643105,0.03437440038836353
A0A087WP49,Dgkd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008056571491125163,0.0,0.0
A0A087WP62,Pik3r4,0.0,30.44439489412611,0.0,24.069853206730393,0.28311952404594465,20.761618530152127,147.02850385456998,0.0,2.1695908941222575,0.00621737470732048,0.03643556424107111,12.306721785026312
A0A087WP81,Uchl5,256.9352558245299,289.065011303432,345.0401269776953,318.417881416431,295.37050964992403,268.81479614439365,266.99068749974145,370.60586494565507,365.0149361136753,395.1196581839068,285.4113310165146,318.8434771539192
A0A087WP83,Hdlbp,369.8061731065449,449.7631572970036,566.1667356885698,449.94893891366036,375.23983528668674,516.7675929241727,1072.8711078399213,260.86265826886057,727.0040650429828,385.11532575272145,381.3510990328253,364.6984467423466
A0A087WP85,Ktn1,212.9163583822897,314.12917384528055,48.0667214745342,231.01570352990856,20.556175951619377,277.01085825293285,236.97775012077557,30.367191807883106,471.0929855860301,316.06523791288424,286.20507586592095,257.7772792942623
A0A087WP86,Actr3,1098.5563099860508,767.2940313250518,1012.6846579714015,834.460857036811,1210.7223902797612,1501.5269622475028,1477.1691225783934,1518.8490770652484,957.4013381707658,1313.108327988793,1219.1311541317198,1651.2769962505465
A0A087WP87,Rnf2,125.17180316458924,215.962541157651,275.2565073398166,204.11278928168542,2.857271866023542,130.33680735031936,103.56824722091523,0.08584090077431816,0.522503458164245,19.14232617297294,81.34118327917344,130.5763858129819
A0A087WP89,Phip,145.19833185786405,240.88778531861666,253.12818899062776,209.04959820522748,222.52851265997876,112.69493713654096,111.79139450664634,0.017470413333260812,23.48547030348773,0.06622884833078474,70.36187186946259,130.35218668410317
A0A087WPD2,Rbm15b,0.0,0.4889559535512779,0.0,2.0359215679984612,1.693367923656856,0.0,0.004085788886587502,0.0,0.05536471547474136,0.04904947050073481,0.021234695776611863,0.24731426050887031
A0A087WPD3,Pknox2,0.006304843462590333,0.40678892082007845,0.0,0.3732873381861923,0.007329030769342889,0.0,0.002742720578134269,0.0,0.0,0.005683573465336813,0.0,0.0
A0A087WPG6,D2hgdh,0.005550990353496746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A087WPH0,Ncf2,0.14168404991410982,41.78517500017296,98.84286674737085,114.42169996703396,9.924178767632956,87.65446390692588,241.1611304907351,0.012035916817344972,0.0,0.05066448784448788,49.08098223615542,121.47813012447894
A0A087WPJ6,Rad54l2,0.0,0.0,0.0,0.0,0.0,0.03863820332157921,0.019507520523795396,0.0,0.009195895007774044,0.0,1.1509936526001079,1.138851435242581
A0A087WPL0,Runx1,226.43753043639848,255.93552391976263,276.0102331726756,224.70383621958965,140.6659751472189,155.9930823097259,91.5993894364578,6.87499369129862,78.32297448039337,126.5768468275224,143.94490809328184,96.03677009393658
A0A087WPL1,Pdlim2,67.82679456047825,134.52146442500919,22.378597540246112,153.47819615294085,60.27939463817781,61.42653798664559,0.0030149940026847864,0.8057332131689776,0.0,145.1647110074845,12.618482967093906,90.93129831987602
A0A087WPL4,Bap1,0.0,0.0,0.0,0.0,0.0,0.0,0.019470372087078296,0.0,0.0,0.0,0.0,0.0
A0A087WPM0,2700094K13Rik,0.0,0.0,2.952218844535447,0.0,0.41607293932738265,1.5968621692231082,0.02826774150854328,0.015021717900305669,0.05194996494706537,9.324526152172869,1.375096677052162,8.638760322436804
