gene_id,HSC,MPPa,MPPb,MPPc
0610005C13Rik,1.835732447,0.218969303,0.123926685,0.093620406
0610007P14Rik,110.0318402,112.805329,92.36966944,92.79937017
0610009B22Rik,73.30225628,77.98508883,89.6085611,103.9818976
0610009L18Rik,29.45470267,23.81072158,19.30974069,15.39513863
0610009O20Rik,67.08109262,74.11177559,64.47234943,41.46047535
0610010B08Rik,7.980817654,3.944668508,3.741933355,1.108925393
0610010F05Rik,16.98706627,35.09186513,28.26769477,14.93786563
0610010K14Rik,103.7038633,127.0503736,118.2616627,154.9484071
0610011F06Rik,66.81004215,55.84279138,59.77418528,48.15126286
0610012G03Rik,20.88456883,30.76034024,23.01083679,36.4767211
0610030E20Rik,44.21809166,51.16048355,43.28457487,29.44543807
0610031O16Rik,0,0,0,0
0610037L13Rik,48.82831281,68.41941188,67.09065261,75.61210814
0610038B21Rik,4.376413529,0.844366907,3.368343392,3.637075917
0610039H22Rik,15.2331783,5.657669898,7.210261229,9.844167446
0610039K10Rik,7.696864519,4.217650469,2.916878691,1.287235032
0610040B10Rik,5.74225269,5.983506776,9.651039243,5.735611539
0610040F04Rik,0,0,0,0.237828863
0610040J01Rik,1.426285543,0.204103886,1.016194346,0.324896502
0610043K17Rik,23.72246963,7.359498703,5.541111215,1.040986582
1010001N08Rik,0,0,0,0
1110001J03Rik,230.5455589,308.4266455,301.5234694,408.4326395
1110002L01Rik,5.057915234,2.77335651,2.46693808,2.347039981
1110004E09Rik,70.27509278,76.31485536,85.745306,77.75041323
1110004F10Rik,149.6099353,153.3360261,123.2661064,145.1958596
1110006O24Rik,5.531343757,2.520118811,1.459769271,6.907570784
1110008F13Rik,198.5400988,237.1392268,251.0322452,194.6578108
1110008L16Rik,38.42867099,41.07598255,43.18018514,40.3453441
1110008P14Rik,9.090990289,5.632542892,10.80774008,12.90666983
1110012L19Rik,40.45150625,30.32203118,30.43900114,37.78808441
1110015O18Rik,0,0,0,0
1110017D15Rik,0.710787917,1.250691624,0,0
1110019D14Rik,20.29711951,12.92545842,8.529413359,6.754212818
1110020A21Rik,2.596743866,3.529089092,4.397062417,5.418788729
1110025L11Rik,0,0,0,0
1110028F11Rik,0.572124451,0.263442294,0.54233596,0.035072725
1110028F18Rik,0,0,0,0
1110032A03Rik,23.18105399,17.69585779,19.32020054,16.77412859
1110032F04Rik,0.25509465,0,0,0.033472329
1110034G24Rik,2.833599915,1.820341878,3.340471334,4.082706595
1110036E04Rik,0,0,0,0
1110037F02Rik,41.66024484,45.29035362,40.27021705,39.39944823
1110038B12Rik,355.0808443,282.4922283,362.5580563,433.9461812
1110038F14Rik,66.29535346,64.00782435,75.10882771,80.91830388
1110046J04Rik,1.677136019,3.561340316,1.117988946,0.491138629
1110051M20Rik,28.96246367,18.62230021,17.31005104,18.6388393
1110058D11Rik,0.881611155,2.635124054,2.959929015,0.965875093
1110059E24Rik,50.51511165,53.0435389,57.80163695,56.12759812
1110059G10Rik,15.23079155,14.70008996,11.15385466,4.253021845
1110065P20Rik,17.71601953,4.819680862,19.20491253,25.26348497
1190002N15Rik,24.70576607,39.20853263,26.03208433,16.04918361
1190003K10Rik,0,0,0,0
1190005I06Rik,8.378389855,0.643183498,0.553378306,1.208700028
1190007I07Rik,23.72601432,23.98961863,24.87669881,62.94122048
1300002E11Rik,85.22847704,33.16267198,23.47912911,24.85920981
1300017J02Rik,1.460574491,0.296950999,0.074439898,0
1500004A13Rik,5.222459649,2.850071905,3.532444046,8.359198671
1500009C09Rik,0,0,0,0
1500009L16Rik,17.5478359,20.66640814,19.33003406,16.0817146
1500011B03Rik,68.52472587,80.78185348,68.13204455,50.07291967
1500011K16Rik,46.19862698,54.64908898,34.74361601,75.91430213
1500012K07Rik,0,0,0,0
1500015A07Rik,21.26250346,14.24723844,12.39285636,16.91847642
1500015L24Rik,0.438952887,0,0,0
1500015O10Rik,2.19435089,1.684613075,1.901966251,0.131053485
1500017E21Rik,1.85800254,3.128685392,0.5554661,0
1500026H17Rik,0.483781374,0.263577993,0,0.087664603
1600002D24Rik,0,0,0.239703872,0
1600002H07Rik,14.13335616,20.60916561,19.13127601,16.4934982
1600002K03Rik,28.31591259,35.18142673,16.28341981,24.10127827
1600010M07Rik,0,0,0,0.49650253
1600012H06Rik,22.11216516,21.12909787,16.70456973,22.26584208
1600014C10Rik,19.66708667,18.47601626,17.67103072,21.23929366
1600014C23Rik,0,0,0,0
1600015I10Rik,0,0,0,0
1600019K03Rik,0,0,0,0
1600020E01Rik,55.75132469,56.74700172,47.79045314,54.83563867
1600023N17Rik,2.506401586,1.504399747,1.557734856,1.219721419
1600025M17Rik,0,0,0,0
1600027J07Rik,0,0,0,0
1600029I14Rik,0,1.0562864,1.092599276,2.471325906
1600029O15Rik,1.851912766,0.96830117,0.922577636,0
1700001C02Rik,0,0,0,0
1700001C19Rik,4.597034907,2.454055819,2.011485692,1.791178519
1700001D01Rik,0.528879258,1.32695921,1.519622166,0
1700001F09Rik,0,0,0,0
1700001G01Rik,0,0,0,0
1700001G11Rik,0,1.652872985,0.09562141,0.9068165
1700001G17Rik,7.521189784,1.209533995,3.808617514,5.53166856
1700001J03Rik,0,1.449654086,0.862192354,0.793911359
1700001J11Rik,0.651211165,1.088410971,0.529846773,0.038079142
1700001K19Rik,1.444465065,0.463488089,0.424903778,0.838433932
1700001K23Rik,0.925768515,3.130811349,0.408700404,0
1700001L05Rik,6.107284655,5.874087826,4.865229475,2.656101248
1700001L19Rik,0,0,0,0
1700001O22Rik,0.097529017,0.985195745,1.825114533,5.760279747
1700001P01Rik,4.775001873,0.874878917,3.512609998,0.995848148
1700003C15Rik,0,0,0,0.916498182
1700003D09Rik,0,0,0,0
1700003E16Rik,1.529844782,0,0,0
1700003E24Rik,0,0,0,0
1700003F12Rik,0,0,0,0.545096539
1700003G13Rik,0,0,0,0
1700003G18Rik,0,0.406354118,0.095687593,0.121713649
1700003H04Rik,0,0,0,0
1700003I22Rik,0,0,0,0
1700003L19Rik,0,0,0,0
1700003M07Rik,0.114750529,0,0,0
1700003P14Rik,0,0,0,0
1700006A11Rik,0,0,0,0
1700006E09Rik,0,0,0,0
1700006F04Rik,0,0,0,0
1700006H21Rik,0,0,0,0
1700007B14Rik,0.395362678,0,0.102473134,0
1700007F19Rik,0,0,0,0
1700007G11Rik,0,0,0,0
