,,AgedHSC,AgedMPPa,AgedMPPb,AgedMPPc,CLP,CMP,GMP,HSC,MEP,MPPa,MPPb,MPPc
A0A068BER1,Tap1,167.6750761,177.0425842,175.0411916,172.7346627,163.3988617,171.1041775,114.9385832,144.3419718,107.6502816,186.4004819,189.2613577,138.8396804
A0A068BFS4,Ring1,44.43225034,32.78995054,30.04080556,44.16540233,7.327827392,44.65103681,31.71869397,25.84861285,31.02317862,17.65777286,58.81656219,59.43938267
A0A068BGR9,Ndufa7,53.10095268,55.86495733,42.77277175,40.66868576,60.70105027,44.784421,26.56743142,54.7142837,28.28230116,32.97994973,43.1387807,55.04429876
A0A068BIU7,Wdr46,202.6245692,218.3575593,129.6855531,172.5054246,141.3663362,157.8994705,181.5847424,0,232.7807843,88.65284289,136.1834328,131.5146498
A0A075DCG2,COX3,0,0,0,0,0,0,2.81212636,0,0,0,0,0
A0A076N1C3,Kidins220,0,0,0,0,0,13.58445705,0,0,11.84889333,0,7.794633859,0
A0A087WNL5,Msl2,0,0,0,0,0,4.472707569,0,0,0,0,0,0
A0A087WNM5,Aamp,90.96021337,120.1485204,135.6977533,155.8312525,138.0448802,161.4931106,164.082163,80.08535514,173.2809352,154.3913066,120.0548313,117.0635918
A0A087WNQ8,Ogfrl1,0,0,0,0,0,0,2.982846442,0,0,0,7.074980463,24.99257083
A0A087WNW0,Nop58,790.1530881,756.7488992,591.9348002,740.042148,524.2459742,863.5620769,536.8984945,369.4749763,605.9691023,516.473951,712.9171929,884.6676383
A0A087WNY4,Ikzf2,0,17.59400068,26.75792996,8.561260175,0,18.10646646,1.353652754,0,0,15.28090732,13.26949852,19.4779631
A0A087WP49,Dgkd,0,0,0,0,0,0,0,0,0,5.05471991,0,0
A0A087WP62,Pik3r4,0,125.2084764,0,86.13569969,30.84379152,106.1324768,158.8093392,0,63.56276714,1.067671763,30.90242624,103.2667181
A0A087WP81,Uchl5,226.506644,200.8215982,217.281676,233.5382068,247.9411973,229.6789547,231.1707749,268.531737,304.7521126,330.3342085,239.7110459,263.7151987
A0A087WP83,Hdlbp,332.0098642,405.1465876,458.4084133,420.2451297,322.816946,448.1721712,927.9066892,185.7493015,600.2735541,324.0680988,321.4599006,302.8775461
A0A087WP85,Ktn1,200.4371842,233.1031745,137.2330283,146.5358597,94.06768041,237.200774,226.0524798,121.8604789,392.3450855,266.7371378,261.5473835,232.2163569
A0A087WP86,Actr3,965.0385065,883.223515,1119.431462,993.0236182,992.2231823,1278.86519,1307.28343,1060.228955,790.0554325,1098.981886,1030.638349,1363.601438
A0A087WP87,Rnf2,127.6239871,131.3775497,159.0642989,122.8936879,55.61700175,122.0613593,91.46825403,20.12362191,59.56755902,95.79628852,85.37215731,109.3140364
A0A087WP89,Phip,160.1588163,168.278053,204.6929448,139.3793641,211.8342345,114.7391797,109.6976738,29.07507062,125.600575,27.76923183,65.92052441,132.2382377
A0A087WPD2,Rbm15b,0,8.623603009,0,6.511020662,31.68721336,0,8.082119624,0,11.86672049,11.25776745,13.1528194,30.18789596
A0A087WPD3,Pknox2,1.527751014,3.05398763,0,1.343053827,1.027328125,0,0.617138529,0,0,0.623052112,0,0
A0A087WPG6,D2hgdh,1.105052094,0,0,0,0,0,0,0,0,0,0,0
A0A087WPH0,Ncf2,7.980529196,16.02425087,44.13738666,51.28547381,40.41666842,80.83185186,213.7804363,3.108685326,0,11.34632206,42.20706198,100.3781988
A0A087WPJ6,Rad54l2,0,0,0,0,0,29.55033175,7.864430003,0,6.030519925,0,43.05981735,47.57723534
A0A087WPL0,Runx1,201.925173,167.6980736,155.7920363,139.5670342,137.6651613,149.298393,80.61866053,120.9366718,81.79961813,116.7286904,121.8717386,88.1568954
A0A087WPL1,Pdlim2,94.3244026,65.29591267,45.77953439,83.65276876,71.26946245,61.76318685,1.611561941,62.79718512,0,123.9020975,63.93660252,82.79026174
A0A087WPL4,Bap1,0,0,0,0,0,0,8.964421837,0,0,0,0,0
A0A087WPM0,2700094K13Rik,0,0,6.829552468,0,54.22296283,52.31573149,25.23331893,11.09993361,17.28036339,59.75498315,39.40383514,44.93153289
A0A087WPM3,Ilkap,91.4138223,60.10949334,51.84014384,83.66647505,100.1796035,83.61742186,71.72966544,23.86165838,136.1650219,82.34608101,75.17545805,101.2416199
A0A087WPQ2,Cdc73,59.25862925,88.17961139,41.38476065,76.00317841,59.04977076,97.52218926,121.9159508,0,116.7624661,36.01732803,72.84754122,72.37788648
A0A087WPR5,Ptpn18,73.93104154,78.90566748,103.5149115,98.30706781,146.965708,58.28702825,62.47259765,102.650278,51.61173142,76.68388263,66.09214586,88.45377235
A0A087WPR9,Fam134a,1.178778441,0,0,0,0,0,2.354191761,0,3.371323375,0,0,0
A0A087WPT0,Lrrfip1,304.5572447,282.6853777,385.8566923,359.1655086,431.7510462,365.8558117,195.1364473,235.7188782,101.8633808,177.008441,193.8636292,394.1044686
A0A087WPT2,Ptgs2,364.3001101,388.7534871,348.3213985,376.6426423,202.8664172,237.6751962,241.1348762,175.9816113,195.5804929,197.9106812,355.7809639,202.1175986
A0A087WPT3,Twf2,74.28003482,153.4912488,174.550999,216.5527664,237.8509801,248.3652451,290.947045,151.6863045,130.8189663,249.3891515,168.5200431,337.7648516
A0A087WPV1,Ube2t,0,10.02172876,6.856821078,0,3.984053577,7.529691223,6.583242088,0,6.000657758,0,9.695100583,16.66865138
A0A087WPZ0,Fbxl19,0,0,0,0,0,0,4.544674636,0,0,0,0,0
A0A087WPZ6,Ppil3,90.50075233,94.94846926,97.74599226,63.52679133,52.20206356,125.1131615,114.7436901,125.0015101,192.8843329,151.099956,107.9051452,87.44328113
A0A087WQ01,Peak1,0,0,0,0,0,0,0,0,0,0,0,50.91830646
A0A087WQ23,Trmt1l,53.04392295,137.5643233,101.0030541,104.632508,93.40876209,80.41335679,95.1780263,13.46969405,110.5679175,31.53081183,60.25174515,73.43849008
A0A087WQ57,Taf9,13.426066,47.45166127,13.51772485,48.95537433,81.68070468,47.94194827,57.28459639,0,51.85279467,6.744324458,26.88564263,28.84590366
A0A087WQ60,Cops5,131.1627359,154.6465811,98.53353876,134.6784384,118.2468992,135.3656144,149.9655213,97.14553444,101.0871864,102.0195119,120.7524931,137.3036974
A0A087WQ63,Tardbp,662.2906462,683.0451626,620.2863458,629.1615405,618.3886238,432.4902309,529.644432,474.9580169,487.3069069,557.090437,434.8770584,457.6094362
A0A087WQ64,Kansl3,5.993116635,7.114970596,0,1.031379904,22.48661686,26.52163936,20.79181848,0,4.041080878,0,5.244733925,8.570430714
A0A087WQ92,Hdac4,0,8.048296813,0,0,0,0,8.899192376,0,0,0,12.08263872,21.42020314
A0A087WQE4,Usp37,0,0,0,0,0,10.71819725,60.80967268,0,0,0,0,0
A0A087WQF3,Tgfbrap1,0,0,0,0,0,0,4.091259175,0,0,1.971693145,0,0
A0A087WQF7,Slc39a10,8.265019347,61.75468327,38.87678868,55.59372254,23.85200619,48.57560787,36.49340107,15.49239589,0,3.414191228,15.65907452,44.56597175
A0A087WQH8,Slc35a4,0,0,0,0,0,0,0,30.48643737,0,0,19.49096934,0
A0A087WQN7,Xrn1,83.11752626,152.7120927,47.85632405,44.07851787,36.18480027,98.77395591,120.8386103,0,84.71933325,18.0899479,72.0947167,80.30909499
A0A087WQS0,Tns1,19.62587197,36.79970535,57.28701871,0,63.36383647,74.80760017,20.76625972,0,85.92356041,0,25.03699436,55.91965668
A0A087WQS3,Gorab,0,0,0,0,0,0,3.382622398,5.139640937,0,0,17.13287895,1.884566778
A0A087WQS4,Tuba4a,305.502389,306.6728637,317.4967112,227.8716295,320.1271304,328.3289536,649.735811,508.1643672,334.1498676,339.186465,584.029718,313.9026699
A0A087WQV7,Ddx3y,1.372726524,0,0,0,0,7.032751758,32.49019045,160.4454793,102.5453551,0,0,39.14765735
A0A087WQX1,Cep70,0,0,0,0,0,0,0,0,0,9.636900295,9.126205749,11.22145315
A0A087WQY2,2410004P03Rik,0,0,0,0,0,0,0,0,0,0,5.116788227,0
A0A087WR20,Ctsh,54.71592109,54.77541703,9.422880122,0,19.69681473,9.675442341,44.84393095,93.48285473,0,31.56899099,29.92653251,16.93395216
A0A087WR34,Gm20379,0,0,0,0,0,0,0,0,0,0,2.647489961,0
A0A087WR50,Fn1,192.1974543,171.9905674,360.8197626,309.7765011,336.3533306,89.94519835,127.4791425,581.0541188,166.529894,173.7710811,84.17178349,25.81498103
A0A087WR52,Agfg1,71.37695925,70.2009324,58.6490156,35.32498465,74.39725984,125.7959628,51.17328527,73.2875472,160.4416257,108.388617,100.4722609,117.6072153
A0A087WRA4,Mndal,283.1858045,219.4369058,172.7955704,266.0500248,165.6983526,214.1541606,190.8458487,112.241802,93.97823973,180.7622805,230.8796057,277.7584599
A0A087WRA7,Ppp1r7,374.0607586,371.1753766,392.6986375,366.1841321,346.0266221,371.0444611,275.4595089,531.0948783,436.6988328,455.9946942,433.5109844,466.9269045
A0A087WRF2,Agap1,0,0,0,0,0,0,0,0,0,0,0,6.003089137
A0A087WRG9,Ly6c1,0,0,0,0,0,0,5.99038084,0,0,0,0,0
A0A087WRI5,Ak6,0,0,0,0,4.079252802,0,0,0,7.67028703,0,0,0
A0A087WRI6,Creb1,101.0035959,114.0872011,123.8895324,115.211164,164.7357656,137.133039,115.6290336,168.4821586,107.1972337,159.7506206,99.7160776,72.86337452
A0A087WRI9,Ppp1r18,17.15860506,22.77932644,69.40598327,76.0237635,226.1044518,52.41302124,12.65105883,0,0,20.27778328,70.53304757,128.4445027
A0A087WRM0,Cdv3,68.94667613,77.55556163,134.7826173,133.5414468,508.6747072,154.3516701,71.82135943,53.42135862,372.9965804,134.3625418,87.89083401,154.6275984
