,,AgedHSC,AgedMPPa,AgedMPPb,AgedMPPc,CLP,CMP,GMP,HSC,MEP,MPPa,MPPb,MPPc
A0A068BER1,Tap1,167.6750760537628,177.04258424772897,175.0411916337526,172.7346627412424,163.39886170779292,171.10417749807263,114.93858319968423,144.34197180571795,107.65028158894172,186.40048188097316,189.26135768240454,138.8396804297124
A0A068BFS4,Ring1,44.43225034295267,32.789950544387786,30.040805564712528,44.16540232652026,7.327827392174182,44.65103680534276,31.718693968601922,25.848612854575578,31.02317861823731,17.657772863443025,58.81656219426882,59.439382667624244
A0A068BGR9,Ndufa7,53.10095268181582,55.864957332192816,42.77277174963732,40.668685759108996,60.701050268506286,44.78442100289024,26.56743142406137,54.71428369957482,28.282301155879406,32.979949725619214,43.13878069856717,55.04429876230393
A0A068BIU7,Wdr46,202.62456924682843,218.3575593118218,129.68555313910645,172.5054246019377,141.36633617411357,157.89947046782893,181.58474242666185,0.0,232.7807843205494,88.65284288681322,136.1834327922636,131.5146498394528
A0A075DCG2,COX3,0.0,0.0,0.0,0.0,0.0,0.0,2.8121263597472144,0.0,0.0,0.0,0.0,0.0
A0A076N1C3,Kidins220,0.0,0.0,0.0,0.0,0.0,13.584457052817813,0.0,0.0,11.84889333372177,0.0,7.794633858592323,0.0
A0A087WNL5,Msl2,0.0,0.0,0.0,0.0,0.0,4.4727075686057916,0.0,0.0,0.0,0.0,0.0,0.0
A0A087WNM5,Aamp,90.96021337112427,120.14852039297216,135.69775330183413,155.83125246711506,138.04488023582465,161.49311057480563,164.08216302314136,80.085355144462,173.28093516691877,154.39130663620168,120.0548312694555,117.06359176922564
A0A087WNQ8,Ogfrl1,0.0,0.0,0.0,0.0,0.0,0.0,2.982846442162563,0.0,0.0,0.0,7.07498046285167,24.992570830538856
A0A087WNW0,Nop58,790.1530881275859,756.7488991502892,591.9348001576261,740.0421479617773,524.2459742294283,863.562076940544,536.898494544177,369.4749762946838,605.9691022966006,516.4739510218236,712.9171928997329,884.6676382736301
A0A087WNY4,Ikzf2,0.0,17.594000678069563,26.757929962471703,8.561260175314558,0.0,18.106466459857252,1.3536527537723266,0.0,0.0,15.280907318148843,13.26949851974922,19.477963101374637
A0A087WP49,Dgkd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0547199103079405,0.0,0.0
A0A087WP62,Pik3r4,0.0,125.2084763887953,0.0,86.13569968617571,30.843791522178297,106.13247675682597,158.80933915009234,0.0,63.56276714370126,1.0676717631981445,30.902426235678274,103.26671809533094
A0A087WP81,Uchl5,226.50664402844896,200.82159824480908,217.2816759762028,233.53820678611578,247.9411972572277,229.67895467353787,231.17077492365902,268.5317369534917,304.7521125839722,330.33420847900584,239.71104587591904,263.7151986670539
A0A087WP83,Hdlbp,332.0098641578854,405.1465875505015,458.40841328270056,420.2451296534409,322.8169459580431,448.17217116197617,927.9066891982407,185.74930154882432,600.2735540692046,324.06809876300395,321.4599005906516,302.87754609873565
A0A087WP85,Ktn1,200.43718419185305,233.10317449310665,137.23302830684423,146.53585974755114,94.0676804122722,237.20077400419868,226.05247984362828,121.8604788814004,392.3450854659555,266.73713779775636,261.54738350426413,232.21635687118578
A0A087WP86,Actr3,965.0385064937897,883.2235150123297,1119.4314624804574,993.0236182471126,992.2231822801768,1278.865189566521,1307.2834300500551,1060.2289554867916,790.0554325426447,1098.981885941376,1030.638348794234,1363.6014383300214
A0A087WP87,Rnf2,127.62398709574177,131.37754973912232,159.06429890614214,122.89368791103163,55.617001751572616,122.06135931646587,91.46825403235611,20.123621911058212,59.5675590222205,95.7962885199244,85.37215730712893,109.31403640061905
A0A087WP89,Phip,160.15881630545104,168.27805304238714,204.69294483189282,139.37936412111117,211.8342344872879,114.73917973990109,109.69767376044929,29.07507061950648,125.60057498625712,27.769231825576185,65.92052440881233,132.23823768487443
A0A087WPD2,Rbm15b,0.0,8.62360300946208,0.0,6.511020662015792,31.687213358735956,0.0,8.08211962362406,0.0,11.86672048913397,11.25776745036792,13.152819400111744,30.187895958630396
A0A087WPD3,Pknox2,1.5277510143800292,3.053987629740458,0.0,1.3430538271402923,1.0273281247079602,0.0,0.6171385294974917,0.0,0.0,0.623052111905006,0.0,0.0
A0A087WPG6,D2hgdh,1.1050520939389696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A087WPH0,Ncf2,7.9805291961475335,16.024250871324355,44.137386662940564,51.28547381358321,40.41666841774821,80.83185185658347,213.78043629668085,3.108685325813838,0.0,11.346322063433442,42.20706197959555,100.37819875974316
A0A087WPJ6,Rad54l2,0.0,0.0,0.0,0.0,0.0,29.550331745883664,7.864430003235053,0.0,6.03051992499742,0.0,43.059817351182716,47.577235342108075
