,,CLP1t1,CLP1t2,CLP2t1,CLP2t2,CLP3t1,CLP3t2,CMP1t1,CMP2t2,CMP3t2,CMP3t4,CMP4t1,CMP4t2,GMP1t3,GMP2t1,GMP2t2,GMP3t1,GMP3t2,GMP4t1,HSC1t,HSC2t2,HSC2t3,HSC3t2,HSC4t1,HSC4t2,MEP1t1,MEP1t2,MEP3t1,MEP3t2,MEP4t1,MEP4t2,MPPa2t1,MPPa2t2,MPPa3t1,MPPa3t2,MPPa4t1,MPPa4t2,MPPb1t1,MPPb1t2,MPPb3t1,MPPb3t2,MPPb4t1,MPPb4t2,MPPc1t2,MPPc2t1,MPPc3t2,MPPc3t4,MPPc4t1,MPPc4t2,AgedHSC2t1,AgedHSC2t2,AgedHSC3t1,AgedHSC3t2,AgedHSC4t1,AgedHSC4t2,AgedMPPa1t1,AgedMPPa1t2,AgedMPPa2t1,AgedMPPa2t2,AgedMPPb1t1,AgedMPPb1t2,AgedMPPb2t1,AgedMPPb2t2,AgedMPPc1t1,AgedMPPc1t2,AgedMPPc2t1,AgedMPPc2t2
A0A068BER1,Tap1,11349.8,59800.1,156169.1,181698.9,200836.8,153034.0,323242.8,338075.9,161345.1,331034.7,195179.0,193916.5,91601.9,274962.7,255243.5,148161.1,309072.8,357957.5,72990.1,40260.3,76636.7,0.0,271771.1,148677.6,52784.8,0.0,36409.3,95767.3,209624.3,218033.6,69051.6,97869.3,135356.9,193675.1,365524.9,285220.0,538432.5,264665.9,565905.7,570889.4,304566.2,335529.0,127259.9,89269.3,104385.9,530074.0,377107.9,335962.8,115584.2,63417.8,158232.2,122758.9,229274.2,289453.7,104160.6,62099.8,499383.5,328082.7,47599.5,82540.8,342614.7,334984.9,124114.0,96528.2,219058.6,205926.6
A0A068BFS4,Ring1,0.0,6152.7,26744.7,6202.8,0.0,0.0,104017.3,165748.5,43919.6,62719.0,23776.4,36935.9,32502.4,25831.2,152717.9,38669.9,87644.6,82335.2,78183.8,0.0,44503.4,0.0,26501.0,0.0,24699.4,19547.3,0.0,0.0,76205.3,93113.8,0.0,0.0,0.0,28708.9,53059.3,57396.3,141990.1,103152.8,123611.1,231624.5,61896.2,124454.6,36715.2,40087.9,146710.7,263547.1,102185.7,154434.0,0.0,0.0,112331.9,29195.3,42591.0,110840.7,0.0,0.0,107335.4,111542.7,0.0,0.0,105302.7,84599.2,20450.3,39407.5,75107.0,30505.7
A0A068BGR9,Ndufa7,0.0,0.0,66701.3,81742.1,49447.8,95755.2,304333.4,0.0,0.0,75050.5,19542.9,86944.4,45822.3,0.0,0.0,86328.4,0.0,245766.8,0.0,0.0,0.0,14712.0,114984.9,60688.8,32677.8,0.0,0.0,0.0,109727.9,55698.8,0.0,0.0,48515.7,33896.6,145513.5,0.0,70073.0,78546.4,0.0,0.0,140049.6,145889.6,0.0,0.0,0.0,0.0,429821.3,127291.9,0.0,31431.6,32481.5,58318.0,126789.5,93249.7,66358.5,0.0,97374.3,134067.0,0.0,26400.6,101841.9,98816.2,0.0,0.0,87878.4,75492.6
A0A068BIU7,Wdr46,0.0,61488.3,161606.6,136117.2,118497.1,180779.5,178447.9,245170.1,219369.3,256983.6,120683.2,325649.3,306900.2,341910.9,523330.5,400009.1,211680.9,394090.5,0.0,0.0,0.0,0.0,0.0,0.0,178664.0,145753.8,89351.1,86872.6,460966.9,356003.5,8318.9,9569.9,39978.0,32491.1,336386.5,310816.5,534511.8,15085.5,291902.5,162574.2,362441.5,427340.4,83556.4,81136.2,207196.0,451783.2,334538.2,375949.1,124215.1,74179.7,159845.5,307113.7,197675.5,270647.3,79064.3,64990.4,819806.4,340363.8,14124.0,45627.7,354932.4,282179.8,104849.3,89844.9,210842.1,244200.7
A0A075DCG2,COX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34618.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A076N1C3,Kidins220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85154.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89609.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71410.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A087WNL5,Msl2,0.0,0.0,0.0,0.0,0.0,0.0,65721.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A087WNM5,Aamp,27933.6,116143.7,151797.5,141903.9,75603.8,109617.0,401389.2,442601.4,176274.8,372028.6,93069.8,86785.1,229205.7,284163.7,476310.8,296683.6,273910.5,486296.0,139183.3,40527.0,0.0,24461.6,18419.0,101028.3,175870.6,166913.3,25745.0,109148.6,199161.0,244645.7,89872.4,89207.8,128888.3,187768.7,110915.4,233458.4,342667.1,194996.8,367507.4,379648.0,132713.3,232635.1,147846.4,84355.1,258660.0,482643.4,190019.1,218904.7,64014.6,54291.4,61046.9,78683.2,112791.5,135448.7,99887.8,92664.6,231333.9,153108.4,79563.5,91270.8,148143.1,116904.1,171156.6,128162.2,129409.6,131743.4
A0A087WNQ8,Ogfrl1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34016.2,0.0,0.0,13579.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117823.6,0.0,0.0,0.0,0.0,175540.8,306007.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A087WNW0,Nop58,197354.5,248052.0,783165.2,617229.6,298340.0,324956.8,1798275.0,1832919.8,255302.5,1999048.3,971105.8,1053714.1,959585.1,681316.9,1072286.2,1226943.5,579865.5,2261501.1,403341.0,197441.5,165291.2,84240.4,275525.8,311124.6,484363.8,515510.0,112585.3,125539.5,1255003.9,1184166.7,211682.5,314299.9,311277.3,253889.0,1053615.8,1274503.8,3130964.5,848039.8,2317747.3,2236323.4,955175.3,1102125.9,1030595.0,611750.1,3829614.6,2511896.3,1487434.0,1350163.7,500147.4,409492.8,559637.5,776536.9,1016082.3,1236515.7,549000.2,459041.4,1446382.0,1410889.2,118428.3,265147.7,1179691.2,1334798.2,610885.8,454223.5,858166.0,816243.2
