Q8VDD5	Myh9
P26039	Tln1
Q8BTM8	Flna
E9PVX6	Mki67
P11499	Hsp90ab1
P63017	Hspa8
Q01853	Vcp
Q61233	Lcp1
P25206	Mcm3
P10126	Eef1a1
P56480	Atp5f1b
P27773	Pdia3
Q9JKF1	Iqgap1
F6ZDS4	Tpr
Q9WTQ5	Akap12
P38647	Hspa9
P99024	Tubb5
P14733	Lmnb1
Q3U2G2	Hspa4
P63260	Actg1
P58252	Eef2
Q02053	Uba1
P17182	Eno1
Q62318	Trim28
P63038	Hspd1
P57780	Actn4
P20029	Hspa5
P52480	Pkm
P61979	Hnrnpk
P42932	Cct8
P80314	Cct2
P09405	Ncl
Q9CU62	Smc1a
P97311	Mcm6
P20152	Vim
Q9JIK5	Ddx21
P05213	Tuba1b
P11983	Tcp1
Q3TLH4	Prrc2c
Q99KI0	Aco2
Q921K2	Parp1
P09103	P4hb
P18760	Cfl1
Q64737	Gart
Q9JHU4	Dync1h1
P47738	Aldh2
P19096	Fasn
P07901	Hsp90aa1
Q60864	Stip1
Q8VDN2	Atp1a1
Q61029	Tmpo
P16858	Gapdh
Q9QZQ8	H2afy
P13864	Dnmt1
P08249	Mdh2
P37913	Lig1
P40142	Tkt
Q7TPV4	Mybbp1a
P97310	Mcm2
Q7TMK9	Syncrip
Q6A068	Cdc5l
Q9CWJ9	Atic
Q8BKC5	Ipo5
P60122	Ruvbl1
Q8BTS0	Ddx5
Q8CIN4	Pak2
P80315	Cct4
O54988	Slk
Q8VEK3	Hnrnpu
Q9D0E1	Hnrnpm
P08113	Hsp90b1
Q9QX47	Son
P05064	Aldoa
Q8K4Z5	Sf3a1
P70168	Kpnb1
P26645	Marcks
Q9D6Z1	Nop56
P56399	Usp5
Q61753	Phgdh
Q78PY7	Snd1
Q68FD5	Cltc
Q9D154	Serpinb1a
Q9JIX8	Acin1
Q9Z1Q9	Vars
P63101	Ywhaz
Q9Z2X1	Hnrnpf
O54824	Il16
Q8K310	Matr3
Q9CY58	Serbp1
Q99PL5	Rrbp1
Q01320	Top2a
P60335	Pcbp1
P30416	Fkbp4
P70399	Tp53bp1
B1AU75	Nasp
O88569	Hnrnpa2b1
P29341	Pabpc1
Q3UJB0	Sf3b2
P17751	Tpi1
Q9Z315	Sart1
P09411	Pgk1
Q9WTM5	Ruvbl2
Q3U0V1	Khsrp
O08810	Eftud2
P17742	Ppia
Q8BG32	Psmd11
P46061	Rangap1
P80313	Cct7
Q9Z1X4	Ilf3
P62259	Ywhae
P54071	Idh2
P27546	Map4
P97496	Smarcc1
P08003	Pdia4
Q9Z2I8	Suclg2
P10107	Anxa1
P62960	Ybx1
Q9JKR6	Hyou1
Q9WU78	Pdcd6ip
Q5RKN9	Capza1
Q02819	Nucb1
P97855	G3bp1
Q61768	Kif5b
Q8BG05	Hnrnpa3
Q8BTI8	Srrm2
P63037	Dnaja1
P23116	Eif3a
Q61881	Mcm7
Q03265	Atp5f1a
Q8QZT1	Acat1
Q9CW03	Smc3
P97371	Psme1
Q9ERU9	Ranbp2
P21107	Tpm3
P14869	Rplp0
Q922D8	Mthfd1
P60843	Eif4a1
Q61598	Gdi2
P14824	Anxa6
Q9D2V7	Coro7
Q9CSU0	Rprd1b
Q6NZJ6	Eif4g1
P57776	Eef1d
P35979	Rpl12
P80317	Cct6a
Q80X50	Ubap2l
Q61699	Hsph1
P49710	Hcls1
P80316	Cct5
Q9CZ44	Nsfl1c
Q8CG48	Smc2
Q99JY9	Actr3
Q9Z1Q5	Clic1
P29351	Ptpn6
Q3UZ39	Lrrfip1
Q8K1B8	Fermt3
Q8CAQ8	Immt
Q8BFR5	Tufm
B2RQC6	Cad
P40124	Cap1
D3YXK2	Safb
P68254	Ywhaq
Q8CIH5	Plcg2
Q3U8W9	Hnrnpr
Q64727	Vcl
Q9CZ13	Uqcrc1
P23492	Pnp
Q8CGC7	Eprs
Q99LC5	Etfa
Q00PI9	Hnrnpul2
Q76MZ3	Ppp2r1a
P67778	Phb
P24527	Lta4h
P26041	Msn
P49717	Mcm4
Q9CQN1	Trap1
O88685	Psmc3
O35737	Hnrnph1
A2AGT5	Ckap5
P14206	Rpsa
Q6ZWY9	Hist1h2bc
Q6ZWY9	Hist1h2be
Q6ZWY9	Hist1h2bg
Q8CJF7	Ahctf1
Q921M3	Sf3b3
Q9Z0N1	Eif2s3x
P06151	Ldha
Q9ESZ8	Gtf2i
Q9EQU5	Set
Q61074	Ppm1g
Q9CWK8	Snx2
P50580	Pa2g4
Q05D44	Eif5b
P47754	Capza2
Q61210	Arhgef1
Q3UQ44	Iqgap2
Q5SV02	Rad50
Q922I7	Ptbp1
Q8BVQ9	Psmc2
Q9CQV8	Ywhab
Q91WJ8	Fubp1
P62962	Pfn1
Q6ZQ38	Cand1
Q8BMS1	Hadha
Q3V3R1	Mthfd1l
Q8BH04	Pck2
O08784	Tcof1
Q80UG5	Septin9
P24547	Impdh2
P35700	Prdx1
P63242	Eif5a
Q9WVA4	Tagln2
Q9CYG7	Tomm34
Q8VIJ6	Sfpq
Q9ESX5	Dkc1
P99027	Rplp2
Q9EPU0	Upf1
Q91VI7	Rnh1
Q8R550	Sh3kbp1
Q99KJ8	Dctn2
Q6PDQ2	Chd4
P68510	Ywhah
Q61033	Tmpo
Q99PV0	Prpf8
O35685	Nudc
O08709	Prdx6
Q61191	Hcfc1
Q8VDF2	Uhrf1
Q8BGD9	Eif4b
P54823	Ddx6
P53564	Cux1
Q60902	Eps15l1
P42209	Septin1
P09838	Dntt
O70133	Dhx9
Q9Z1Z2	Strap
Q8BVY0	Rsl1d1
Q922B2	Dars
Q8K2B3	Sdha
P52431	Pold1
Q9DBJ1	Pgam1
Q3TXS7	Psmd1
P62908	Rps3
P0DP26	Calm1
Q9D8E6	Rpl4
P62334	Psmc6
P17918	Pcna
P60766	Cdc42
Q8CG47	Smc4
G5E866	Sf3b1
Q9Z2I0	Letm1
Q5SWT9	Ikzf1
O89086	Rbm3
O08663	Metap2
P32067	Ssb
Q6PDG5	Smarcc2
Q99L45	Eif2s2
Q8VDP4	Ccar2
Q61171	Prdx2
P97807	Fh
E9Q394	Akap13
Q91YQ5	Rpn1
P51125	Cast
Q9Z2U1	Psma5
Q6PAM1	Txlna
P51150	Rab7a
Q91VR5	Ddx1
O55201	Supt5h
Q99020	Hnrnpab
P08752	Gnai2
E9Q1P8	Irf2bp2
O35226	Psmd4
Q9D8B3	Chmp4b
Q99LF4	Rtcb
P06745	Gpi
P70296	Pebp1
P10711	Tcea1
P97384	Anxa11
Q7TNC4	Luc7l2
P43277	Hist1h1d
Q8VDM6	Hnrnpul1
Q6P4T2	Snrnp200
Q8R1B4	Eif3c
O55131	Septin7
Q3UEB3	Puf60
Q61550	Rad21
Q922R8	Pdia6
O08539	Bin1
P26040	Ezr
Q9EPB4	Pycard
Q9JI11	Stk4
P08775	Polr2a
Q9DBG6	Rpn2
P10852	Slc3a2
Q61990	Pcbp2
Q99MN1	Kars
Q6P9P6	Kif11
P97351	Rps3a
Q920B9	Supt16h
Q61081	Cdc37
Q6ZWZ6	Rps12-ps3
Q8BK64	Ahsa1
Q9DAW9	Cnn3
Q9CPV4	Glod4
Q9JIF0	Prmt1
Q9D819	Ppa1
O08583	Alyref
Q9CZN7	Shmt2
Q9JL26	Fmnl1
P21619	Lmnb2
Q91VX2	Ubap2
Q501J6	Ddx17
Q9Z1F9	Uba2
Q60605	Myl6
Q61166	Mapre1
Q61635	Ifi47
Q3THE2	Myl12b
Q9DBG5	Plin3
P80318	Cct3
Q8VDJ3	Hdlbp
Q91ZW3	Smarca5
Q8R050	Gspt1
Q99KP6	Prpf19
Q9DCW4	Etfb
Q3TEA8	Hp1bp3
P07742	Rrm1
Q9CQM9	Glrx3
Q9ES52	Inpp5d
Q6PDM2	Srsf1
Q9R1T4	Septin6
P19157	Gstp1
Q9Z1N5	Ddx39b
Q3UZA1	Rcsd1
P47941	Crkl
O35887	Calu
P47911	Rpl6
P52293	Kpna2
P26638	Sars
P19973	Lsp1
P00493	Hprt1
Q9CR16	Ppid
P33609	Pola1
A2BH40	Arid1a
Q9D1A2	Cndp2
Q9DB77	Uqcrc2
Q9Z204	Hnrnpc
Q78ZA7	Nap1l4
Q6PGL7	Washc2
P62702	Rps4x
P05202	Got2
Q9WTP6	Ak2
Q60972	Rbbp4
P70372	Elavl1
Q8BMK4	Ckap4
Q9JL35	Hmgn5
Q8K019	Bclaf1
Q922Q8	Lrrc59
Q91WU5	As3mt
Q80WJ7	Mtdh
Q9D8U8	Snx5
P70670	Naca
P54227	Stmn1
P51174	Acadl
P03958	Ada
Q80X41	Vrk1
Q3UM45	Ppp1r7
Q62419	Sh3gl1
Q99MR6	Srrt
Q61035	Hars
Q3UZG4	Aimp1
Q61823	Pdcd4
Q9JIF7	Copb1
Q99KC8	Vwa5a
P57784	Snrpa1
Q9DAR7	Dcps
Q9CQ60	Pgls
Q9JHW2	Nit2
Q8BIQ5	Cstf2
Q60865	Caprin1
Q61937	Npm1
O89053	Coro1a
P62242	Rps8
P35564	Canx
P28656	Nap1l1
Q505F5	Lrrc47
Q8JZX4	Rbm17
P62983	Rps27a
Q64261	Cdk6
Q9D0I9	Rars
P27659	Rpl3
Q62167	Ddx3x
Q8CDN6	Txnl1
P26443	Glud1
P06800	Ptprc
Q80UE5	Epb41l2
Q8BMA6	Srp68
Q3TBD2	Arhgap45
Q9QY81	Nup210
Q03958	Pfdn6
Q6A0A9	FAM120A
Q9DBE9	Ftsj3
P61290	Psme3
P97372	Psme2
O54941	Smarce1
P51859	Hdgf
Q5SUR0	Pfas
Q1HFZ0	Nsun2
P01899	H2-D1
Q60597	Ogdh
P62806	Hist1h4a
P62806	Hist1h4b
P62806	Hist1h4c
P62806	Hist1h4d
P62806	Hist1h4f
P62806	Hist1h4h
P62806	Hist1h4i
P62806	Hist1h4j
P62806	Hist1h4k
P62806	Hist1h4m
P62806	Hist2h4a
P62806	Hist4h4
Q3TNN6	Capg
P70441	Slc9a3r1
P63276	Rps17
P00920	Ca2
Q3U935	Cnbp
O35841	Api5
Q32P00	Cbx3
P14211	Calr
Q9DCL9	Paics
Q9ERL7	Gmfg
P28352	Apex1
Q9Z277	Baz1b
Q8VEE4	Rpa1
Q99J77	Nans
P49312	Hnrnpa1
E9PVA8	Gcn1
A0A087WSP5	Stat1
P25444	Rps2
Q8QZY1	Eif3l
P11352	Gpx1
Q91VH2	Snx9
Q8BJ71	Nup93
P43276	Hist1h1b
Q60973	Rbbp7
Q6IRU2	Tpm4
Q8JZQ9	Eif3b
Q7TQI3	Otub1
Q05CL8	Larp7
Q99PT1	Arhgdia
P62137	Ppp1ca
Q80U93	Nup214
Q9Z2U0	Psma7
P48024	Eif1
P54276	Msh6
Q9ERK4	Cse1l
P97822	Anp32e
Q6PGH2	Jpt2
P62715	Ppp2cb
Q9QYJ3	Dnajb1
Q9Z2N8	Actl6a
Q60737	Csnk2a1
Q9D8N0	Eef1g
Q9QUR6	Prep
O08749	Dld
P61089	Ube2n
Q9CQ43	Dut
Q9JLI8	Sart3
O88544	Cops4
Q9QXS1	Plec
P12970	Rpl7a
Q6PR54	Rif1
Q9D2G2	Dlst
Q9Z2L7	Crlf3
Q921M7	Fam49b
Q6NZF1	Zc3h11a
Q9QYJ0	Dnaja2
Q569Z6	Thrap3
Q04750	Top1
Q9CT10	Ranbp3
Q9CSN1	Snw1
E9Q3G8	Nup153
Q8VDM4	Psmd2
P58389	Ptpa
Q8VE88	Fam114a2
Q99K48	Nono
Q64511	Top2b
Q8BPU7	Elmo1
P54103	Dnajc2
P19783	Cox4i1
Q8BWT1	Acaa2
O08915	Aip
Q01768	Nme2
Q9D6J6	Ndufv2
Q8R317	Ubqln1
P26350	Ptma
Q8C9B9	Dido1
Q8BHN3	Ganab
Q9D0L8	Rnmt
Q80VJ3	Dnph1
Q8VE37	Rcc1
Q6P069	Sri
Q7TNE3	Spag7
Q9CRB2	Nhp2
P32233	Drg1
P62317	Snrpd2
P58462	Foxp1
Q91XV3	Basp1
P48025	Syk
P61164	Actr1a
Q99MK8	Grk2
Q9CX34	Sugt1
Q9JK81	Myg1
Q61599	Arhgdib
P62264	Rps14
Q99KH8	Stk24
Q6PB66	Lrpprc
P02088	Hbb-b1
Q91VD9	Ndufs1
B2RY56	Rbm25
P24270	Cat
Q5SUF2	Luc7l3
A2AF47	Dock11
Q99NH0	Ankrd17
Q9CXW3	Cacybp
E9Q6E5	Srsf11
Q8C3P7	Mettl3
Q8BG30	Nelfa
O08579	Emd
A2APB8	Tpx2
Q9CX86	Hnrnpa0
P45376	Akr1b1
Q9JKX6	Nudt5
Q9JJU8	Sh3bgrl
Q569Z5	Ddx46
Q6WVG3	Kctd12
P43275	Hist1h1a
P14152	Mdh1
Q9WVJ2	Psmd13
Q8BW96	Camk1d
A2AWT5	Ubtf
E9PZM7	Scaf11
Q8BK67	Rcc2
Q9D1P4	Chordc1
Q62422	Ostf1
Q9QYI3	Dnajc7
Q99PG2	Ogfr
E9Q5C9	Nolc1
P97315	Csrp1
Q8VCW8	Acsf2
Q61792	Lasp1
Q9D0K2	Oxct1
Q9QWL7	Krt17
Q921F2	Tardbp
Q8K4B0	Mta1
P61161	Actr2
Q99KG3	Rbm10
E9Q616	Ahnak
Q8BJW6	Eif2a
Q99LX0	Park7
Q3THK7	Gmps
Q8C2K1	Def6
Q99J36	Thumpd1
Q6GSS7	Hist2h2aa1
Q6GSS7	Hist2h2aa2
Q8CGK3	Lonp1
Q8BTS4	Nup54
Q99JX4	Eif3m
O35643	Ap1b1
Q9CZ19	Myl4
Q9Z0P5	Twf2
P62196	Psmc5
P62835	Rap1a
Q99JB2	Stoml2
P47757	Capzb
P54775	Psmc4
Q9Z1D1	Eif3g
P54728	Rad23b
P14576	Srp54
Q62448	Eif4g2
P50247	Ahcy
Q99KK7	Dpp3
