UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q7M754 	 Try10-like trypsinogen precursor 	 Gm5409 	4.38	15001.2	1	1	4.07	246
 Q91XB0 	 three-prime repair exonuclease 1 	 Trex1 	5.27	15215.1	1	1	4.46	314
 Q3UCV8 	 ubiquitin thioesterase otulin 	 Otulin 	8.02	29517.5	1	1	3.12	352
 Q6NSQ5 	 SP140 nuclear body protein family member 	 Sp140 	8.48	7694.5	1	1	3.37	534
 P16951 	 cyclic AMP-dependent transcription factor ATF-2 isoform 1 	 Atf2 	4.09	14595.1	1	1	2.26	487
 Q8BG99 	 homeobox protein PKNOX2 	 Pknox2 	4.3	5304	1	1	1.69	474
 Q8R3F5 	" malonyl-CoA-acyl carrier protein transacylase, mitochondrial "	 Mcat 	8.63	19746	1	1	3.94	381
 P41272 	 CD27 antigen isoform a precursor 	 Cd27 	1.86	6315.6	1	1	8.8	250
 Q3V4B5 	 COMM domain-containing protein 6 isoform 1 	 Commd6 	11.13	29707.6	1	1	14.94	87
 Q3TWL2 	" type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase isoform "	 Tmem55b 	1.96	10559.6	1	1	3.52	284
 A2ADA5 	 tRNA pseudouridine synthase-like 1 	 Pusl1 	8.02	13631.8	1	1	6.19	291
 L7N451 	 interferon-induced very large GTPase 1 	 Gvin1 	4.83	15596.5	1	1	0.54	2427
 Q3UGR5 	 haloacid dehalogenase-like hydrolase domain-containing protein 2 	 Hdhd2 	9.09	10845	1	1	5.02	259
 Q8CBE3 	 WD repeat-containing protein 37 isoform a 	 Wdr37 	10.73	38716.7	1	1	3.02	496
 Q9CPW2 	" adrenodoxin-like protein, mitochondrial precursor "	 Fdx1l 	5.94	24400.2	1	1	6.32	174
 Q5SUC9 	" protein SCO1 homolog, mitochondrial "	 Sco1 	8.52	15784.9	1	1	5.63	284
 P97931 	 uracil-DNA glycosylase isoform a 	 Ung 	8.93	22139.7	1	1	5.56	306
 O08715 	" A-kinase anchor protein 1, mitochondrial "	 Akap1 	4.99	9795.9	1	1	1.75	857
 Q8CBW3 	 abl interactor 1 isoform 1 	 Abi1 	4.96	18606	1	1	3.12	481
 D3Z7P3 	" glutaminase kidney isoform, mitochondrial isoform 1 "	 Gls 	5.62	9496.2	1	1	2.82	674
 Q8BHE8 	" uncharacterized protein C2orf47 homolog, mitochondrial precursor "	 9430016H08Rik 	3.97	3494.8	1	1	3.78	291
 Q811S7 	 upstream-binding protein 1 isoform a 	 Ubp1 	4.79	22614.6	1	1	2.22	540
 Q32NZ6 	 transmembrane channel-like protein 5 isoform a 	 Tmc5 	4.11	30924.2	1	1	1.34	967
 Q60823 	 RAC-beta serine/threonine-protein kinase 	 Akt2 	5.12	6776.6	1	1	1.87	481
 Q543Y2 	 hematopoietic progenitor cell antigen CD34 isoform 1 precursor 	 Cd34 	2.84	27336.1	1	1	4	325
 Q9D103 	 interferon-induced transmembrane protein 1 	 Ifitm1 	3.36	13831.5	1	1	15.09	106
 P61804 	 dolichyl-diphosphooligosaccharide--protein glycosyltransferase 	 Dad1 	7.76	30147.2	1	1	10.62	113
 Q8BTY8 	 sec1 family domain-containing protein 2 isoform a 	 Scfd2 	4.47	20599.4	1	1	1.9	684
 Q9JL60 	 glucocorticoid modulatory element-binding protein 1 	 Gmeb1 	2.16	5776.5	1	1	1.6	562
 Q922Q9 	 chitinase domain-containing protein 1 isoform 1 precursor 	 Chid1 	4.75	13513.3	1	1	3.03	396
 Q7TNS2 	 MICOS complex subunit Mic10 	 Minos1 	4.8	12695.7	1	1	10.53	76
 Q9JI75 	 ribosyldihydronicotinamide dehydrogenase 	 Nqo2 	7.32	7002.4	1	1	10.39	231
 E9Q2I4 	 ELM2 and SANT domain-containing protein 1 	 Elmsan1 	1.69	11017.8	1	1	1.1	1089
 Q8C8L6 	 poly 	 Parp10 	9.9	27847.5	1	1	1.98	960
 D3YUE4 	 protein FAM151B 	 Fam151b 	1.99	3341.7	1	1	5.73	279
 Q9WU00 	 nuclear respiratory factor 1 isoform a 	 Nrf1 	3.84	35337.4	1	1	2.39	503
 P0DJF2 	" protein PET117 homolog, mitochondrial precursor "	 Pet117 	5.64	16464.2	1	1	12.5	80
 Q6NSU3 	 glycosyltransferase 8 domain-containing protein 1 	 Glt8d1 	2.94	10424.1	1	1	2.7	371
 Q7TS68 	 putative methyltransferase NSUN6 isoform a 	 Nsun6 	2.67	6187.9	1	1	4.2	476
 Q6A058 	 armadillo repeat-containing X-linked protein 2 	 Armcx2 	4.03	2639.5	1	1	3.19	784
 Q6ZWU9 	 ribosomal protein S27-like 	 Rps27rt 	7.7	23882.8	1	1	13.1	84
 F7D4H5 	 phosphatase and actin regulator 2 isoform A 	 Phactr2 	3.28	3564.7	1	1	2.24	626
 P06876 	 transcriptional activator Myb isoform 1 	 Myb 	2.65	19831.4	1	1	1.59	755
 Q9JIM1 	 equilibrative nucleoside transporter 1 isoform 1 	 Slc29a1 	6.03	21973.7	1	1	2.61	460
 P60766 	 cell division control protein 42 homolog isoform 2 	 Cdc42 	2.94	23428.4	1	1	5.24	191
 Q9JKP5 	 muscleblind-like protein 1 isoform 2 	 Mbnl1 	8.84	36781.4	1	1	9.68	341
 Q8VCS0 	 N-acetylmuramoyl-L-alanine amidase isoform c precursor 	 Pglyrp2 	2.27	21337.2	1	1	3.11	450
 Q62165 	 dystroglycan preproprotein 	 Dag1 	1.65	15369.5	1	1	1.68	893
 Q8CFI5 	" probable proline--tRNA ligase, mitochondrial isoform 1 "	 Pars2 	4.94	8518.1	1	1	4.21	475
 Q80XC6 	 protein NRDE2 homolog isoform a 	 Nrde2 	4.84	13884.4	1	1	0.94	1172
 Q8C1M2 	 zinc finger protein 428 isoform a 	 Zfp428 	2.83	18298.8	1	1	8.99	189
 Q8CGY8 	 UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 	 Ogt 	8.67	18038.1	1	1	1.83	1036
 Q9JL16 	 interferon-stimulated gene 20 kDa protein isoform a 	 Isg20 	2.63	2888.8	1	1	2.67	300
 P53564 	 protein CASP isoform c 	 Cux1 	4.72	5218.8	1	1	0.81	1613
 Q60772 	 cyclin-dependent kinase 4 inhibitor C 	 Cdkn2c 	8.77	20805	1	1	7.74	168
 Q09143 	 high affinity cationic amino acid transporter 1 	 Slc7a1 	3.57	16532	1	1	1.61	622
 P51163 	 uroporphyrinogen-III synthase isoform 1 	 Uros 	2.35	2774.1	1	1	5.66	265
 Q91XE4 	 N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) 	 Acy3 	3.02	3782.7	1	1	5.97	318
 A0A286YDU3 	 AP-3 complex subunit sigma-1 isoform 2 	 Ap3s1 	7.71	19936.3	1	1	9.26	162
 Q80YV2 	 nuclear-interacting partner of ALK isoform 1 	 Zc3hc1 	2.98	5873.9	1	1	4.99	501
 O35841 	 apoptosis inhibitor 5 isoform 2 	 Api5 	6.64	29197.2	1	1	2.38	504
 P84084 	 ADP-ribosylation factor 5 	 Arf5 	3.62	5884.2	1	1	5.56	180
 O08734 	 bcl-2 homologous antagonist/killer 	 Bak1 	6.18	26008.6	1	1	5.26	209
 Q9WUZ9 	 ectonucleoside triphosphate diphosphohydrolase 5 isoform a 	 Entpd5 	13.03	20408.8	1	1	3.1	452
 P21855 	 B-cell differentiation antigen CD72 isoform 2 	 Cd72 	4.83	9358.6	1	1	3.39	354
 O09005 	 sphingolipid delta(4)-desaturase DES1 	 Degs1 	8.81	24170	1	1	4.95	323
 P42867 	 UDP-N-acetylglucosamine--dolichyl-phosphate 	 Dpagt1 	2.36	17636.2	1	1	1.95	410
 P70245 	" 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase "	 Ebp 	3.33	23747.2	1	1	5.65	230
 Q05512 	 serine/threonine-protein kinase MARK2 isoform 1 	 Mark2 	5.1	12538.3	1	1	2.19	776
 Q61188 	 histone-lysine N-methyltransferase EZH2 isoform 1 	 Ezh2 	4.73	32429.8	1	1	1.34	746
 F8VQG4 	" histocompatibility 2, T region locus 24 precursor "	 H2-T24 	7.4	4327.9	1	1	3.58	363
 Q91YS4 	 kinesin light chain 2 	 Klc2 	2.88	7802.3	1	1	2.1	619
 P26187 	 methylated-DNA--protein-cysteine methyltransferase 	 Mgmt 	9.57	21068.4	1	1	8.53	211
 P46718 	 programmed cell death protein 2 	 Pdcd2 	4.03	29392.9	1	1	2.92	343
 P05132 	 cAMP-dependent protein kinase catalytic subunit alpha isoform 1 	 Prkaca 	5.23	4081.2	1	1	3.42	351
 F7D7A9 	 cAMP-dependent protein kinase inhibitor beta isoform 1 	 Pkib 	3.62	3707.8	1	1	19.09	110
 B9EJ22 	 mismatch repair endonuclease PMS2 	 Pms2 	1.93	3021.3	1	1	1.98	859
 P30412 	 peptidyl-prolyl cis-trans isomerase C precursor 	 Ppic 	4.27	29551.5	1	1	6.13	212
 P55096 	 ATP-binding cassette sub-family D member 3 	 Abcd3 	1.97	2299.2	1	1	3.79	659
 P22599 	 alpha-1-antitrypsin 1-2 precursor 	 Serpina1b 	4.14	16508.3	1	1	4.6	413
 P52483 	 ubiquitin-conjugating enzyme E2 E3 	 Ube2e3 	7.65	21605.2	1	1	8.7	207
 P18572 	 basigin isoform 1 precursor 	 Bsg 	7.97	26689.9	1	1	3.34	389
 P53568 	 CCAAT/enhancer-binding protein gamma 	 Cebpg 	4.24	12746.5	1	1	20.67	150
 P21460 	 cystatin-C precursor 	 Cst3 	4.02	24300.6	1	1	7.86	140
 P28843 	 dipeptidyl peptidase 4 isoform 1 	 Dpp4 	5.93	16487.3	1	1	1.32	760
 P20491 	 high affinity immunoglobulin epsilon receptor subunit gamma 	 Fcer1g 	3	21237.7	1	1	10.46	86
 Q9D2R8 	" 28S ribosomal protein S33, mitochondrial isoform 1 "	 Mrps33 	5.72	10698.7	1	1	11.32	106
 P21278 	 guanine nucleotide-binding protein subunit alpha-11 	 Gna11 	3.34	11224	1	1	4.18	359
 P14429 	" H-2 class I histocompatibility antigen, Q7 alpha chain isoform 1 "	 H2-Q7 	9.63	32445.3	1	1	3.89	334
 P06339 	" H-2 class I histocompatibility antigen, D-37 alpha chain precursor "	 H2-T23 	5.27	23953.1	1	1	3.64	357
 O88736 	 3-keto-steroid reductase 	 Hsd17b7 	3.02	7355.2	1	1	5.09	334
 P13597 	 intercellular adhesion molecule 1 precursor 	 Icam1 	8.95	21770.7	1	1	2.61	537
 P41242 	 megakaryocyte-associated tyrosine-protein kinase isoform 1 	 Matk 	9.08	32007.3	1	1	3.96	505
 O55242 	 sigma non-opioid intracellular receptor 1 isoform 1 	 Sigmar1 	6.24	33936.9	1	1	5.83	223
 Q64695 	 endothelial protein C receptor precursor 	 Procr 	4.51	9540.7	1	1	5.37	242
 Q08761 	 vitamin K-dependent protein S preproprotein 	 Pros1 	2.15	18479.4	1	1	1.19	675
 P70195 	 proteasome subunit beta type-7 precursor 	 Psmb7 	2.66	24990.3	1	1	3.61	277
 P53612 	 geranylgeranyl transferase type-2 subunit beta isoform 1 	 Rabggtb 	4.59	17233.4	1	1	3.24	339
 P17433 	 transcription factor PU.1 	 Spi1 	4.18	33266.5	1	1	4.41	272
 O70126 	 aurora kinase B 	 Aurkb 	3.73	6416.7	1	1	3.77	345
 P68369 	 tubulin alpha-1A chain 	 Tuba1a 	7.89	29451.3	1	1	2.88	451
 Q64705 	 upstream stimulatory factor 2 	 Usf2 	2.19	13197.5	1	1	2.6	346
 P81183 	 zinc finger protein Helios 	 Ikzf2 	3.25	17670.7	1	1	1.9	526
 Q9R061 	 cytosolic Fe-S cluster assembly factor NUBP2 	 Nubp2 	11.67	32297.1	1	1	6.55	275
 Q3TMU8 	 dihydropyrimidinase-related protein 4 	 Dpysl4 	5.37	64372.4	1	1	2.8	572
 O35639 	 annexin A3 	 Anxa3 	4.41	18631.6	1	1	3.41	323
 P51863 	 V-type proton ATPase subunit d 1 	 Atp6v0d1 	4.78	23104.4	1	1	3.13	351
 O09117 	 synaptophysin-like protein 1 isoform 1 	 Sypl 	3.02	25260.4	1	1	3.45	261
 Q9QZD8 	 mitochondrial dicarboxylate carrier 	 Slc25a10 	5.08	2997.2	1	1	8.36	287
 Q9Z2A5 	 arginyl-tRNA--protein transferase 1 isoform 1 	 Ate1 	2.51	36152.3	1	1	2.13	516
 Q9Z223 	 molybdopterin synthase sulfur carrier subunit isoform Mocs2A 	 Mocs2 	3.15	1880.8	1	1	11.36	88
 Q02395 	 metal-response element-binding transcription factor 2 isoform 1 	 Mtf2 	5.22	11138.3	1	1	1.85	593
