UniprotID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 D3Z7P3 	" glutaminase kidney isoform, mitochondrial isoform 1 "	 Gls 	4054	2.47	1086.5	1	1	2.82	674
 Q9D945 	 protein LLP homolog 	 Llph 	3488	5.31	1871.8	1	1	9.23	130
 Q8CCT4 	 transcription elongation factor A protein-like 5 	 Tceal5 	4111	2.13	2363.6	1	1	7.00	200
 Q80XQ2 	 TBC1 domain family member 5 isoform b 	 Tbc1d5 	3771	4.03	2689.0	2	1	1.35	815
 Q8BIL5 	 protein Hook homolog 1 	 Hook1 	3879	3.50	2717.5	1	1	1.37	728
 Q91Z67 	 SLIT-ROBO Rho GTPase-activating protein 2 	 Srgap2 	4101	2.21	2910.2	1	1	1.77	1071
 Q9Z2L6 	 multiple inositol polyphosphate phosphatase 1 precursor 	 Minpp1 	4146	1.85	3054.4	1	1	2.29	481
 Q9CQI4 	 uncharacterized protein C11orf74 homolog 	 B230118H07Rik 	3465	5.41	3216.4	1	1	5.74	244
 Q08297 	 DNA repair protein RAD51 homolog 1 	 Rad51 	4252	1.50	3452.8	1	1	4.72	339
 Q9CQA5 	 mediator of RNA polymerase II transcription subunit 4 	 Med4 	3439	5.53	3531.3	1	1	5.19	270
 Q5U4D9 	 THO complex subunit 6 homolog 	 Thoc6 	4217	1.57	3613.9	1	1	3.52	341
 Q9WUE3 	 cytochrome b561 domain-containing protein 2 	 Cyb561d2 	3419	5.63	3673.6	1	1	5.41	222
 Q9JLR9 	" HIG1 domain family member 1A, mitochondrial "	 Higd1a 	3683	4.50	3748.7	1	1	18.95	95
 Q3URE1 	" acyl-CoA synthetase family member 3, mitochondrial precursor "	 Acsf3 	3798	3.89	3915.8	1	1	3.43	583
 Q9CR86 	 calcium-regulated heat stable protein 1 	 Carhsp1 	3287	6.21	3970.9	1	1	10.81	148
 Q9R069 	 basal cell adhesion molecule precursor 	 Bcam 	4196	1.63	4182.7	1	1	3.22	622
 Q3UMF0 	 cordon-bleu protein-like 1 isoform 1 	 Cobll1 	4204	1.60	4360.7	1	1	0.97	1240
 Q8C2B3 	 histone deacetylase 7 isoform 1 	 Hdac7 	3834	3.74	4389.3	1	1	1.36	953
 Q99KJ0 	 UBX domain-containing protein 2A 	 Ubxn2a 	3435	5.56	4406.8	1	1	5.43	258
 Q8C1S0 	 mediator of RNA polymerase II transcription subunit 19 	 Med19 	4229	1.54	4456.9	1	1	4.51	244
 Q9QYE3 	 B-cell lymphoma/leukemia 11A isoform 1 	 Bcl11a 	3957	3.11	4571.1	1	1	1.68	773
 Q9CYN9 	 renin receptor precursor 	 Atp6ap2 	3868	3.61	4607.2	1	1	5.14	350
 P0C872 	 jmjC domain-containing protein 7 	 Jmjd7 	4247	1.51	4919.6	1	1	3.48	316
 O08599 	 syntaxin-binding protein 1 isoform a 	 Stxbp1 	3487	5.31	4951.5	1	1	1.66	603
 Q9JM13 	 rab5 GDP/GTP exchange factor 	 Rabgef1 	3640	4.70	5043.5	1	1	2.24	491
 Q8BVI5 	 syntaxin-16 isoform a 	 Stx16 	4214	1.57	5148.7	1	1	2.76	326
 Q9JKP8 	 chromatin accessibility complex protein 1 	 Chrac1 	3461	5.42	5211.0	1	1	13.95	129
 P09925 	 surfeit locus protein 1 isoform 1 	 Surf1 	4163	1.78	5388.1	1	1	4.58	306
 Q9DBE8 	" alpha-1,3/1,6-mannosyltransferase ALG2 "	 Alg2 	3455	5.45	5388.5	1	1	3.86	415
 Q9D7E4 	 UPF0449 protein C19orf25 homolog 	 2310011J03Rik 	4059	2.45	5723.7	2	2	22.02	109
 Q99P31 	 hsp70-binding protein 1 	 Hspbp1 	4107	2.15	5809.0	1	1	4.48	357
 Q8K2X8 	 general transcription factor IIH subunit 5 	 Gtf2h5 	3793	3.93	5847.1	1	1	19.72	71
 Q8BQ30 	 PREDICTED: phostensin isoform X1 	 Ppp1r18 	3978	2.98	5847.5	3	3	6.90	609
 Q8CIM3 	" D-2-hydroxyglutarate dehydrogenase, mitochondrial isoform 2 "	 D2hgdh 	4108	2.14	6054.9	1	1	2.24	535
 Q61553 	 fascin 	 Fscn1 	3931	3.24	6064.9	2	2	3.25	493
 Q9D273 	" cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial "	 Mmab 	3925	3.26	6192.2	1	1	4.22	237
