UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 nan 	 PREDICTED: transmembrane protein 40 isoform X4 	 Tmem40 	2.14	4558.5	1	1	9.91	222
 P04184 	" thymidine kinase, cytosolic isoform 1 "	 Tk1 	2.89	4808.3	1	1	7.3	233
 Q8CHK3 	 lysophospholipid acyltransferase 7 	 Mboat7 	1.98	5234.5	1	1	2.54	473
 Q8BGA9 	 mitochondrial inner membrane protein OXA1L 	 Oxa1l 	2.87	5816.1	1	1	2.08	433
 P27792 	 protein lyl-1 	 Lyl1 	1.88	6037.6	1	1	5.76	278
 Q9WV72 	 ankyrin repeat and SOCS box protein 3 	 Asb3 	3.36	6254.6	1	1	3.24	525
 Q9DAZ9 	 abscission/NoCut checkpoint regulator isoform 1 	 Zfyve19 	2.88	6496.9	1	1	4.11	389
 P21550 	 beta-enolase 	 Eno3 	3.81	7618.8	1	1	3	434
 P63168 	" dynein light chain 1, cytoplasmic "	 Dynll1 	1.99	7672.3	1	1	24.72	89
 Q9CR37 	 pancreatic progenitor cell differentiation and proliferation factor 	 Ppdpf 	1.82	8266.8	1	1	14.78	115
 Q8R1S0 	" ubiquinone biosynthesis monooxygenase COQ6, mitochondrial precursor "	 Coq6 	2.89	8272.8	1	1	2.1	476
 P97346 	 nucleoredoxin 	 Nxn 	1.8	8556.5	1	1	3.68	435
 Q9CZI9 	 apoptosis-enhancing nuclease isoform 1 	 Aen 	2.18	8724.9	1	1	4.17	336
 Q9WUR9 	" adenylate kinase 4, mitochondrial "	 Ak4 	1.97	9758.5	1	1	4.93	223
 P35276 	 ras-related protein Rab-3D 	 Rab3d 	6.11	9862.5	1	1	6.85	219
 Q3TN06 	 fasciculation and elongation protein zeta-2 isoform 4 	 Fez2 	4.01	9900.1	2	1	3.19	345
 Q8CFB4 	 guanylate-binding protein 5 	 Gbp5 	3.08	10687.6	1	1	2.03	590
