UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
Q9D1I6	RM14	"39S ribosomal protein L14, mitochondrial precursor"	Mrpl14	2825	1.68	1645.9	1	1	13.1	145
Q8VEJ4	NLE1	notchless protein homolog 1	Nle1	2821	1.69	1767.4	1	1	4.33	485
Q8BTZ4	APC5	anaphase-promoting complex subunit 5 isoform a	Anapc5	1975	6.64	2369.9	1	1	1.89	740
A2AE94	A2AE94	synaptotagmin-like protein 1	Sytl1	2799	1.79	2394.5	1	1	2.99	568
O88520	SHOC2	leucine-rich repeat protein SHOC-2	Shoc2	2880	1.5	2464	1	1	3.09	582
Q80UJ7	RB3GP	rab3 GTPase-activating protein catalytic subunit	Rab3gap1	2669	2.75	2506.7	1	1	1.73	981
Q61990	PCBP2	poly(rC)-binding protein 2 isoform 3	Pcbp2	2768	1.96	2893.1	1	1	8.76	331
Q3TC33	CC127	coiled-coil domain-containing protein 127 isoform 2	Ccdc127	2884	1.47	3261.1	1	1	6.75	163
Q99L43	CDS2	phosphatidate cytidylyltransferase 2 isoform a	Cds2	2791	1.82	3381.3	1	1	4.28	444
Q8JZZ6	AMERL	AMMECR1-like protein isoform 2	Ammecr1l	2279	5.19	3526.7	1	1	5.48	310
Q8BLH7	HIRP3	HIRA-interacting protein 3	Hirip3	2773	1.94	3577.6	1	1	1.5	601
Q8BTZ7	GMPPB	mannose-1-phosphate guanyltransferase beta	Gmppb	2673	2.73	3761.7	1	1	5	360
Q8R180	ERO1A	ERO1-like protein alpha precursor	Ero1l	1988	6.57	4233.6	1	1	3.02	464
Q3UD01	A7L3B	putative ataxin-7-like protein 3B	Atxn7l3b	2730	2.18	4410.8	1	1	20.62	97
Q9D8T2	GSDMD	gasdermin-D	Gsdmd	2500	4.02	4649.7	1	1	3.9	487
Q9WU40	MAN1	inner nuclear membrane protein Man1	Lemd3	2159	5.75	4704.9	1	1	2.83	918
Q3TQX1	Q3TQX1	origin recognition complex subunit 6 isoform a	Orc6	2542	3.74	4734.9	1	1	3.82	262
Q6GSS7	H2A2A	histone H2A type 2-A	Hist2h2aa1	2824	1.68	4911.2	1	1	22.31	130
P97742	CPT1A	"carnitine O-palmitoyltransferase 1, liver isoform"	Cpt1a	2320	5	5037.5	1	1	2.33	773
Q3U422	Q3U422	NADH dehydrogenase	Ndufv3	2399	4.63	5101.6	1	1	2.56	468
Q64191	ASPG	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase isoform 1	Aga	2695	2.58	5479.1	1	1	8.96	346
Q99N93	RM16	"39S ribosomal protein L16, mitochondrial precursor"	Mrpl16	2759	1.99	5987.1	1	1	6.37	251
Q91VA6	PDIP2	polymerase delta-interacting protein 2	Poldip2	2863	1.56	6041	2	1	4.35	368
Q5NCQ5	DPH1	diphthamide biosynthesis protein 1	Dph1	1978	6.63	6059.3	1	1	3.2	438
Q6IFZ6	K2C1B	"keratin, type II cytoskeletal 1b"	Krt77	2715	2.29	6088.6	1	1	2.1	572
Q60980	KLF3	Krueppel-like factor 3	Klf3	2751	2.01	6108.8	1	1	3.49	344
Q8VEH6	CBWD1	COBW domain-containing protein 1	Cbwd1	2763	1.98	6114.6	1	1	3.56	393
Q8CAY6	THIC	"acetyl-CoA acetyltransferase, cytosolic"	Acat2	2864	1.55	6142.8	1	1	2.52	397
O35730	RING1	E3 ubiquitin-protein ligase RING1	Ring1	2568	3.59	6152.7	1	1	5.67	406
Q99MR8	MCCA	"methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial"	Mccc1	2627	3.08	6290.8	1	1	2.09	717
Q8BM55	TM214	transmembrane protein 214	Tmem214	2274	5.23	6359.3	1	1	2.33	687
Q9CXP8	GBG10	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	Gng10	2684	2.65	6391.4	1	1	26.47	68
Q3TX08	TRM1	tRNA (guanine(26)-N(2))-dimethyltransferase isoform 1	Trmt1	2803	1.78	6417.2	1	1	2.87	663
