UniprotID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 P42128 	 forkhead box protein K1 	 Foxk1 	3133	1.94	1105.2	1	1	2.50	719
 Q9CQU5 	 ZW10 interactor 	 Zwint 	2990	3.07	1754.1	1	1	4.37	252
 Q99LB0 	 deoxynucleotidyltransferase terminal-interacting protein 1 	 Dnttip1 	3076	2.32	1962.0	1	1	5.18	328
 Q8VDV3 	 guanine nucleotide exchange factor for Rab-3A 	 Rab3il1 	2929	3.70	2467.4	1	1	5.74	383
 O54714 	 E3 SUMO-protein ligase PIAS3 isoform 3 	 Pias3 	2979	3.22	2516.8	1	1	2.39	628
 Q8BH93 	 MAPK-interacting and spindle-stabilizing protein-like 	 Mapk1ip1l 	3047	2.54	2699.4	1	1	10.33	242
 Q9D1I5 	" methylmalonyl-CoA epimerase, mitochondrial precursor "	 Mcee 	2974	3.24	2849.0	1	1	6.74	178
 Q8BUM3 	 tyrosine-protein phosphatase non-receptor type 7 	 Ptpn7 	2424	6.61	2958.9	1	1	4.46	359
 Q9D786 	 HAUS augmin-like complex subunit 5 	 Haus5 	3163	1.87	3006.9	1	1	2.75	619
 Q9DB25 	 dolichyl-phosphate beta-glucosyltransferase 	 Alg5 	2915	3.78	3195.1	1	1	4.01	324
 P97379 	 ras GTPase-activating protein-binding protein 2 isoform a 	 G3bp2 	2577	5.97	3353.3	1	1	3.32	482
 Q923K4 	" tRNA modification GTPase GTPBP3, mitochondrial precursor "	 Gtpbp3 	2976	3.23	3373.2	1	1	3.46	492
 Q6P4S6 	 serine/threonine-protein kinase SIK3 	 Sik3 	2818	4.53	3374.5	1	1	1.75	1369
 Q99N92 	" 39S ribosomal protein L27, mitochondrial "	 Mrpl27 	3138	1.93	3491.1	1	1	7.43	148
 Q9CZB0 	" succinate dehydrogenase cytochrome b560 subunit, mitochondrial "	 Sdhc 	3028	2.68	3704.1	1	1	4.73	169
 Q6PD26 	 GPI transamidase component PIG-S 	 Pigs 	2966	3.31	3929.7	1	1	1.26	555
 D3YZP9 	 coiled-coil domain-containing protein 6 	 Ccdc6 	2846	4.30	4099.1	1	1	2.99	469
 Q8VI33 	 transcription initiation factor TFIID subunit 9 	 Taf9 	3093	2.18	4466.4	1	1	8.33	264
 Q80YV2 	 nuclear-interacting partner of ALK isoform 1 	 Zc3hc1 	2720	5.13	4478.2	1	1	4.99	501
 Q91VA6 	 polymerase delta-interacting protein 2 	 Poldip2 	3072	2.34	4551.5	2	1	4.35	368
 Q9CWK3 	 CD2 antigen cytoplasmic tail-binding protein 2 	 Cd2bp2 	2675	5.38	4557.7	1	1	4.09	342
 Q8BY87 	 ubiquitin carboxyl-terminal hydrolase 47 isoform 1 	 Usp47 	2828	4.47	4801.2	1	1	0.65	1376
 Q9DCJ1 	 target of rapamycin complex subunit LST8 isoform 1 	 Mlst8 	2751	4.94	4803.3	1	1	5.52	326
 Q8BHB4 	 WD repeat-containing protein 3 	 Wdr3 	2932	3.66	4842.2	1	1	2.02	942
 Q9D8U3 	 endoplasmic reticulum resident protein 27 precursor 	 Erp27 	2930	3.69	4866.1	1	1	7.72	272
 Q9D0C1 	 E3 ubiquitin-protein ligase RNF115 	 Rnf115 	2736	5.06	4870.2	1	1	5.90	305
 P19426 	 negative elongation factor E 	 Nelfe 	1993	9.14	4931.6	1	1	4.90	367
 P61406 	 telomerase-binding protein EST1A 	 Smg6 	3120	1.98	5143.8	1	1	1.06	1418
 Q6P1E1 	 zinc finger MIZ domain-containing protein 1 isoform 1 	 Zmiz1 	3127	1.95	5250.5	1	1	0.93	1072
 A2AJL3 	 FGGY carbohydrate kinase domain-containing protein isoform a 	 Fggy 	3096	2.17	5298.4	1	1	3.99	552
 Q9JJZ6 	 Krueppel-like factor 13 	 Klf13 	3150	1.91	5465.9	2	2	8.65	289
 Q9D842 	 aprataxin and PNK-like factor isoform 1 	 Aplf 	3097	2.16	5630.7	1	1	2.61	499
 G3X8S2 	 transcription factor IIIB 90 kDa subunit 	 Brf1 	2928	3.71	6144.7	1	1	2.96	676
 Q9JK91 	 DNA mismatch repair protein Mlh1 isoform 1 	 Mlh1 	3075	2.33	6149.7	1	1	1.58	760
 Q921G6 	 leucine-rich repeat and calponin homology domain-containing protein 	 Lrch4 	2463	6.46	6435.0	1	1	2.94	680
 P53996 	 cellular nucleic acid-binding protein isoform 1 	 Cnbp 	2278	7.17	6465.6	1	1	8.43	178
 Q8BR65 	 sin3 histone deacetylase corepressor complex component SDS3 isoform 	 Suds3 	3109	2.06	6506.4	2	1	4.52	332
 Q6P9Q4 	 FH1/FH2 domain-containing protein 1 	 Fhod1 	2379	6.78	6585.3	1	1	1.25	1197
 Q8BTE0 	" succinate dehydrogenase assembly factor 4, mitochondrial precursor "	 Sdhaf4 	2750	4.96	6706.4	1	1	9.62	104
 Q8C253 	 galectin-3 	 Lgals3 	2432	6.58	6855.7	2	2	13.26	264
 Q99LR1 	 monoacylglycerol lipase ABHD12 	 Abhd12 	2798	4.71	6926.2	1	1	5.78	398
 Q3UJP5 	 protein C8orf37 homolog 	 2610301B20Rik 	2856	4.23	6990.8	1	1	7.18	209
 Q0VE29 	 sterile alpha motif domain-containing protein 12 	 Samd12 	2497	6.29	7018.4	1	1	8.70	161
 Q8R404 	 MICOS complex subunit MIC13 precursor 	 2410015M20Rik 	2323	6.99	7071.7	1	1	18.49	119
 Q6P2B1 	 transportin-3 	 Tnpo3 	2756	4.92	7152.0	1	1	1.63	923
 P51163 	 uroporphyrinogen-III synthase isoform 1 	 Uros 	2996	3.04	7162.4	1	1	7.92	265
 Q9JMH7 	 sialidase-3 	 Neu3 	2991	3.07	7240.5	2	1	2.87	418
 Q8JZX5 	 leucine-rich repeat-containing protein 57 isoform a 	 Lrrc57 	2517	6.19	7324.8	1	1	4.63	281
 Q9CQC9 	 GTP-binding protein SAR1b 	 Sar1b 	3022	2.73	7499.0	1	1	5.56	198
 Q60664 	 lymphoid-restricted membrane protein isoform 1 	 Lrmp 	3122	1.97	7558.1	1	1	1.48	539
 A2APY7 	 NADH dehydrogenase 	 Ndufaf5 	2725	5.10	7653.9	1	1	3.50	343
 Q7TMY4 	 THO complex subunit 7 homolog isoform 1 	 Thoc7 	2978	3.23	7708.3	1	1	4.90	204
 Q8BGH7 	 CDC42 small effector protein 2 	 Cdc42se2 	2713	5.20	7749.1	1	1	22.62	84
 Q6ZWQ9 	" myosin light chain, regulatory B-like "	 Myl12a 	2698	5.29	7944.0	1	1	11.63	172
 Q9QZI8 	 serine incorporator 1 precursor 	 Serinc1 	2718	5.15	8034.9	1	1	3.75	453
 B2RPV6 	 multimerin-1 isoform a precursor 	 Mmrn1 	2277	7.17	8065.3	2	2	2.31	1210
 Q9WUZ9 	 ectonucleoside triphosphate diphosphohydrolase 5 isoform a 	 Entpd5 	2650	5.53	8318.2	2	1	3.10	452
 Q8K339 	 DNA/RNA-binding protein KIN17 	 Kin 	3139	1.93	8393.6	1	1	3.07	391
 Q9DAS9 	 guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 	 Gng12 	2148	7.77	8563.2	1	1	19.44	72
 Q9D6K7 	 tetratricopeptide repeat protein 33 	 Ttc33 	2874	4.11	8567.2	2	2	10.69	262
 Q3TSG4 	 RNA demethylase ALKBH5 	 Alkbh5 	3113	2.03	8792.9	1	1	3.80	395
 Q8C788 	 sorting nexin-18 	 Snx18 	3055	2.49	8795.4	2	1	2.60	615
 Q8CD10 	" calcium uptake protein 2, mitochondrial "	 Micu2 	2717	5.16	8871.3	1	1	3.94	432
 Q8R1G6 	 PDZ and LIM domain protein 2 	 Pdlim2 	2774	4.85	8973.7	1	1	4.01	349
 Q68FE8 	 zinc finger protein 280D isoform 1 	 Zfp280d 	3052	2.51	9007.5	2	1	2.05	974
 O35387 	 HCLS1-associated protein X-1 isoform 1 	 Hax1 	3004	2.90	9116.1	1	1	7.14	280
 Q9JJT0 	 RNA 3'-terminal phosphate cyclase-like protein 	 Rcl1 	2731	5.08	9167.3	1	1	3.22	373
 A2AI08 	 taperin 	 Tprn 	2623	5.71	9317.9	1	1	2.80	749
 Q99L28 	 probable ribosome biogenesis protein RLP24 	 Rsl24d1 	2888	3.98	9330.1	1	1	7.36	163
 Q04857 	 collagen alpha-1(VI) chain precursor 	 Col6a1 	2461	6.46	9470.7	2	2	1.66	1025
 Q6ZQ03 	 formin-binding protein 4 	 Fnbp4 	3073	2.34	9511.9	1	1	1.86	1077
 O08529 	 calpain-2 catalytic subunit 	 Capn2 	3053	2.51	9633.8	2	2	4.29	700
 Q8K2D3 	 enhancer of mRNA-decapping protein 3 	 Edc3 	2395	6.69	9748.1	2	2	4.72	508
 Q9Z1T1 	 AP-3 complex subunit beta-1 	 Ap3b1 	2984	3.16	9895.2	2	2	1.81	1105
 Q8BSF4 	" phosphatidylserine decarboxylase proenzyme, mitochondrial "	 Pisd 	2862	4.19	9925.7	3	2	5.42	406
 Q9CQK7 	 RWD domain-containing protein 1 	 Rwdd1 	3038	2.61	9979.5	1	1	3.70	243
 P61226 	 ras-related protein Rap-2b precursor 	 Rap2b 	3060	2.45	9986.8	2	2	15.30	183
 Q8CE46 	 pseudouridylate synthase 7 homolog-like protein 	 Pus7l 	2757	4.92	10006.2	1	1	1.71	702
 Q9QZX7 	 serine racemase 	 Srr 	2374	6.79	10145.3	1	1	4.72	339
 Q68ED7 	 CREB-regulated transcription coactivator 1 	 Crtc1 	2126	7.92	10177.5	2	1	2.86	630
 Q91W89 	 alpha-mannosidase 2C1 	 Man2c1 	2771	4.85	10232.1	1	1	1.25	1039
 Q8VC52 	 RNA-binding protein with multiple splicing 2 	 Rbpms2 	2934	3.65	10368.5	1	1	5.34	206
 Q8BG67 	 protein EFR3 homolog A 	 Efr3a 	2582	5.95	10401.5	1	1	1.71	819
 Q9DB16 	 calcium-binding protein 39-like 	 Cab39l 	3142	1.92	10414.7	1	1	2.97	337
 P06801 	 NADP-dependent malic enzyme isoform 1 	 Me1 	2234	7.33	10496.4	2	1	3.15	572
 D3Z4S3 	 putative peptidyl-tRNA hydrolase PTRHD1 	 Ptrhd1 	2805	4.63	10508.2	1	1	8.57	140
 P49138 	 MAP kinase-activated protein kinase 2 	 Mapkapk2 	2970	3.26	10604.9	2	2	5.44	386
 Q3UGR5 	 haloacid dehalogenase-like hydrolase domain-containing protein 2 	 Hdhd2 	2287	7.11	10608.6	2	1	5.02	259
 Q9Z2R6 	 protein unc-119 homolog A isoform 2 	 Unc119 	2665	5.43	10658.9	2	1	6.25	240
 Q56A08 	 G patch domain and KOW motifs-containing protein 	 Gpkow 	2969	3.28	10725.1	1	1	2.46	488
 Q9DAA6 	 exosome complex component CSL4 isoform 1 	 Exosc1 	2564	6.02	10783.1	1	1	8.21	195
 Q8VDY9 	 caspase activity and apoptosis inhibitor 1 	 Caap1 	2639	5.60	10837.4	1	1	3.93	356
 Q91VW3 	 SH3 domain-binding glutamic acid-rich-like protein 3 	 Sh3bgrl3 	2610	5.80	10882.4	2	2	31.18	93
 Q99JW2 	 aminoacylase-1 	 Acy1 	2502	6.26	11331.0	2	2	6.37	408
 Q9ESD6 	 CKLF-like MARVEL transmembrane domain-containing protein 7 isoform 	 Cmtm7 	2472	6.43	11336.3	1	1	12.57	167
 P46414 	 cyclin-dependent kinase inhibitor 1B 	 Cdkn1b 	2663	5.46	11389.7	3	1	10.15	197
 Q9CQW2 	 ADP-ribosylation factor-like protein 8B 	 Arl8b 	2661	5.46	11392.4	2	2	13.44	186
 Q9DAI2 	 intraflagellar transport protein 22 homolog 	 Ift22 	2981	3.19	11428.2	1	1	5.95	185
 Q8R2Q4 	" ribosome-releasing factor 2, mitochondrial isoform 1 "	 Gfm2 	2865	4.17	11477.5	2	2	1.93	779
 Q9CQ86 	 migration and invasion enhancer 1 	 Mien1 	2578	5.97	11483.5	2	1	9.57	115
 P97478 	" 5-demethoxyubiquinone hydroxylase, mitochondrial isoform 1 "	 Coq7 	2453	6.50	11517.2	1	1	4.15	217
 P50428 	 arylsulfatase A precursor 	 Arsa 	2097	8.10	11714.3	1	1	3.75	506
 Q9JLF6 	 protein-glutamine gamma-glutamyltransferase K 	 Tgm1 	2257	7.23	11733.5	3	1	1.96	815
 Q9Z223 	 molybdopterin synthase sulfur carrier subunit isoform Mocs2A 	 Mocs2 	2754	4.93	11735.9	2	1	11.36	88
 Q9CWD8 	 iron-sulfur protein NUBPL precursor 	 Nubpl 	2789	4.75	11737.4	1	1	5.02	319
 Q3U0B3 	 dehydrogenase/reductase SDR family member 11 precursor 	 Dhrs11 	2833	4.42	11750.9	3	2	10.00	260
 Q9QYB5 	 gamma-adducin isoform a 	 Add3 	3105	2.10	11870.3	3	2	5.10	706
 Q9DD02 	 protein Hikeshi isoform a 	 l7Rn6 	2124	7.94	11902.8	1	1	6.60	197
 Q8K1L5 	 protein phosphatase 1 regulatory subunit 11 	 Ppp1r11 	2988	3.08	11904.0	1	1	5.34	131
 Q9D103 	 interferon-induced transmembrane protein 1 	 Ifitm1 	2526	6.16	11942.8	1	1	15.09	106
 Q8VDP2 	 UPF0428 protein CXorf56 homolog 	 C330007P06Rik 	2505	6.24	11954.0	1	1	6.31	222
 nan 	 PREDICTED: LIM domain-containing protein 1 isoform X1 	 Limd1 	2811	4.57	11960.6	2	1	3.11	482
 O08848 	 60 kDa SS-A/Ro ribonucleoprotein 	 Trove2 	2641	5.59	12012.3	2	1	2.04	538
 Q9JIZ5 	 transcription factor AP-4 	 Tfap4 	2536	6.14	12034.0	2	1	4.73	338
 Q9QYI3 	 dnaJ homolog subfamily C member 7 	 Dnajc7 	2420	6.62	12133.5	2	1	2.63	494
 Q7TPD0 	 integrator complex subunit 3 	 Ints3 	2657	5.48	12149.1	2	2	2.59	1041
 Q3TMX5 	 mesencephalic astrocyte-derived neurotrophic factor precursor 	 Manf 	2800	4.69	12201.7	1	1	5.59	179
 Q8VCM8 	 nicalin precursor 	 Ncln 	3050	2.51	12314.8	1	1	2.49	563
 Q8BMQ2 	 general transcription factor 3C polypeptide 4 isoform 1 	 Gtf3c4 	2896	3.91	12379.9	2	1	1.10	817
 Q8BVF2 	 phosducin-like protein 3 	 Pdcl3 	2575	5.98	12537.5	2	1	4.17	240
 Q91YR5 	 methyltransferase-like protein 13 	 Mettl13 	2933	3.65	12553.1	1	1	2.72	698
 Q91YP3 	 deoxyribose-phosphate aldolase 	 Dera 	2274	7.18	12631.5	2	2	8.18	318
 P62484 	 abl interactor 2 isoform 1 	 Abi2 	2762	4.91	12755.4	2	1	3.08	487
 P62267 	 40S ribosomal protein S23 	 Rps23 	2604	5.84	12785.4	1	1	7.69	143
 Q9DB91 	 mediator of RNA polymerase II transcription subunit 29 	 Med29 	2192	7.50	12790.3	1	1	8.54	199
 Q9ERA0 	 alpha-globin transcription factor CP2 isoform 1 	 Tfcp2 	2119	7.97	12806.4	2	2	5.98	502
 Q9D4H8 	 cullin-2 	 Cul2 	2911	3.82	12866.9	2	2	3.36	745
 Q3U186 	" probable arginine--tRNA ligase, mitochondrial precursor "	 Rars2 	3134	1.94	12880.5	2	2	4.67	578
 Q61183 	 poly(A) polymerase alpha 	 Papola 	2091	8.14	12926.3	1	1	2.84	739
 Q7TNL5 	 PREDICTED: serine/threonine-protein phosphatase 2A 56 kDa 	 Ppp2r5d 	2312	7.04	12932.1	2	2	4.54	595
 Q922R5 	 serine/threonine-protein phosphatase 4 regulatory subunit 3B 	 Smek2 	2814	4.55	12936.3	3	3	3.54	820
 Q923B1 	 lariat debranching enzyme 	 Dbr1 	2879	4.08	13049.3	3	2	2.91	550
 Q61017 	 guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2 	 Gngt2 	2009	8.95	13163.7	1	1	20.29	69
 Q9D6K8 	 FUN14 domain-containing protein 2 	 Fundc2 	2617	5.74	13211.8	1	1	7.28	151
 Q9CPT4 	 UPF0556 protein C19orf10 homolog precursor 	 Mydgf 	2845	4.30	13244.7	1	1	5.42	166
 Q9QZI9 	 serine incorporator 3 precursor 	 Serinc3 	2702	5.28	13271.7	2	2	4.45	472
 Q3UGS4 	 protein FAM195B 	 Fam195b 	2629	5.65	13301.7	1	1	9.28	97
