UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
Q8JZQ2	AFG32	AFG3-like protein 2	Afg3l2	2090	1.90	77904.3	3	2	2.24	802
Q91VC3	IF4A3	eukaryotic initiation factor 4A-III	Eif4a3	2092	1.90	34648.0	3	3	3.41	411
P63139	NFYB	nuclear transcription factor Y subunit beta	Nfyb	2088	1.91	109621.4	2	2	22.22	207
Q9D7M8	RPB4	DNA-directed RNA polymerase II subunit RPB4 isoform 1	Polr2d	2089	1.91	29910.4	1	1	10.56	142
P47879	IBP4	insulin-like growth factor-binding protein 4 precursor	Igfbp4	2085	1.92	28860.5	2	1	3.15	254
P09926	SURF2	surfeit locus protein 2	Surf2	2086	1.92	109202.8	4	3	12.84	257
Q8VE73	CUL7	cullin-7	Cul7	2083	1.94	289278.9	8	4	2.96	1689
P60060	SC61G	protein transport protein Sec61 subunit gamma isoform 1	Sec61g	2081	1.95	35944.5	2	1	13.00	100
M0QWP1	M0QWP1	agrin precursor	Agrn	2082	1.95	169302.0	9	6	3.20	2034
Q8BVI4	DHPR	dihydropteridine reductase	Qdpr	2080	1.95	79362.7	2	2	4.56	241
Q8CI33	C19L1	CWF19-like protein 1	Cwf19l1	2078	1.98	33737.2	3	1	2.79	537
Q9QXX4	CMC2	calcium-binding mitochondrial carrier protein Aralar2 isoform 1	Slc25a13	2077	2.00	50706.8	3	3	5.62	676
A2AN08	UBR4	E3 ubiquitin-protein ligase UBR4	Ubr4	2076	2.01	160577.3	13	7	1.35	5180
A2AF47	DOC11	dedicator of cytokinesis protein 11	Dock11	2072	2.02	28903.8	3	3	1.93	2073
Q8R151	ZNFX1	NFX1-type zinc finger-containing protein 1 isoform a	Znfx1	2075	2.02	413123.0	78	5	2.57	1909
Q921E6	EED	polycomb protein EED	Eed	2073	2.02	527480.1	5	1	1.59	441
Q91WM3	U3IP2	U3 small nucleolar RNA-interacting protein 2	Rrp9	2074	2.02	770440.0	5	4	10.32	475
Q8BZR9	NCBP3	nuclear cap-binding protein subunit 3	Ncbp3	2071	2.03	20942.6	3	3	6.02	615
Q9CZ15	PSF1	DNA replication complex GINS protein PSF1 isoform 1	Gins1	2070	2.03	129158.2	3	2	15.31	196
O88898	P63	tumor protein 63 isoform a	Trp63	2069	2.04	121709.4	5	3	3.68	680
P70303	PYRG2	CTP synthase 2 isoform a	Ctps2	2068	2.04	38993.8	2	2	5.63	373
P43406	ITAV	integrin alpha-V precursor	Itgav	2066	2.05	53840.6	3	3	3.64	1044
Q61704	ITIH3	inter-alpha-trypsin inhibitor heavy chain H3 preproprotein	Itih3	2065	2.05	84860.2	4	3	3.15	889
O08528	HXK2	hexokinase-2	Hk2	2064	2.06	13007.1	2	2	2.51	917
Q9QYB2	DACH1	dachshund homolog 1 isoform 1	Dach1	2062	2.07	31802.3	1	1	1.86	751
Q61595	KTN1	kinectin isoform 1	Ktn1	2061	2.07	71598.3	5	4	3.92	1327
Q8R4R6	NUP35	nucleoporin NUP53 isoform 1	Nup35	2063	2.07	23964.7	1	1	3.69	325
E9PVZ8	E9PVZ8	golgin subfamily B member 1	Golgb1	2060	2.08	612354.7	18	14	4.66	3238
E9PWI3	E9PWI3	colorectal mutant cancer protein isoform 1	Mcc	2058	2.09	58066.7	3	3	3.89	1003
Q9ERG2	STRN3	striatin-3 isoform 1	Strn3	2059	2.09	59551.3	4	3	5.65	796
Q60739	BAG1	BAG family molecular chaperone regulator 1 isoform 1L	Bag1	2057	2.11	19424.8	1	1	3.10	355
P56873	SSA27	Sjoegren syndrome/scleroderma autoantigen 1 homolog	Sssca1	2056	2.12	42448.6	2	1	5.03	199
P28665	MUG1	murinoglobulin-1 precursor	Mug1	2054	2.13	18804.2	1	1	0.54	1476
Q921X6	RPC6	DNA-directed RNA polymerase III subunit RPC6	Polr3f	2055	2.13	16235.2	1	1	3.80	316
G3UWZ0	G3UWZ0	bromodomain adjacent to zinc finger domain protein 1A	Baz1a	2053	2.14	135840.5	4	3	2.45	1552
Q9DCH6	ZFAN6	AN1-type zinc finger protein 6	Zfand6	2050	2.15	38562.4	1	1	5.38	223
Q8R323	RFC3	replication factor C subunit 3	Rfc3	2051	2.15	73009.4	2	2	7.02	356
Q6ZWY8	TYB10	thymosin beta-10	Tmsb10	2049	2.17	101242.8	4	3	61.36	44
P97494	GSH1	glutamate--cysteine ligase catalytic subunit	Gclc	2046	2.17	26878.3	2	2	3.14	637
Q91WM2	HDHD5	cat eye syndrome critical region protein 5 homolog precursor	Cecr5	2048	2.17	15664.6	2	2	4.77	419
Q9Z0L8	GGH	gamma-glutamyl hydrolase precursor	Ggh	2045	2.20	77765.7	4	4	16.72	317
P36552	HEM6	"oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial"	Cpox	2043	2.21	4553.8	1	1	3.39	443
Q64314	CD34	hematopoietic progenitor cell antigen CD34 isoform 2 precursor	Cd34	2044	2.21	30051.2	1	1	2.88	382
Q8C6E0	CFA36	cilia- and flagella-associated protein 36	Cfap36	2042	2.22	20214.7	2	2	7.87	343
Q9EST4	PSMG2	proteasome assembly chaperone 2	Psmg2	2041	2.22	14044.7	1	1	3.41	264
Q8JZU2	TXTP	"tricarboxylate transport protein, mitochondrial"	Slc25a1	2040	2.22	30812.4	1	1	3.86	311
P52825	CPT2	"carnitine O-palmitoyltransferase 2, mitochondrial precursor"	Cpt2	2039	2.24	101446.4	6	5	11.09	658
Q810A7	DDX42	ATP-dependent RNA helicase DDX42	Ddx42	2038	2.24	72361.4	3	3	3.55	929
Q6QI06	RICTR	rapamycin-insensitive companion of mTOR	Rictor	2036	2.26	21883.0	1	1	0.53	1708
O35691	PININ	pinin	Pnn	2035	2.28	46437.5	2	2	4.41	726
Q9EQN3	T22D4	TSC22 domain family protein 4 isoform 2	Tsc22d4	2034	2.28	80257.7	3	3	13.44	387
Q32KI9	ARSI	arylsulfatase I precursor	Arsi	2033	2.29	81129.0	5	1	1.22	573
P00405	COX2	cytochrome c oxidase subunit II (mitochondrion)	COX2	2031	2.29	60133.6	2	2	7.49	227
Q62425	NDUA4	cytochrome c oxidase subunit NDUFA4	Ndufa4	2032	2.29	720716.0	16	1	1.72	466
P84091	AP2M1	AP-2 complex subunit mu isoform 1	Ap2m1	2029	2.31	54056.9	2	2	4.37	435
Q8K3V7	MNAR1	UPF0258 protein KIAA1024	AF529169	2030	2.31	63965.0	3	2	2.18	917
Q8BYC6	TAOK3	serine/threonine-protein kinase TAO3	Taok3	2027	2.33	451960.6	6	4	3.23	898
Q9R233	TPSN	tapasin isoform 2 precursor	Tapbp	2026	2.33	34908.4	1	1	2.15	465
Q6P9L6	KIF15	kinesin-like protein KIF15	Kif15	2028	2.33	166463.8	7	7	5.62	1387
Q9JKP5	MBNL1	muscleblind-like protein 1 isoform 2	Mbnl1	2025	2.34	56403.5	3	3	6.74	341
Q5UE59	Q5UE59	kinesin light chain 1 isoform 1A	Klc1	2024	2.35	166607.9	6	5	9.78	542
F8VPZ3	F8VPZ3	ubiquitin carboxyl-terminal hydrolase 32	Usp32	2022	2.36	115105.2	5	4	3.30	1604
Q9EP71	RAI14	ankycorbin	Rai14	2021	2.36	89673.2	4	4	4.39	979
Q8CIC2	NUPL2	nucleoporin-like protein 2	Nupl2	2023	2.36	30679.5	1	1	2.86	420
Q8K021	SCAM1	secretory carrier-associated membrane protein 1	Scamp1	2020	2.37	30963.4	6	2	4.14	338
P27546	MAP4	microtubule-associated protein 4 isoform 1	Map4	2018	2.39	12456.1	1	1	1.69	1125
P97823	LYPA1	acyl-protein thioesterase 1	Lypla1	2019	2.39	25189.3	2	2	12.61	230
P49138	MAPK2	MAP kinase-activated protein kinase 2	Mapkapk2	2013	2.40	66980.3	2	2	5.18	386
Q62093	SRSF2	serine/arginine-rich splicing factor 2	Srsf2	2015	2.40	100366.0	3	2	6.79	221
Q9ERB0	SNP29	synaptosomal-associated protein 29	Snap29	2017	2.40	72174.5	4	3	13.08	260
Q8CHW4	EI2BE	translation initiation factor eIF-2B subunit epsilon	Eif2b5	2012	2.40	12612.8	1	1	1.67	717
Q8BQM4	HEAT3	HEAT repeat-containing protein 3	Heatr3	2014	2.40	3962.6	1	1	1.91	679
P07759	SPA3K	serine protease inhibitor A3K precursor	Serpina3k	2016	2.40	229309.1	9	5	9.48	601
C0HKG5	RNT2A	ribonuclease T2 precursor	Rnaset2a	2011	2.42	38950.5	2	1	4.63	259
P97770	THUM3	THUMP domain-containing protein 3	Thumpd3	2008	2.48	311202.1	3	3	5.54	505
P17879	HS71B	heat shock 70 kDa protein 1B	Hspa1b	2006	2.51	114035.0	3	3	5.76	642
