UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
Q6NTA4	RRAGB	ras-related GTP-binding protein B	Rragb	4688	2.42	16552.2	1	1	2.67	374
Q91XB0	TREX1	three-prime repair exonuclease 1	Trex1	3799	7.10	25298.4	1	1	6.37	314
Q5EBG8	CA050	uncharacterized protein C1orf50 homolog	AU022252	3593	8.10	55447.6	2	1	8.04	199
A2AJG0	A2AJG0	ribonuclease P protein subunit p38	Rpp38	3610	7.98	27917.4	2	1	5.71	280
P56394	COX17	cytochrome c oxidase copper chaperone	Cox17	3742	7.29	41042.5	2	1	25.40	63
Q3TV70	NR2CA	nuclear receptor 2C2-associated protein isoform 1	Nr2c2ap	3911	6.64	21468.0	1	1	8.57	140
Q6NXN1	SZRD1	SUZ domain-containing protein 1 isoform 1	Szrd1	4672	2.56	9862.2	1	1	8.55	152
Q3V4B5	COMD6	COMM domain-containing protein 6 isoform 1	Commd6	3684	7.55	36904.2	1	1	14.94	87
F8VQE6	F8VQE6	putative deoxyribonuclease TATDN2	Tatdn2	4461	4.14	18392.3	2	1	1.66	722
Q91XA2	GOLM1	Golgi membrane protein 1	Golm1	3716	7.40	29967.9	1	1	3.56	393
Q9ERE3	SGK3	serine/threonine-protein kinase Sgk3	Sgk3	4201	5.54	21295.5	1	1	2.42	496
Q9QZW0	AT11C	phospholipid-transporting ATPase 11C isoform a	Atp11c	3937	6.54	34895.4	1	1	1.24	1129
Q8R3L2	TCF25	transcription factor 25 isoform c	Tcf25	4192	5.56	12459.1	1	1	1.33	676
Q9D7Y9	SLX4I	protein SLX4IP isoform 1	Slx4ip	4220	5.45	17844.1	2	1	3.63	413
Q6P073	UB2J2	ubiquitin-conjugating enzyme E2 J2 isoform a	Ube2j2	3840	6.94	35617.9	1	1	5.17	271
Q9JLJ5	ELOV1	elongation of very long chain fatty acids protein 1 isoform 1	Elovl1	3690	7.51	46176.0	1	1	4.66	279
Q8CBE3	WDR37	WD repeat-containing protein 37 isoform a	Wdr37	3400	9.57	36163.9	1	1	3.02	496
Q6ZWY8	TYB10	thymosin beta-10	Tmsb10	4458	4.18	128892.9	2	1	31.82	44
Q9CPW2	FDX2	"adrenodoxin-like protein, mitochondrial precursor"	Fdx1l	3820	7.05	16267.4	1	1	11.49	174
Q3U1V6	UEVLD	ubiquitin-conjugating enzyme E2 variant 3	Uevld	4803	1.84	28438.4	1	1	2.34	471
P41731	CD63	CD63 antigen	Cd63	4007	6.27	30543.0	1	1	4.62	238
Q78HU7	GLPC	glycophorin-C	Gypc	3737	7.32	3370.9	1	1	27.37	95
D3Z7P3	GLSK	"glutaminase kidney isoform, mitochondrial isoform 1"	Gls	3674	7.61	10705.6	1	1	2.82	674
Q8CF66	LTOR4	ragulator complex protein LAMTOR4	Lamtor4	4394	4.57	22957.8	1	1	10.10	99
D3Z757	D3Z757	WD repeat-containing protein 86	Wdr86	4794	1.89	28764.3	1	1	2.89	380
Q8BK30	NDUV3	NADH dehydrogenase	Ndufv3	4751	2.13	26193.0	1	1	10.58	104
P13634	CAH1	carbonic anhydrase 1	Car1	4865	1.60	9669.0	1	1	6.13	261
A0A0A6YVZ7	A0A0A6YVZ7	protein lin-9 homolog	Lin9	4487	3.91	16348.5	1	1	2.51	558
Q9WUR2	ECI2	"enoyl-CoA delta isomerase 2, mitochondrial isoform a"	Eci2	3619	7.94	25009.0	1	1	3.58	391
P97808	FXYD5	FXYD domain-containing ion transport regulator 5 isoform a	Fxyd5	3866	6.84	36946.7	3	1	10.67	178
E9PVP5	E9PVP5	molybdopterin synthase sulfur carrier subunit isoform Mocs2B2	Mocs2	4874	1.56	27531.3	1	1	16.56	157
P70662	LDB1	LIM domain-binding protein 1 isoform 1	Ldb1	4015	6.23	72978.1	2	1	3.65	411
Q9D8C9	Q9D8C9	purine-nucleoside phosphorylase 2	Pnp2	3981	6.36	27403.9	2	1	3.93	305
E9PUQ3	E9PUQ3	uncharacterized protein C11orf57 homolog	AU019823	4271	5.22	38082.8	1	1	4.45	292
P21550	ENOB	beta-enolase	Eno3	4247	5.33	19312.1	2	1	3.00	434
P0C8B4	GON7	uncharacterized protein C14orf142 homolog	AK010878	3520	8.62	56237.9	2	1	21.43	98
