UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q7M754 	 Try10-like trypsinogen precursor 	 Gm5409 	3.08	18171.2	1	1	4.07	246
 Q6PDY2 	 2-aminoethanethiol dioxygenase 	 Ado 	5.85	13846.3	1	1	4.3	256
 Q5XJY4 	" presenilins-associated rhomboid-like protein, mitochondrial "	 Parl 	2.53	5211.5	1	1	5.31	377
 Q5U4C3 	" splicing factor, arginine/serine-rich 19 "	 Scaf1 	6.07	5992.3	1	1	1.19	1256
 Q5U4F6 	 WD repeat-containing protein 34 	 Wdr34 	3.06	7437.9	1	1	3.17	537
 Q5NCR9 	 nuclear speckle splicing regulatory protein 1 	 Nsrp1 	1.68	9286.1	1	1	1.29	542
 Q5SUQ9 	 CST complex subunit CTC1 isoform a 	 Ctc1 	3.97	12114.5	1	1	1.82	1212
 P56394 	 cytochrome c oxidase copper chaperone 	 Cox17 	10.12	32660.1	1	1	25.4	63
 O70494 	 transcription factor Sp3 isoform 1 	 Sp3 	2.86	6937.3	1	1	3.58	783
 Q4FZF3 	 probable ATP-dependent RNA helicase DDX49 	 Ddx49 	6.59	20058.6	3	1	2.29	480
 Q8BIX3 	 ARL14 effector protein 	 Arl14ep 	6.65	15549.5	1	1	5.8	276
 F8WI22 	 bcl-2-associated transcription factor 1 isoform 3 	 Bclaf1 	3.88	25289.2	1	1	1.84	870
 Q3TV70 	 nuclear receptor 2C2-associated protein isoform 1 	 Nr2c2ap 	6.72	13726.1	1	1	8.57	140
 Q3V4B5 	 COMM domain-containing protein 6 isoform 1 	 Commd6 	10.89	56984.6	2	1	14.94	87
 Q80V62 	 Fanconi anemia group D2 protein homolog 	 Fancd2 	5.37	6515.7	1	1	0.97	1450
 Q3U1T3 	 breast cancer metastasis-suppressor 1-like protein 	 Brms1l 	7.43	18717.1	2	1	4.33	323
 Q8C5L3 	 CCR4-NOT transcription complex subunit 2 isoform d 	 Cnot2 	8.05	18249.6	2	1	2.91	550
 Q9Z2G6 	 protein sel-1 homolog 1 isoform a precursor 	 Sel1l 	3.72	9717.2	1	1	2.28	790
 Q6P073 	 ubiquitin-conjugating enzyme E2 J2 isoform a 	 Ube2j2 	5.94	22095.6	1	1	5.17	271
 Q9JLJ5 	 elongation of very long chain fatty acids protein 1 isoform 1 	 Elovl1 	10.37	33020.6	2	1	4.66	279
 Q921C5 	 protein bicaudal D homolog 2 isoform 1 	 Bicd2 	6.06	12350.8	1	1	1.18	851
 Q8CBE3 	 WD repeat-containing protein 37 isoform a 	 Wdr37 	5.73	13599.9	1	1	3.02	496
 Q6ZWY8 	 thymosin beta-10 	 Tmsb10 	8.49	138129.1	3	1	31.82	44
 Q921L3 	 transmembrane and coiled-coil domain-containing protein 1 precursor 	 Tmco1 	6.23	33111.4	2	1	7.45	188
 Q9CPW2 	" adrenodoxin-like protein, mitochondrial precursor "	 Fdx1l 	6.61	19000	1	1	6.32	174
 Q5SUC9 	" protein SCO1 homolog, mitochondrial "	 Sco1 	7.03	19861.2	1	1	5.63	284
 Q91W53 	 golgin subfamily A member 7 	 Golga7 	11.17	94196.3	4	1	10.95	137
 Q78HU7 	 glycophorin-C 	 Gypc 	16.05	72809.8	3	1	28.42	95
 Q8R3P6 	 von Willebrand factor A domain-containing protein 9 	 Vwa9 	6.55	14449.2	1	1	2.33	515
 Q7TPQ3 	 E3 ubiquitin-protein ligase SHPRH isoform a 	 Shprh 	1.54	3045.5	1	1	1.19	1674
 Q9D479 	 UV-stimulated scaffold protein A 	 Uvssa 	6.13	4704.2	1	1	2.79	717
 Q8BHT6 	" beta-1,3-glucosyltransferase precursor "	 B3glct 	5.56	27672.7	2	1	2.66	489
 Q9CY73 	" 39S ribosomal protein L44, mitochondrial precursor "	 Mrpl44 	4.72	64065.6	4	1	4.5	333
