UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q7M754 	 Try10-like trypsinogen precursor 	 Gm5409 	3.27	31462.8	1	1	4.07	246
 Q68ED7 	 CREB-regulated transcription coactivator 1 	 Crtc1 	2.19	47219.8	1	1	2.06	630
 Q3TAA8 	 phosphatidylinositol glycan anchor biosynthesis class U protein 	 Pigu 	4.19	17245.3	1	1	3.91	435
 Q5U452 	 TP53-regulating kinase 	 Trp53rka 	3.53	13706.6	1	1	4.1	244
 Q5NCF2 	 trafficking protein particle complex subunit 1 	 Trappc1 	5.21	17004.3	1	1	7.59	145
 Q8BIX3 	 ARL14 effector protein 	 Arl14ep 	8.15	32474.3	1	1	5.8	276
 Q8K1M6 	 dynamin-1-like protein isoform b 	 Dnm1l 	3.37	29112.1	1	1	0.72	699
 A2AJ15 	 endoplasmic reticulum mannosyl-oligosaccharide 	 Man1b1 	3.62	9503	1	1	1.82	658
 Q3UNZ8 	 quinone oxidoreductase-like protein 2 	 BC026585 	12.27	25497.9	1	1	7.71	350
 Q3V460 	 uncharacterized protein LOC228715 	 Gm561 	1.68	24463.8	1	1	9.35	107
 Q91YX0 	 protein THEMIS2 	 Themis2 	7.05	29310	1	1	1.66	663
 Q3TAP4 	 AP-5 complex subunit beta-1 	 Ap5b1 	2.21	5638.9	1	1	1.37	876
 B1AQJ2 	 ubiquitin carboxyl-terminal hydrolase 36 	 Usp36 	5.4	21189.8	1	1	1.55	1098
 Q8R3I9 	" UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 "	 B3gnt8 	8.32	15226.6	1	1	4.37	389
 P63213 	 guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 	 Gng2 	7.43	27876.2	1	1	19.72	71
 Q3UHC1 	 rap guanine nucleotide exchange factor 1 isoform 1 	 Rapgef1 	8.4	30000.6	1	1	1.14	1224
 Q6P073 	 ubiquitin-conjugating enzyme E2 J2 isoform a 	 Ube2j2 	7.62	32743	1	1	5.17	271
 Q9JLJ5 	 elongation of very long chain fatty acids protein 1 isoform 1 	 Elovl1 	9.41	26323.1	1	1	4.66	279
 P31809 	 carcinoembryonic antigen-related cell adhesion molecule 1 isoform 1 	 Ceacam1 	4.3	16017.7	1	1	2.88	521
 Q9DC47 	 zinc finger protein 869 	 Zfp869 	3.74	44725.3	1	1	2.46	529
 P97931 	 uracil-DNA glycosylase isoform a 	 Ung 	11.05	23259.4	1	1	5.56	306
 D3Z7P3 	" glutaminase kidney isoform, mitochondrial isoform 1 "	 Gls 	7.36	30511.9	1	1	2.82	674
 E9Q4F7 	 ankyrin repeat domain-containing protein 11 	 Ankrd11 	2.21	3675.4	1	1	0.64	2643
 A2AF33 	 thymosin beta-like 	 Tmsb15b1 	2.91	21266.3	1	1	28.89	45
 Q91VV4 	 DENN domain-containing protein 2D isoform 2 	 Dennd2d 	4.8	19917.2	1	1	3.65	466
 Q543Y2 	 hematopoietic progenitor cell antigen CD34 isoform 1 precursor 	 Cd34 	1.66	50622.5	1	1	4	325
 Q9JL60 	 glucocorticoid modulatory element-binding protein 1 	 Gmeb1 	1.63	22420.5	1	1	3.2	562
 Q9D8C9 	 purine-nucleoside phosphorylase 2 	 Pnp2 	4.62	6549.6	1	1	3.93	305
 Q61411 	 GTPase HRas isoform 1 	 Hras 	4.57	25043.7	1	1	7.94	189
 Q8VDB2 	" dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase "	 Alg12 	3.94	21359	1	1	1.65	486
 Q922Q9 	 chitinase domain-containing protein 1 isoform 1 precursor 	 Chid1 	7.31	35046	1	1	3.03	396
 Q8BVJ3 	 uncharacterized protein LOC271278 	 BC024139 	2.47	45756	1	1	0.91	772
 D3Z7Q2 	 small integral membrane protein 20 	 Smim20 	4.82	33790.7	1	1	20.29	69
 Q91VW9 	 zinc finger protein with KRAB and SCAN domains 3 	 Zkscan3 	5.16	21953.6	1	1	1.81	553
 Q80VQ1 	 leucine-rich repeat-containing protein 1 isoform 1 	 Lrrc1 	1.82	3393.5	1	1	3.82	524
 Q7TMV3 	" FAST kinase domain-containing protein 5, mitochondrial "	 Fastkd5 	9.94	25272.8	1	1	1.98	807
 Q8JZX5 	 leucine-rich repeat-containing protein 57 isoform a 	 Lrrc57 	6.6	23590.6	1	1	3.2	281
