UniprotID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q8R480 	 nuclear pore complex protein Nup85 	 Nup85 	3276	5.25	5401.4	1	1	2.90	656
 Q6PDY2 	 2-aminoethanethiol dioxygenase 	 Ado 	2976	6.65	10602.1	1	1	4.30	256
 Q5U4D9 	 THO complex subunit 6 homolog 	 Thoc6 	3557	3.11	4326.0	1	1	4.69	341
 Q5NCR9 	 nuclear speckle splicing regulatory protein 1 	 Nsrp1 	3027	6.44	16192.3	3	1	2.58	542
 Q3TV70 	 nuclear receptor 2C2-associated protein isoform 1 	 Nr2c2ap 	3674	2.12	4116.4	1	1	8.57	140
 Q8R3F5 	" malonyl-CoA-acyl carrier protein transacylase, mitochondrial "	 Mcat 	2654	7.74	7669.2	1	1	3.94	381
 Q9CQN7 	" 39S ribosomal protein L41, mitochondrial precursor "	 Mrpl41 	2739	7.46	17211.5	1	1	9.63	135
 Q3V4B5 	 COMM domain-containing protein 6 isoform 1 	 Commd6 	2163	11.18	48946.9	3	1	14.94	87
 Q3UV17 	" keratin, type II cytoskeletal 2 oral "	 Krt76 	2905	6.90	225659.8	10	1	1.52	594
 Q3UN04 	 ubiquitin carboxyl-terminal hydrolase 30 	 Usp30 	2973	6.65	7525.4	1	1	3.68	517
 Q3UGS4 	 protein FAM195B 	 Fam195b 	2877	6.98	14755.8	1	1	9.28	97
 Q3UNZ8 	 quinone oxidoreductase-like protein 2 	 BC026585 	2214	10.58	42447.0	2	1	7.71	350
 A2AWA9 	 rab GTPase-activating protein 1 isoform b 	 Rabgap1 	3317	5.02	53566.7	5	1	2.10	809
 Q3U1T3 	 breast cancer metastasis-suppressor 1-like protein 	 Brms1l 	3410	4.35	21418.9	1	1	4.33	323
 Q8C5L3 	 CCR4-NOT transcription complex subunit 2 isoform d 	 Cnot2 	2486	8.38	26947.0	1	1	2.91	550
 Q9CRC9 	 glucosamine-6-phosphate isomerase 2 	 Gnpda2 	2776	7.30	12360.1	1	1	4.35	276
 Q921C5 	 protein bicaudal D homolog 2 isoform 1 	 Bicd2 	3200	5.65	16956.1	1	1	2.00	851
 Q3UGR5 	 haloacid dehalogenase-like hydrolase domain-containing protein 2 	 Hdhd2 	3471	3.73	3144.3	1	1	5.02	259
 Q6ZWY8 	 thymosin beta-10 	 Tmsb10 	3383	4.57	78808.6	3	1	31.82	44
 Q9CPW2 	" adrenodoxin-like protein, mitochondrial precursor "	 Fdx1l 	3637	2.40	30807.1	1	1	6.32	174
 O08715 	" A-kinase anchor protein 1, mitochondrial "	 Akap1 	3243	5.44	29000.6	1	1	1.75	857
