UniprotID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q5XJY4 	" presenilins-associated rhomboid-like protein, mitochondrial "	 Parl 	4762	3.22	8031.0	1	1	5.31	377
 Q5U452 	 TP53-regulating kinase 	 Trp53rka 	3816	7.81	24177.0	1	1	6.56	244
 Q3TXT3 	 SOSS complex subunit C 	 Inip 	4606	3.85	13587.0	1	1	8.65	104
 F6U238 	 mastermind-like protein 2 isoform 1 	 Maml2 	4894	2.94	3666.2	1	1	1.28	1170
 Q80ZM8 	 cardiolipin synthase (CMP-forming) isoform 1 	 Crls1 	4925	2.74	4828.1	1	1	6.60	303
 Q8BG99 	 homeobox protein PKNOX2 	 Pknox2 	4465	4.45	19749.1	1	1	1.69	474
 E9Q9B3 	 SPRY domain-containing protein 3 	 Spryd3 	4842	3.09	3426.8	1	1	2.49	442
 Q3TT38 	 uncharacterized protein C6orf106 homolog isoform 1 	 D17Wsu92e 	4271	5.33	10703.1	1	1	6.87	291
 P63213 	 guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 	 Gng2 	4031	6.61	27744.1	1	1	19.72	71
 Q9JLJ5 	 elongation of very long chain fatty acids protein 1 isoform 1 	 Elovl1 	4189	5.71	12159.6	1	1	4.66	279
 Q3TXU5 	 deoxyhypusine synthase 	 Dhps 	4886	2.96	9745.0	1	1	3.52	369
 Q9CPW2 	" adrenodoxin-like protein, mitochondrial precursor "	 Fdx1l 	4198	5.65	27451.1	1	1	6.32	174
 Q5SUC9 	" protein SCO1 homolog, mitochondrial "	 Sco1 	3767	8.09	32197.4	1	1	5.63	284
 P97931 	 uracil-DNA glycosylase isoform a 	 Ung 	3684	8.49	25754.8	1	1	5.56	306
 Q3U1V6 	 ubiquitin-conjugating enzyme E2 variant 3 	 Uevld 	4898	2.92	24834.4	1	1	2.34	471
 Q99LG4 	 tetratricopeptide repeat protein 5 isoform a 	 Ttc5 	4346	4.99	34988.3	1	1	3.18	440
 Q80TG1 	 KAT8 regulatory NSL complex subunit 1 	 Kansl1 	3453	10.01	35419.5	1	1	2.03	1036
