UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q5DW34 	 histone-lysine N-methyltransferase EHMT1 isoform 1 	 Ehmt1 	6.44	28759.4	1	1	1.16	1296
 Q7TMQ7 	 WD repeat-containing protein 91 	 Wdr91 	3.27	7923.8	1	1	2.01	748
 Q3TV70 	 nuclear receptor 2C2-associated protein isoform 1 	 Nr2c2ap 	5.42	16632.3	1	1	8.57	140
 Q3V4B5 	 COMM domain-containing protein 6 isoform 1 	 Commd6 	10.53	23314.9	1	1	14.94	87
 Q3TMP1 	 general transcription factor 3C polypeptide 3 	 Gtf3c3 	4.57	12123	1	1	2.04	882
 Q9CZW4 	 long-chain-fatty-acid--CoA ligase 3 isoform a 	 Acsl3 	4.51	6434	1	1	2.92	720
 P97931 	 uracil-DNA glycosylase isoform a 	 Ung 	8.77	18928.5	1	1	5.56	306
 Q3U1V6 	 ubiquitin-conjugating enzyme E2 variant 3 	 Uevld 	2.94	10236	1	1	2.34	471
 P19426 	 negative elongation factor E 	 Nelfe 	1.47	1570.8	1	1	4.9	367
 Q91Z67 	 SLIT-ROBO Rho GTPase-activating protein 2 	 Srgap2 	3.59	22119.6	1	1	1.21	1071
 Q0VEE6 	 zinc finger protein 800 	 Zfp800 	3.96	3087.9	1	1	2.57	662
 E9Q2S7 	 zinc finger protein 426-like 	 Zfp266 	9.48	14924.1	1	1	1.99	604
 P0C7N9 	 proteasome assembly chaperone 4 isoform b 	 Psmg4 	11.01	25074	1	1	12.2	123
 Q9QYA2 	 mitochondrial import receptor subunit TOM40 homolog 	 Tomm40 	5.06	24423.1	1	1	4.16	361
 Q8VCL2 	" protein SCO2 homolog, mitochondrial "	 Sco2 	2.63	5919.6	1	1	6.27	255
 P61804 	 dolichyl-diphosphooligosaccharide--protein glycosyltransferase 	 Dad1 	5.22	31588.9	1	1	10.62	113
