UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q8C0S1 	 DIS3-like exonuclease 1 isoform 1 	 Dis3l 	2.64	21071.2	3	2	2.85	1053
 Q0VGU5 	 vitamin K epoxide reductase complex subunit 1-like protein 1 	 Vkorc1l1 	3.21	17939.4	1	1	7.87	127
 Q6IRU2 	 tropomyosin alpha-4 chain 	 Tpm4 	14.07	62313.9	7	4	20.97	248
 Q3SXA6 	 TNFAIP3-interacting protein 3 	 Tnip3 	11.98	59812.2	3	3	18.75	208
 Q3TNL8 	" inositol 1,4,5-trisphosphate receptor-interacting protein precursor "	 Itprip 	23.97	139243.5	9	5	12.25	555
 P23949 	" zinc finger protein 36, C3H1 type-like 2 "	 Zfp36l2 	3.06	43705.8	3	2	4.55	484
 P01901 	" H-2 class I histocompatibility antigen, K-W28 alpha chain isoform 1 "	 H2-K1 	100.07	973114.9	38	15	51.49	369
 Q8BL66 	 early endosome antigen 1 	 Eea1 	75.99	364354.1	19	14	13.18	1411
 P59997 	 lysine-specific demethylase 2A 	 Kdm2a 	16.87	140023.5	9	7	7.49	1161
 P48678 	 prelamin-A/C isoform A precursor 	 Lmna 	12.24	135014.3	10	7	10.23	665
 P17156 	 heat shock-related 70 kDa protein 2 	 Hspa2 	20.52	217735.4	9	7	11.69	633
 Q6ZWZ7 	 60S ribosomal protein L17 	 Rpl17 	65.48	1033542	39	10	44.56	184
 P61406 	 telomerase-binding protein EST1A 	 Smg6 	13.55	99758	6	5	4.65	1418
 Q8R480 	 nuclear pore complex protein Nup85 	 Nup85 	9.34	58793.2	5	3	5.64	656
 Q7M754 	 Try10-like trypsinogen precursor 	 Gm5409 	1.82	29093.8	2	1	4.07	246
 Q6GYP7 	 ral GTPase-activating protein subunit alpha-1 isoform 3 	 Ralgapa1 	6.11	27571.7	3	2	1.2	2083
 Q68FD5 	 clathrin heavy chain 1 	 Cltc 	293	2469129.8	104	49	34.99	1675
 Q68FG0 	 zinc finger C4H2 domain-containing protein isoform 1 	 Zc4h2 	16.33	97689.3	6	5	22.77	224
 Q8R361 	 rab11 family-interacting protein 5 isoform 1 	 Rab11fip5 	3.1	10264.7	1	1	1.75	1318
 O88509 	 DNA (cytosine-5)-methyltransferase 3B isoform 1 	 Dnmt3b 	21.42	97267.8	6	5	8.27	859
 Q68ED7 	 CREB-regulated transcription coactivator 1 	 Crtc1 	5.78	28642.3	2	1	2.86	630
 Q65Z40 	 wings apart-like protein homolog isoform 1 	 Wapl 	75.39	320586.8	14	12	15.58	1200
 Q6PDY2 	 2-aminoethanethiol dioxygenase 	 Ado 	10.08	34662.8	4	4	22.66	256
 Q6PAM1 	 alpha-taxilin 	 Txlna 	34.58	207296.7	15	11	22.56	554
 Q640N3 	 rho GTPase-activating protein 30 	 Arhgap30 	56.04	422123.3	21	12	13.91	1093
 Q8BJW6 	 eukaryotic translation initiation factor 2A 	 Eif2a 	86.15	442982	22	12	33.22	581
 Q6ZWQ0 	 nesprin-2 	 Syne2 	22.24	1018021.1	24	22	4.6	6874
 A2RTL5 	 arginine/serine-rich coiled-coil protein 2 	 Rsrc2 	13.83	95321.3	5	4	13.36	434
 Q5XJY4 	" presenilins-associated rhomboid-like protein, mitochondrial "	 Parl 	6.01	37842.8	3	1	5.31	377
 Q64191 	 N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase isoform 1 	 Aga 	13.29	65330.3	3	3	10.4	346
 Q9D1R9 	 60S ribosomal protein L34 	 Rpl34 	6.44	197634.7	5	3	21.37	117
 Q80TH2 	 protein LAP2 isoform 1 	 Erbb2ip 	42.38	309321.1	17	13	11.79	1450
 Q5U452 	 TP53-regulating kinase 	 Trp53rka 	17.22	45409.6	3	3	15.16	244
 Q5RJG1 	 nucleolar protein 10 	 Nol10 	22.22	120743.2	9	5	9.46	687
 Q5U4C3 	" splicing factor, arginine/serine-rich 19 "	 Scaf1 	13.01	53472.3	6	3	3.42	1256
 Q5U4D9 	 THO complex subunit 6 homolog 	 Thoc6 	33.25	148310.7	8	6	24.93	341
 Q5PSV9 	 mediator of DNA damage checkpoint protein 1 	 Mdc1 	48.79	147361.2	10	8	9.54	1708
 Q91XB0 	 three-prime repair exonuclease 1 	 Trex1 	13.04	59665.8	4	2	9.24	314
 Q5NCR9 	 nuclear speckle splicing regulatory protein 1 	 Nsrp1 	3.42	5534.1	1	1	2.58	542
 Q5DW34 	 histone-lysine N-methyltransferase EHMT1 isoform 1 	 Ehmt1 	43.02	226350.8	13	8	13.04	1296
 Q5EE38 	 adrenocortical dysplasia protein 	 Acd 	3.9	31455.6	2	2	6.73	416
 Q8BIF9 	 zinc finger protein 787 	 Zfp787 	5.53	22810.3	2	2	4.72	381
 Q5SUQ9 	 CST complex subunit CTC1 isoform a 	 Ctc1 	55.77	319464	15	8	11.39	1212
 Q7TMQ7 	 WD repeat-containing protein 91 	 Wdr91 	9.16	66796.2	5	3	4.14	748
 Q5EG47 	 5'-AMP-activated protein kinase catalytic subunit alpha-1 	 Prkaa1 	23.69	490628.5	9	7	17.71	559
 Q3UIR3 	 E3 ubiquitin-protein ligase DTX3L 	 Dtx3l 	59.53	373399.1	18	9	19.92	748
 Q5SSI6 	 U3 small nucleolar RNA-associated protein 18 homolog 	 Utp18 	19.11	138560.4	7	6	15.4	552
 A2AJG0 	 ribonuclease P protein subunit p38 	 Rpp38 	11.69	34670.3	2	2	7.5	280
 Q6PDL0 	 cytoplasmic dynein 1 light intermediate chain 2 	 Dync1li2 	39.87	253497.7	14	7	20.12	492
 Q6NVF9 	 cleavage and polyadenylation specificity factor subunit 6 isoform 2 	 Cpsf6 	59.1	344932.7	15	7	19.42	551
 Q91VJ1 	 interferon-inducible protein AIM2 	 Aim2 	9.47	48750.9	4	3	10.17	354
 Q3UCV8 	 ubiquitin thioesterase otulin 	 Otulin 	8.36	47223.6	5	2	7.39	352
 Q8VI33 	 transcription initiation factor TFIID subunit 9 	 Taf9 	27.47	107718.1	6	5	31.44	264
 P17047 	 lysosome-associated membrane glycoprotein 2 isoform 1 precursor 	 Lamp2 	12.49	116271.6	7	4	8.43	415
 A2ADY9 	 protein DDI1 homolog 2 	 Ddi2 	76.16	373233.9	18	9	39.35	399
 Q3USW5 	 FAD-dependent oxidoreductase domain-containing protein 2 precursor 	 Foxred2 	15	37669.3	2	2	4.36	665
 Q5F2E7 	 nuclear fragile X mental retardation-interacting protein 2 	 Nufip2 	11.82	51523.9	5	3	6.79	692
 Q9QYC0 	 alpha-adducin isoform 1 	 Add1 	26.08	169421.4	8	6	11.84	735
 Q3UQU0 	 bromodomain-containing protein 9 isoform 1 	 Brd9 	6.47	56903.8	4	3	8.38	597
 Q505D1 	 serine/threonine-protein phosphatase 6 regulatory ankyrin repeat 	 Ankrd28 	25.15	168240.7	10	6	8.45	1053
 Q504M2 	 pyruvate dehydrogenase 	 Pdp2 	15.09	64290.9	3	3	8.65	532
 Q5U3K5 	 rab-like protein 6 	 Rabl6 	20.27	100765.7	7	4	11.03	725
 Q6P8I4 	 PEST proteolytic signal-containing nuclear protein 	 Pcnp 	27.6	125089	9	6	36.52	178
 P53569 	 CCAAT/enhancer-binding protein zeta 	 Cebpz 	20.6	153576.7	9	8	9.51	1052
 Q9WV98 	 mitochondrial import inner membrane translocase subunit Tim9 	 Timm9 	6.72	162532.7	7	2	25.84	89
 F8VQG7 	 NEDD4-binding protein 2 	 N4bp2 	8.91	140206.7	9	6	6.14	1678
 Q4FZF3 	 probable ATP-dependent RNA helicase DDX49 	 Ddx49 	1.77	5122	2	1	2.29	480
 Q8BIX3 	 ARL14 effector protein 	 Arl14ep 	3.18	17595	1	1	5.8	276
 Q7TQK5 	 coiled-coil domain-containing protein 93 isoform a 	 Ccdc93 	18.13	197371.1	9	7	14.94	629
 Q4QQM4 	 tumor protein p53-inducible protein 11 	 Trp53i11 	2.54	82347.2	2	2	13.23	189
 Q62393 	 tumor protein D52 isoform 3 	 Tpd52 	45.55	332963.1	12	8	48.74	199
 O54786 	 DNA fragmentation factor subunit alpha isoform a 	 Dffa 	37.3	277872.1	12	8	27.79	331
 Q7M702 	 kinesin light chain 1 isoform 1B 	 Klc1 	26.51	240846.3	9	8	18.15	551
 Q9ERF3 	 WD repeat-containing protein 61 isoform a 	 Wdr61 	87.64	563274.4	24	12	56.39	305
 P17182 	" enolase 1B, retrotransposed "	 Eno1b 	257.91	6092105.8	138	31	76.04	434
 Q8K019 	 bcl-2-associated transcription factor 1 isoform 1 	 Bclaf1 	77.3	606990.9	27	14	17.95	919
 F8WI22 	 bcl-2-associated transcription factor 1 isoform 3 	 Bclaf1 	5.12	26778.3	1	1	1.84	870
 P17095 	 high mobility group protein HMG-I/HMG-Y isoform a 	 Hmga1 	7.25	52569.5	4	2	33.64	107
 F8VPR5 	 CREB-binding protein 	 Crebbp 	45.27	363317	19	14	7.37	2441
 Q6PHZ2 	 calcium/calmodulin-dependent protein kinase type II subunit delta 	 Camk2d 	67.9	399374.2	21	10	29.66	499
 Q3TV70 	 nuclear receptor 2C2-associated protein isoform 1 	 Nr2c2ap 	6.43	22310.8	1	1	8.57	140
 G3UYU0 	 RNA-binding protein MEX3A 	 Mex3a 	2.62	5102.4	1	1	4.23	520
