UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q8C0S1 	 DIS3-like exonuclease 1 isoform 1 	 Dis3l 	3.23	75677.8	3	3	3.13	1053
 P01901 	" H-2 class I histocompatibility antigen, K-W28 alpha chain isoform 1 "	 H2-K1 	43.24	347928.2	17	8	28.46	369
 Q8BL66 	 early endosome antigen 1 	 Eea1 	95.41	295594.1	23	18	16.23	1411
 P59997 	 lysine-specific demethylase 2A 	 Kdm2a 	27.62	114678.2	8	7	6.2	1161
 P48678 	 prelamin-A/C isoform A precursor 	 Lmna 	94.55	497104.4	34	24	35.34	665
 P17156 	 heat shock-related 70 kDa protein 2 	 Hspa2 	23.57	265073.1	12	6	10.9	633
 Q6ZWZ7 	 60S ribosomal protein L17 	 Rpl17 	69.44	1203005.5	44	11	47.83	184
 P61406 	 telomerase-binding protein EST1A 	 Smg6 	14.97	68679.2	6	5	5.29	1418
 Q8R480 	 nuclear pore complex protein Nup85 	 Nup85 	24.43	182723	10	6	10.37	656
 Q68FD5 	 clathrin heavy chain 1 	 Cltc 	263.33	2349291.5	103	48	35.34	1675
 Q9ES97 	 reticulon-3 isoform 1 	 Rtn3 	5.66	88482.4	4	2	2.49	964
 Q6P1G2 	 lysine-specific demethylase 2B isoform 1 	 Kdm2b 	12.86	101607	5	4	3.82	1309
 Q68FF6 	 ARF GTPase-activating protein GIT1 	 Git1 	23.93	103904.6	5	4	7.01	770
 Q6NTA4 	 ras-related GTP-binding protein B 	 Rragb 	3.96	7524.8	1	1	2.67	374
 Q65Z40 	 wings apart-like protein homolog isoform 1 	 Wapl 	121.5	633868.3	41	23	26.42	1200
 Q9CQK1 	 zinc finger HIT domain-containing protein 3 	 Znhit3 	5.07	57489.1	5	2	13.91	151
 P59438 	 Hermansky-Pudlak syndrome 5 protein homolog isoform 1 	 Hps5 	1.98	12776.4	2	2	1.51	1126
 Q6PDY2 	 2-aminoethanethiol dioxygenase 	 Ado 	4.4	18324.3	1	1	4.3	256
 Q6PAM1 	 alpha-taxilin 	 Txlna 	57.58	239306.2	15	8	19.13	554
 Q8BJW6 	 eukaryotic translation initiation factor 2A 	 Eif2a 	114.88	582061.9	29	15	34.94	581
 A2RTL5 	 arginine/serine-rich coiled-coil protein 2 	 Rsrc2 	11.36	55885	4	4	11.52	434
 Q64191 	 N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase isoform 1 	 Aga 	26.09	143110.1	5	4	15.32	346
 Q9D1R9 	 60S ribosomal protein L34 	 Rpl34 	13.35	201246.1	8	6	36.75	117
