UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
Q6ZQA0	NBEL2	Neurobeachin-like protein 2	Nbeal2	3749	1.69	16436.8	2	2	1.13	2742
Q80XQ2	TBCD5	TBC1 domain family member 5	Tbc1d5	3748	1.69	28442.3	2	2	3.80	815
Q8K1K4	CENPI	Centromere protein I	Cenpi	3747	1.70	40414.1	1	1	2.55	746
A0A286YCV9	A0A286YCV9	Kinesin family member 13B	Kif13b	3746	1.70	98798.1	6	5	2.98	1847
P70704	AT8A1	Phospholipid-transporting ATPase IA	Atp8a1	3744	1.72	265519.3	10	3	2.06	1164
Q9JHS9	CWC15	Spliceosome-associated protein CWC15 homolog	Cwc15	3743	1.72	17921.1	2	2	9.17	229
Q61578	ADRO	"NADPH:adrenodoxin oxidoreductase, mitochondrial"	Fdxr	3740	1.72	29775.7	2	2	4.25	494
F7B9A0	F7B9A0	"Serine (or cysteine) peptidase inhibitor, clade B, member 6b"	Serpinb6b	3742	1.72	36590.0	3	2	12.86	210
Q9D2N9	VP33A	Vacuolar protein sorting-associated protein 33A	Vps33a	3739	1.73	28915.6	1	1	2.01	598
Q14BZ1	Q14BZ1	9230110C19Rik protein	9230110C19Rik	3737	1.74	11289.4	2	1	6.48	108
P53569	CEBPZ	CCAAT/enhancer-binding protein zeta	Cebpz	3736	1.74	27032.1	3	2	2.09	1052
Q5U471	Q5U471	Osbpl7 protein	Osbpl7	3738	1.74	5087486.7	79	1	7.86	229
P11881	ITPR1	"Inositol 1,4,5-trisphosphate receptor type 1"	Itpr1	3735	1.75	193896.3	5	5	1.64	2749
Q8CFV9	RIFK	Riboflavin kinase	Rfk	3733	1.75	19440.6	1	1	5.81	155
Q3UVL4	VPS51	Vacuolar protein sorting-associated protein 51 homolog	Vps51	3734	1.75	41211.1	2	2	3.58	782
Q924A2	CIC	Protein capicua homolog	Cic	3730	1.77	20965.3	2	2	1.16	2510
Q921E2	RAB31	Ras-related protein Rab-31	Rab31	3732	1.77	49464.2	3	2	9.28	194
P13595	NCAM1	Neural cell adhesion molecule 1	Ncam1	3725	1.81	144937.0	5	4	4.93	1115
Q8JZN7	MIRO2	Mitochondrial Rho GTPase 2	Rhot2	3726	1.81	3582.2	1	1	3.06	620
E9Q8F8	E9Q8F8	"ATP-binding cassette, sub-family A (ABC1), member 14"	Abca14	3723	1.82	62593.9	3	3	1.37	1683
Q8BKG3	PTK7	Inactive tyrosine-protein kinase 7	Ptk7	3724	1.82	13904.1	1	1	1.22	1062
Q9CR09	UFC1	Ubiquitin-fold modifier-conjugating enzyme 1	Ufc1	3722	1.82	45864.2	3	2	10.18	167
Q91ZB5	MRGRG	Mas-related G-protein coupled receptor member G	Mrgprg	3721	1.83	28714.7	2	1	3.46	289
Q9D338	RM19	"39S ribosomal protein L19, mitochondrial"	Mrpl19	3720	1.83	16639.1	1	1	4.79	292
O09012	PEX5	Peroxisomal targeting signal 1 receptor	Pex5	3718	1.85	20758.8	1	1	1.56	639
Q8BG67	EFR3A	Protein EFR3 homolog A	Efr3a	3716	1.86	11605.9	1	1	1.71	819
Q8R0L9	TADA3	Transcriptional adapter 3	Tada3	3715	1.87	9482.5	1	1	3.47	432
Q9R0X4	ACOT9	"Acyl-coenzyme A thioesterase 9, mitochondrial"	Acot9	3711	1.88	58257.5	3	2	4.56	439
A0A1Y7VM80	A0A1Y7VM80	Inverted formin-2 (Fragment)	Inf2	3712	1.88	6509.2	1	1	2.36	720
Q8CI70	LRC20	Leucine-rich repeat-containing protein 20	Lrrc20	3713	1.88	5411.1	1	1	5.43	184
Q3UMR5	MCU	"Calcium uniporter protein, mitochondrial"	Mcu	3714	1.88	9107.1	1	1	4.29	350
O35207	CDKA1	Cyclin-dependent kinase 2-associated protein 1	Cdk2ap1	3710	1.89	36992.3	3	2	7.02	114
Q64455	PTPRJ	Receptor-type tyrosine-protein phosphatase eta	Ptprj	3709	1.89	71299.9	3	2	2.10	1238
Q3TPE9	ANKY2	Ankyrin repeat and MYND domain-containing protein 2	Ankmy2	3708	1.90	14946.6	1	1	2.50	440
Q9DBX2	PHLP	Phosducin-like protein	Pdcl	3706	1.90	15060.4	2	2	12.62	301
P55065	PLTP	Phospholipid transfer protein	Pltp	3707	1.90	6675.4	1	1	2.84	493
Q9CYN2	SPCS2	Signal peptidase complex subunit 2	Spcs2	3705	1.90	14017.3	1	1	8.41	226
Q9CXR1	DHRS7	Dehydrogenase/reductase SDR family member 7	Dhrs7	3704	1.91	11477.2	1	1	5.92	338
P52927	HMGA2	High mobility group protein HMGI-C	Hmga2	3703	1.91	6638.0	1	1	11.11	108
