UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
A2A6Q5	CDC27	PREDICTED: cell division cycle protein 27 homolog isoform X1	Cdc27	3349	1.74	788.0	1	1	2.17	831
Q8BSM7	LAT3	large neutral amino acids transporter small subunit 3 isoform 3	Slc43a1	3370	1.70	1386.0	1	1	3.56	590
Q925N2	SFXN2	sideroflexin-2	Sfxn2	3180	2.98	2334.1	1	1	4.04	322
Q9WTZ0	UXT	protein UXT	Uxt	3402	1.62	3028.6	1	1	8.28	157
Q7TS74	CKP2L	cytoskeleton-associated protein 2-like	Ckap2l	2549	6.30	3937.8	1	1	3.22	745
Q9Z148	EHMT2	histone-lysine N-methyltransferase EHMT2 isoform c	Ehmt2	2476	6.59	4132.6	1	1	1.87	1229
Q922M7	ASHWN	ashwin	AI597479	3437	1.53	4209.1	1	1	7.33	232
Q8QZZ7	TPRKB	EKC/KEOPS complex subunit Tprkb	Tprkb	2982	4.40	4540.6	1	1	14.86	175
Q91X58	ZFN2B	AN1-type zinc finger protein 2B	Zfand2b	2410	6.91	4783.1	1	1	7.00	257
Q9JJA7	CCNL2	cyclin-L2	Ccnl2	3194	2.67	4824.2	1	1	4.05	518
Q9WVM1	RGAP1	rac GTPase-activating protein 1	Racgap1	3359	1.72	4938.6	1	1	2.55	628
Q64127	TIF1A	transcription intermediary factor 1-alpha isoform 1	Trim24	2538	6.33	5004.8	1	1	2.38	1051
Q9WV60	GSK3B	glycogen synthase kinase-3 beta	Gsk3b	3308	1.80	5087.0	1	1	3.33	420
Q7TMS5	ABCG2	ATP-binding cassette sub-family G member 2	Abcg2	3267	1.93	5316.9	1	1	2.74	657
Q5U458	DJC11	dnaJ homolog subfamily C member 11	Dnajc11	3318	1.78	5321.1	1	1	2.68	559
Q9D7W5	MED8	mediator of RNA polymerase II transcription subunit 8 isoform 1	Med8	3158	3.19	5357.8	1	1	7.09	268
Q3TT38	CF106	uncharacterized protein C6orf106 homolog isoform 1	D17Wsu92e	3249	2.05	5437.7	1	1	6.87	291
Q922W5	P5CR1	"pyrroline-5-carboxylate reductase 1, mitochondrial"	Pycr1	3416	1.57	5555.4	1	1	4.85	309
Q9JJZ4	UB2J1	ubiquitin-conjugating enzyme E2 J1	Ube2j1	3165	3.13	5712.7	1	1	4.72	318
Q9R062	GLYG	glycogenin-1	Gyg	2454	6.68	5749.5	1	1	4.80	333
Q8K2Y9	CCM2	cerebral cavernous malformations protein 2 homolog isoform 1	Ccm2	2827	5.18	5912.5	2	1	4.19	453
L7N466	L7N466	"5, 10-methenyltetrahydrofolate synthetase-like"	Mthfsl	3143	3.26	6071.2	1	1	5.91	203
P49070	CAMLG	calcium signal-modulating cyclophilin ligand	Caml	3056	4.00	6102.9	1	1	7.48	294
Q9ER00	STX12	syntaxin-12	Stx12	2922	4.76	6496.0	1	1	5.47	274
P56546	CTBP2	C-terminal-binding protein 2 isoform 1	Ctbp2	3407	1.60	6577.0	1	1	1.92	988
Q8R0F8	FAHD1	"acylpyruvase FAHD1, mitochondrial"	Fahd1	2826	5.18	6672.4	1	1	7.05	227
Q9JMD0	ZN207	BUB3-interacting and GLEBS motif-containing protein ZNF207 isoform	Zfp207	2833	5.16	6807.8	1	1	4.44	495
Q8C4Q6	AIDA	"axin interactor, dorsalization-associated protein"	Aida	3391	1.65	6991.7	1	1	5.90	305
Q61411	RASH	GTPase HRas isoform 1	Hras	2762	5.45	7058.7	1	1	6.35	189
Q3UM65	Q3UM65	runt-related transcription factor 1 isoform 1	Runx1	3013	4.24	7112.1	1	1	3.23	465
D3Z7Q2	D3Z7Q2	small integral membrane protein 20	Smim20	3293	1.82	7510.1	1	1	20.29	69
Q99K95	RTF2	protein RTF2 homolog	Rtfdc1	3286	1.84	7514.4	1	1	3.91	307
Q14CH7	SYAM	"alanine--tRNA ligase, mitochondrial precursor"	Aars2	3102	3.55	7543.8	1	1	1.63	980
Q9DBN5	LONP2	"lon protease homolog 2, peroxisomal isoform 1"	Lonp2	2366	7.15	7974.0	1	1	1.53	852
P58742	AAAS	aladin	Aaas	3118	3.42	8051.3	3	2	5.86	546
Q9CRA9	FGOP2	FGFR1 oncogene partner 2 homolog	Fgfr1op2	2776	5.39	8093.1	2	2	12.65	253
Q3UGR5	HDHD2	haloacid dehalogenase-like hydrolase domain-containing protein 2	Hdhd2	3104	3.55	8144.6	1	1	5.02	259
P61022	CHP1	calcineurin B homologous protein 1	Chp1	2910	4.82	8339.0	1	1	6.15	195
Q3TDD9	PPR21	protein phosphatase 1 regulatory subunit 21	Ppp1r21	2578	6.20	8452.8	1	1	2.44	780
E9QL65	E9QL65	conserved oligomeric Golgi complex subunit 3	Cog3	2927	4.75	8469.2	1	1	1.45	828
Q9DBA9	TF2H1	general transcription factor IIH subunit 1 isoform 1	Gtf2h1	2610	6.10	8507.7	1	1	3.07	553
Q8K221	ARFP2	arfaptin-2	Arfip2	3073	3.79	8694.4	1	1	3.52	341
Q61122	NAB1	NGFI-A-binding protein 1	Nab1	2990	4.36	8872.7	1	1	3.09	486
