UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 A2AUY4 	 bromodomain adjacent to zinc finger domain protein 2B 	 Baz2b 	6.51	330826.7	11	6	3.77	2123
 Q8C0S1 	 DIS3-like exonuclease 1 isoform 1 	 Dis3l 	1.7	12945.2	1	1	1.23	1053
 Q6IRU2 	 tropomyosin alpha-4 chain 	 Tpm4 	23.83	57270.3	5	4	23.39	248
 Q3SXA6 	 TNFAIP3-interacting protein 3 	 Tnip3 	8.74	17149.4	1	1	9.13	208
 Q3TNL8 	" inositol 1,4,5-trisphosphate receptor-interacting protein precursor "	 Itprip 	26.96	267166.6	11	6	14.41	555
 P23949 	" zinc finger protein 36, C3H1 type-like 2 "	 Zfp36l2 	2.85	32877.3	1	1	1.86	484
 P01901 	" H-2 class I histocompatibility antigen, K-W28 alpha chain isoform 1 "	 H2-K1 	84.56	704520.4	31	13	48.78	369
 Q8BL66 	 early endosome antigen 1 	 Eea1 	90.78	313226.7	18	15	13.68	1411
 P59997 	 lysine-specific demethylase 2A 	 Kdm2a 	20.28	49475.6	4	4	4.65	1161
 P48678 	 prelamin-A/C isoform A precursor 	 Lmna 	7.6	45273.9	4	4	5.56	665
 P17156 	 heat shock-related 70 kDa protein 2 	 Hspa2 	23.73	119043.8	7	5	9.64	633
 Q6ZWZ7 	 60S ribosomal protein L17 	 Rpl17 	70.6	1024668.3	42	12	48.37	184
 P61406 	 telomerase-binding protein EST1A 	 Smg6 	9.09	56467.1	4	3	2.33	1418
 Q8R480 	 nuclear pore complex protein Nup85 	 Nup85 	2.38	38381.5	2	2	3.05	656
 Q7M754 	 Try10-like trypsinogen precursor 	 Gm5409 	5.02	19092.1	1	1	4.07	246
 Q68FD5 	 clathrin heavy chain 1 	 Cltc 	316.65	2603124.2	105	48	34.21	1675
 Q68FG0 	 zinc finger C4H2 domain-containing protein isoform 1 	 Zc4h2 	15.82	78345.4	5	5	22.77	224
 Q6A4J8 	 ubiquitin carboxyl-terminal hydrolase 7 	 Usp7 	116.8	714569.5	36	21	26.29	1103
 Q9ES97 	 reticulon-3 isoform 1 	 Rtn3 	5.83	58195.3	2	1	1.14	964
 Q6P1G2 	 lysine-specific demethylase 2B isoform 1 	 Kdm2b 	4.46	27177.7	2	2	2.29	1309
 Q8R361 	 rab11 family-interacting protein 5 isoform 1 	 Rab11fip5 	5.47	28908	3	2	2.5	1318
 O88509 	 DNA (cytosine-5)-methyltransferase 3B isoform 1 	 Dnmt3b 	18.45	55695	4	3	4.77	859
 Q68ED7 	 CREB-regulated transcription coactivator 1 	 Crtc1 	6.7	36334.8	3	1	2.86	630
 Q65Z40 	 wings apart-like protein homolog isoform 1 	 Wapl 	68.74	309437.4	21	12	16.25	1200
 Q3TAA8 	 phosphatidylinositol glycan anchor biosynthesis class U protein 	 Pigu 	5.41	18778.9	1	1	3.91	435
 Q6PDY2 	 2-aminoethanethiol dioxygenase 	 Ado 	6.03	18292.5	1	1	4.3	256
 Q6PAM1 	 alpha-taxilin 	 Txlna 	43.62	235389.2	15	10	20.04	554
