UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
Q6ZWQ0	SYNE2	nesprin-2	Syne2	1590	1.39	175846	21	12	1	6874
Q0VGB7	PP4R2	serine/threonine-protein phosphatase 4 regulatory subunit 2	Ppp4r2	1593	1.39	1427.6	1	1	4.32	417
nan		PREDICTED: serine/threonine-protein kinase PAK 1 isoform X1	Pak1	1591	1.39	87566.8	11	3	5.07	552
nan		PREDICTED: zinc finger protein 431-like	Gm33378	1592	1.39	46460	3	3	5.19	540
Q9CR86	CHSP1	calcium-regulated heat stable protein 1	Carhsp1	1589	1.4	11542.9	1	1	10.81	148
Q8BYC6	TAOK3	serine/threonine-protein kinase TAO3	Taok3	1588	1.41	160236.4	3	1	1.11	898
Q3TE40	Q3TE40	replication protein A 32 kDa subunit	Rpa2	1586	1.41	14107.3	1	1	2.96	270
B1AWD9	B1AWD9	clathrin light chain A isoform b	Clta	1585	1.42	25493	1	1	3.63	248
O70333	CRIPT	cysteine-rich PDZ-binding protein	Cript	1583	1.43	58068.3	2	1	11.88	101
Q810D6	GRWD1	glutamate-rich WD repeat-containing protein 1	Grwd1	1584	1.43	4410.8	1	1	3.14	446
G5E8N7	G5E8N7	bifunctional polynucleotide phosphatase/kinase isoform a	Pnkp	1581	1.44	30214.3	2	2	7.85	522
P03930	ATP8	ATP synthase F0 subunit 8 (mitochondrion)	ATP8	1582	1.44	21340.7	1	1	14.93	67
P42669	PURA	transcriptional activator protein Pur-alpha	Pura	1579	1.45	14782.9	1	1	2.8	321
O35188	X3CL1	fractalkine precursor	Cx3cl1	1580	1.45	20435.4	1	1	2.03	395
G3X8X7	G3X8X7	vacuolar protein sorting-associated protein 16 homolog	Vps16	1578	1.45	15083.7	1	1	0.95	839
Q8R574	KPRB	phosphoribosyl pyrophosphate synthase-associated protein 2 isoform	Prpsap2	1577	1.46	6223.8	1	1	3.79	369
Q8R420	ABCA3	ATP-binding cassette sub-family A member 3	Abca3	1575	1.47	845881.2	14	4	2	1704
Q9CZT4	RPC5	DNA-directed RNA polymerase III subunit RPC5 isoform 1	Polr3e	1574	1.47	12051.7	1	1	1.97	710
Q6SKR2	N6MT1	hemK methyltransferase family member 2 isoform 1	N6amt1	1573	1.47	9727	1	1	7.01	214
