UniprotID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q9WUE3 	 cytochrome b561 domain-containing protein 2 	 Cyb561d2 	4457	2.25	2891.9	1	1	5.41	222
 Q8C2B3 	 histone deacetylase 7 isoform 1 	 Hdac7 	3848	6.1	3040.8	1	1	1.36	953
 O55057 	" retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase "	 Pde6d 	4516	1.92	3054.4	1	1	12.67	150
 Q8K190 	 SAYSvFN domain-containing protein 1 	 Saysd1 	4302	3.45	3068	1	1	10.64	188
 P17809 	" solute carrier family 2, facilitated glucose transporter member 1 "	 Slc2a1 	4200	4.22	3313.7	1	1	2.03	492
 P53368 	" 7,8-dihydro-8-oxoguanine triphosphatase precursor "	 Nudt1 	4385	2.81	3337.5	1	1	9.62	156
 Q9D0R9 	 WD repeat-containing protein 89 	 Wdr89 	4405	2.64	3481.8	1	1	3.11	386
 Q9EPQ7 	 stAR-related lipid transfer protein 5 	 Stard5 	4311	3.38	3999.8	1	1	4.23	213
 nan 	" PREDICTED: 39S ribosomal protein L21, mitochondrial isoform X1 "	 Mrpl21 	4530	1.89	4093.3	2	2	14.83	209
 Q9D8U7 	 DTW domain-containing protein 1 	 Dtwd1 	4318	3.32	4242.6	1	1	4.61	304
 Q63961 	 endoglin isoform 1 precursor 	 Eng 	3504	8.4	4260.8	1	1	3.68	653
 Q99ME2 	 WD repeat-containing protein 6 	 Wdr6 	4415	2.6	4395.9	1	1	1.69	1125
 Q920Q8 	 influenza virus NS1A-binding protein homolog isoform 2 	 Ivns1abp 	4352	3.09	4492.3	1	1	3.27	642
 Q99KX1 	 myeloid leukemia factor 2 	 Mlf2 	4017	5.18	4532.5	1	1	4.86	247
 Q8VE42 	 ankyrin repeat domain-containing protein 49 	 Ankrd49 	4201	4.21	4579.7	1	1	4.62	238
 Q99KJ0 	 UBX domain-containing protein 2A 	 Ubxn2a 	4519	1.91	4670.8	1	1	5.81	258
 Q3U1Y4 	 DENN domain-containing protein 4B 	 Dennd4b 	4370	2.99	4775	1	1	1.39	1510
 Q9CZV8 	 PREDICTED: F-box/LRR-repeat protein 20 isoform X1 	 Fbxl20 	4509	1.94	4855.3	1	1	2.51	438
 P0DJF2 	" protein PET117 homolog, mitochondrial precursor "	 Pet117 	4101	4.78	5025.5	1	1	12.5	80
 O70201 	 baculoviral IAP repeat-containing protein 5 isoform 1 	 Birc5 	4332	3.24	5354.2	1	1	10	140
 F8WJA1 	 FXYD domain-containing ion transport regulator 5 isoform b 	 Fxyd5 	4343	3.13	5541.3	1	1	11.17	179
 Q02780 	 nuclear factor 1 A-type isoform 1 	 Nfia 	4408	2.64	5595.5	2	2	2.82	532
 Q8C181 	 PREDICTED: muscleblind-like protein 2 isoform X2 	 Mbnl2 	4455	2.26	5885	1	1	2.9	379
 Q6A058 	 armadillo repeat-containing X-linked protein 2 	 Armcx2 	3563	7.95	6035.9	1	1	3.19	784
 Q3U108 	 AT-rich interactive domain-containing protein 5A isoform 5 	 Arid5a 	3790	6.37	6114.4	1	1	3.23	619
 Q924N4 	 solute carrier family 12 member 6 isoform 2 	 Slc12a6 	4022	5.14	6193.8	1	1	1.57	1150
 Q9WUP4 	 polyprenol reductase 	 Srd5a3 	4038	5.04	6205	1	1	3.94	330
 O35387 	 HCLS1-associated protein X-1 isoform 1 	 Hax1 	3688	6.96	6248.1	1	1	7.5	280
 Q922X9 	 protein arginine N-methyltransferase 7 	 Prmt7 	4131	4.64	6502	1	1	1.88	692
 Q9D103 	 interferon-induced transmembrane protein 1 	 Ifitm1 	4282	3.61	6567.7	1	1	15.09	106
 Q80VJ2 	 steroid receptor RNA activator 1 isoform a 	 Sra1 	4561	1.78	6592.3	2	1	4.74	232
 G3X8R1 	 kaptin 	 Kptn 	4308	3.42	6898.8	2	1	4.19	430
 nan 	" PREDICTED: fatty acid-binding protein, adipocyte isoform X1 "	 Fabp4 	4521	1.9	7113.5	1	1	6.04	149
 Q99N20 	 breast cancer metastasis-suppressor 1 homolog 	 Brms1 	3750	6.64	7170.2	1	1	5.69	246
 Q9Z248 	 zinc finger protein AEBP2 isoform 3 	 Aebp2 	4119	4.72	7409.6	1	1	2.38	504
 Q03147 	 cyclin-dependent kinase 7 	 Cdk7 	4292	3.52	7454.4	1	1	4.05	346
 nan 	 PREDICTED: protein unc-45 homolog A isoform X2 	 Unc45a 	4540	1.84	7480.4	1	1	1.08	929
 Q9JJ89 	 coiled-coil domain-containing protein 86 	 Ccdc86 	3815	6.23	7658.7	1	1	2.35	426
 Q99LY9 	 NADH dehydrogenase 	 Ndufs5 	4114	4.72	7752.4	1	1	11.32	106
 Q8VC57 	 BTB/POZ domain-containing protein KCTD5 	 Kctd5 	4400	2.71	7762.5	1	1	6.84	234
 Q9DA03 	 complex III assembly factor LYRM7 	 Lyrm7 	4406	2.64	7853.4	1	1	16.35	104
 Q4VBF2 	 R3H domain-containing protein 4 	 R3hdm4 	3784	6.41	7894.8	1	1	7.25	262
 nan 	" PREDICTED: H-2 class I histocompatibility antigen, K-W28 alpha "	 H2-K1 	4482	2.03	7956.7	1	1	5.79	380
 Q60751 	 insulin-like growth factor 1 receptor precursor 	 Igf1r 	4536	1.86	8104.9	1	1	0.95	1369
 Q64700 	 retinoblastoma-like protein 2 isoform 1 	 Rbl2 	4189	4.29	8134.3	1	1	1.15	1135
 Q9Z0H7 	 B-cell lymphoma/leukemia 10 	 Bcl10 	3831	6.16	8307	2	1	4.29	233
 Q4PJX1 	 protein odr-4 homolog isoform 1 	 BC003331 	4543	1.83	8707.2	1	1	4.47	447
 Q9JL60 	 glucocorticoid modulatory element-binding protein 1 	 Gmeb1 	4028	5.09	8840.2	1	1	1.6	562
 Q920S3 	 GATA zinc finger domain-containing protein 1 	 Gatad1 	4387	2.79	8841.8	1	1	6.77	266
 O08789 	 max-binding protein MNT 	 Mnt 	4226	4.05	8891.9	1	1	1.86	591
 A2BDX3 	 adenylyltransferase and sulfurtransferase MOCS3 	 Mocs3 	3712	6.83	9051.6	1	1	2.61	460
 P51830 	 adenylate cyclase type 9 isoform 1 	 Adcy9 	4389	2.79	9195.9	1	1	1.4	1353
 Q5U5Q9 	 BRCA1-A complex subunit RAP80 isoform 1 	 Uimc1 	4238	3.97	9251.3	2	1	1.51	727
 Q810J8 	 zinc finger FYVE domain-containing protein 1 	 Zfyve1 	4323	3.3	9283.9	1	1	1.93	777
 Q9JHI9 	 solute carrier family 40 member 1 	 Slc40a1 	4041	5.03	9345.2	2	2	1.93	570
 Q8BHD7 	 polypyrimidine tract-binding protein 3 isoform 2 	 Ptbp3 	4012	5.22	9389.6	1	1	3.44	523
 Q8K1T1 	 leucine-rich repeat-containing protein 25 precursor 	 Lrrc25 	4244	3.92	9403.1	1	1	5.05	297
 Q9D0V7 	 receptor-binding cancer antigen expressed on SiSo cells 	 Ebag9 	4402	2.67	9445.5	1	1	8.92	213
 Q80V86 	 integrator complex subunit 8 	 Ints8 	3930	5.65	9517.1	2	2	3.02	995
 Q80WB5 	 protein N-terminal glutamine amidohydrolase isoform 1 	 Wdyhv1 	3897	5.88	9633	1	1	10.53	209
 Q9JI19 	 acidic fibroblast growth factor intracellular-binding protein 	 Fibp 	4298	3.48	9658	1	1	2.8	357
 Q9DB34 	 charged multivesicular body protein 2a 	 Chmp2a 	4375	2.9	9681.6	1	1	9.01	222
