UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q3SXA6 	 TNFAIP3-interacting protein 3 	 Tnip3 	12.3	36512.1	4	2	14.9	208
 Q3TNL8 	" inositol 1,4,5-trisphosphate receptor-interacting protein precursor "	 Itprip 	1.53	2153.6	1	1	3.06	555
 P23949 	" zinc finger protein 36, C3H1 type-like 2 "	 Zfp36l2 	1.55	53853.7	2	2	3.93	484
 P01901 	" H-2 class I histocompatibility antigen, K-W28 alpha chain isoform 1 "	 H2-K1 	26.59	246272.7	16	7	24.66	369
 Q8BL66 	 early endosome antigen 1 	 Eea1 	21.12	178171.9	16	10	7.3	1411
 P48678 	 prelamin-A/C isoform A precursor 	 Lmna 	54.59	383785.1	18	15	21.8	665
 P17156 	 heat shock-related 70 kDa protein 2 	 Hspa2 	19.69	244207.8	10	8	13.27	633
 Q6ZWZ7 	 60S ribosomal protein L17 	 Rpl17 	34.09	275822	18	6	34.78	184
 Q7M754 	 Try10-like trypsinogen precursor 	 Gm5409 	3.68	14342.1	1	1	4.07	246
 Q6IFZ8 	 type II keratin Kb14 	 Gm5414 	3.11	23703.7	2	1	1.63	552
 Q68FD5 	 clathrin heavy chain 1 	 Cltc 	170.43	1332070.3	73	37	25.97	1675
 Q6A4J8 	 ubiquitin carboxyl-terminal hydrolase 7 	 Usp7 	27.3	283343.8	22	13	13.06	1103
 Q9ES97 	 reticulon-3 isoform 1 	 Rtn3 	4.84	83144.9	4	2	1.56	964
 Q68FF6 	 ARF GTPase-activating protein GIT1 	 Git1 	13.72	59790.5	3	3	5.06	770
 Q65Z40 	 wings apart-like protein homolog isoform 1 	 Wapl 	7.94	174551	10	8	6.5	1200
 Q6PAM1 	 alpha-taxilin 	 Txlna 	34.71	144838.1	11	6	15.52	554
 Q8BJW6 	 eukaryotic translation initiation factor 2A 	 Eif2a 	42.76	189038.1	16	8	18.42	581
 A2RTL5 	 arginine/serine-rich coiled-coil protein 2 	 Rsrc2 	7.47	6847.9	1	1	3.69	434
 Q64191 	 N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase isoform 1 	 Aga 	2.16	21019.4	2	2	7.51	346
 Q9D1R9 	 60S ribosomal protein L34 	 Rpl34 	4.42	51757.6	3	3	21.37	117
 Q80TH2 	 protein LAP2 isoform 1 	 Erbb2ip 	12.01	95366.9	8	5	4.07	1450
 Q5U452 	 TP53-regulating kinase 	 Trp53rka 	5.86	37368.3	2	1	4.1	244
 Q5RJG1 	 nucleolar protein 10 	 Nol10 	4.07	30899.3	4	3	5.24	687
 Q5U4D9 	 THO complex subunit 6 homolog 	 Thoc6 	9.56	19181.8	2	2	7.92	341
 A2AF47 	 dedicator of cytokinesis protein 11 	 Dock11 	9.74	116708.1	6	6	3.38	2073
 Q8BIF9 	 zinc finger protein 787 	 Zfp787 	7.24	15601.7	1	1	3.41	381
 Q5SUQ9 	 CST complex subunit CTC1 isoform a 	 Ctc1 	4.47	31847.2	1	1	1.4	1212
 Q5EG47 	 5'-AMP-activated protein kinase catalytic subunit alpha-1 	 Prkaa1 	9.2	110989.1	4	3	3.94	559
 Q3UIR3 	 E3 ubiquitin-protein ligase DTX3L 	 Dtx3l 	5.28	18245	4	2	3.21	748
 Q6PDL0 	 cytoplasmic dynein 1 light intermediate chain 2 	 Dync1li2 	3.29	45123.1	3	2	5.08	492
 Q6NVF9 	 cleavage and polyadenylation specificity factor subunit 6 isoform 2 	 Cpsf6 	9.32	51839.2	7	3	9.98	551
 Q3UCV8 	 ubiquitin thioesterase otulin 	 Otulin 	3.44	24107.7	1	1	3.12	352
 Q80TR8 	 protein VPRBP 	 Vprbp 	1.55	63089.6	4	2	2.04	1419
 P17047 	 lysosome-associated membrane glycoprotein 2 isoform 1 precursor 	 Lamp2 	13.7	112562.3	7	4	8.43	415
 A2ADY9 	 protein DDI1 homolog 2 	 Ddi2 	14.89	145616.7	6	5	14.04	399
 O70494 	 transcription factor Sp3 isoform 1 	 Sp3 	2.83	6203.9	2	1	2.04	783
 Q9QYC0 	 alpha-adducin isoform 1 	 Add1 	4.76	41154	4	2	2.59	735
 Q80U49 	 centrosomal protein of 170 kDa protein B 	 Cep170b 	3.33	62228	6	5	3.37	1574
 Q504M2 	 pyruvate dehydrogenase 	 Pdp2 	6.11	36867.8	3	2	4.32	532
 Q6P8I4 	 PEST proteolytic signal-containing nuclear protein 	 Pcnp 	9.6	44287.7	7	4	30.9	178
 P53569 	 CCAAT/enhancer-binding protein zeta 	 Cebpz 	4.83	68984	5	2	2.09	1052
 Q9WV98 	 mitochondrial import inner membrane translocase subunit Tim9 	 Timm9 	11.51	132331.3	6	2	25.84	89
 P16951 	 cyclic AMP-dependent transcription factor ATF-2 isoform 1 	 Atf2 	3.29	20262.5	2	1	2.26	487
 Q7TQK5 	 coiled-coil domain-containing protein 93 isoform a 	 Ccdc93 	2.15	11483.8	2	2	4.93	629
 F8WHQ1 	 tumor protein D52 isoform 1 	 Tpd52 	22.61	219008.3	8	7	34.01	247
 O54786 	 DNA fragmentation factor subunit alpha isoform a 	 Dffa 	31.4	120235.9	6	5	18.73	331
 Q8CD76 	 kinesin light chain 1 isoform 1D 	 Klc1 	4.78	31324.1	4	2	4.38	616
 Q9ERF3 	 WD repeat-containing protein 61 isoform a 	 Wdr61 	26.38	168507	12	7	30.49	305
 P17182 	" enolase 1B, retrotransposed "	 Eno1b 	126.53	2033624.3	70	23	60.6	434
 Q8K019 	 bcl-2-associated transcription factor 1 isoform 1 	 Bclaf1 	19.16	168950.5	11	5	5.88	919
 P17095 	 high mobility group protein HMG-I/HMG-Y isoform a 	 Hmga1 	11.73	108062.7	10	3	22.43	107
 F8VPR5 	 CREB-binding protein 	 Crebbp 	5.97	29501.4	2	2	1.19	2441
 Q6PHZ2 	 calcium/calmodulin-dependent protein kinase type II subunit delta 	 Camk2d 	37.77	253591.3	11	7	19.14	512
 Q3TV70 	 nuclear receptor 2C2-associated protein isoform 1 	 Nr2c2ap 	6.02	17608.7	1	1	8.57	140
 Q80YR5 	 scaffold attachment factor B2 	 Safb2 	59.5	396944.5	25	14	16.45	991
 A0AUN0 	 SEC23-interacting protein 	 Sec23ip 	2.71	64603.4	4	2	2.3	998
 Q0P678 	 zinc finger CCCH domain-containing protein 18 isoform a 	 Zc3h18 	3.55	47675.8	4	1	1.34	972
 Q8R3F5 	" malonyl-CoA-acyl carrier protein transacylase, mitochondrial "	 Mcat 	6.34	22887.9	2	1	2.89	381
 Q99LY9 	 NADH dehydrogenase 	 Ndufs5 	4.66	14686.2	1	1	11.32	106
 Q9ESX5 	 H/ACA ribonucleoprotein complex subunit 4 	 Dkc1 	58.1	269822	17	9	24.75	509
 Q3V4B5 	 COMM domain-containing protein 6 isoform 1 	 Commd6 	10.47	45046.2	3	1	14.94	87
 Q3U0V2 	 tumor necrosis factor receptor type 1-associated DEATH domain 	 Tradd 	19.75	47907.1	5	4	17.74	310
 Q3B7Z2 	 oxysterol-binding protein 1 	 Osbp 	9.76	46941.4	4	3	4.84	805
 Q3UV17 	" keratin, type II cytoskeletal 2 oral "	 Krt76 	4.24	239099.6	4	2	4.55	594
 Q3TQQ1 	 uncharacterized protein LOC99169 	 AU015228 	9.31	63689.9	4	3	10.48	439
 Q3UYV9 	 nuclear cap-binding protein subunit 1 	 Ncbp1 	19.83	107698.8	9	7	9.11	790
 Q3UGS4 	 protein FAM195B 	 Fam195b 	10.26	38869.8	3	3	39.17	97
 Q3TRM8 	 hexokinase-3 isoform 1 	 Hk3 	29.97	104146.4	6	5	6.94	922
 Q6A0A9 	 constitutive coactivator of PPAR-gamma-like protein 1 	 Fam120a 	37.18	183751.1	11	8	10.07	1112
 Q3UNZ8 	 quinone oxidoreductase-like protein 2 	 BC026585 	17.73	89373.5	4	4	17.14	350
 Q3TW96 	 UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 	 Uap1l1 	51.85	271683.6	15	10	23.87	507
 Q3THK7 	 GMP synthase 	 Gmps 	68.59	423991.2	26	16	26.55	693
 Q3UHX2 	 28 kDa heat- and acid-stable phosphoprotein 	 Pdap1 	24.64	169698.4	8	5	24.31	181
 A3KMP2 	 tetratricopeptide repeat protein 38 	 Ttc38 	44.11	286431.3	15	10	26.45	465
 Q8BUR4 	 dedicator of cytokinesis protein 1 	 Dock1 	1.98	157892.6	10	7	3.32	1865
 B1AZI6 	 THO complex subunit 2 	 Thoc2 	4.2	113192	4	4	3.14	1594
 Q9D3U0 	 putative tRNA pseudouridine synthase Pus10 	 Pus10 	1.69	116352.6	8	6	13.09	527
 Q3UED7 	 uncharacterized protein LOC240327 	 Gm4951 	3.61	24104.1	1	1	2.71	406
 Q3TTF6 	 serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A 	 Ppp2r1b 	8.64	42461.9	3	3	4.71	658
 Q6P5F9 	 exportin-1 	 Xpo1 	63.71	393959.4	21	13	12.61	1071
 Q8K135 	 dyslexia-associated protein KIAA0319-like protein isoform 1 	 AU040320 	1.5	12858.8	2	2	1.75	1085
 Q9DBG3 	 AP-2 complex subunit beta isoform a 	 Ap2b1 	52.11	323744.1	22	13	18.51	951
 Q8BYW1 	 rho GTPase-activating protein 25 isoform a 	 Arhgap25 	35.09	199238	14	10	18.36	648
 O70325 	" phospholipid hydroperoxide glutathione peroxidase, nuclear isoform "	 Gpx4 	10.9	46034.7	2	1	5.53	253
 Q3U1T3 	 breast cancer metastasis-suppressor 1-like protein 	 Brms1l 	7.97	17275.9	1	1	4.33	323
 Q61818 	 retinoic acid-induced protein 1 	 Rai1 	2.39	51614.5	4	3	2.81	1889
 P15702 	 leukosialin precursor 	 Spn 	16.14	138073.5	9	4	16.2	395
 Q99LB2 	 dehydrogenase/reductase SDR family member 4 isoform 1 	 Dhrs4 	28.34	181389.6	11	6	23.66	279
 Q9CRC9 	 glucosamine-6-phosphate isomerase 2 	 Gnpda2 	6.23	14488.6	1	1	6.16	276
 O54962 	 barrier-to-autointegration factor 	 Banf1 	24.1	446021.7	17	6	65.17	89
 P63213 	 guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 	 Gng2 	17.4	97189.1	8	2	42.25	71
 P63085 	 mitogen-activated protein kinase 1 	 Mapk1 	19.3	132600.4	6	4	12.85	358
 Q8R2U0 	 nucleoporin SEH1 isoform a 	 Seh1l 	6.71	54543.9	3	2	5.28	360
 Q923T9 	 calcium/calmodulin-dependent protein kinase type II subunit gamma 	 Camk2g 	13.3	35696.1	2	2	4.85	495
 Q99KW3 	 TRIO and F-actin-binding protein isoform 3 	 Triobp 	7.87	79304.5	7	6	2.93	2014
 Q9Z0H8 	 CAP-Gly domain-containing linker protein 2 isoform b 	 Clip2 	2.75	53352.9	6	5	4.74	1012
 Q9ERL7 	 glia maturation factor gamma isoform a 	 Gmfg 	4.06	61059.9	2	2	12.68	142
 Q3UGR5 	 haloacid dehalogenase-like hydrolase domain-containing protein 2 	 Hdhd2 	4.11	15042.4	3	2	8.11	259
 E9Q5C9 	 nucleolar and coiled-body phosphoprotein 1 isoform C 	 Nolc1 	10.86	118130.1	9	5	7.26	702
 Q8CGF7 	 transcription elongation regulator 1 isoform 1 	 Tcerg1 	48.05	253736.5	21	12	10.82	1100
 Q5XJE5 	 RNA polymerase-associated protein LEO1 	 Leo1 	6.32	144543	9	7	13.49	667
 Q000W5 	 guanylate-binding protein 10 	 Gbp10 	2.69	4015.4	1	1	1.96	611
 Q9CPW2 	" adrenodoxin-like protein, mitochondrial precursor "	 Fdx1l 	9.63	62006.6	5	2	12.07	174
 Q3UHJ0 	 AP2 associated kinase 1 isoform 1 	 Aak1 	15.48	65015.6	8	5	7.3	959
 E9Q912 	 rap1 GTPase-GDP dissociation stimulator 1 isoform a 	 Rap1gds1 	44.83	140105.3	7	6	13.01	607
 Q91W53 	 golgin subfamily A member 7 	 Golga7 	6.8	34056.3	2	2	16.79	137
 Q9JMH6 	" thioredoxin reductase 1, cytoplasmic isoform 1 "	 Txnrd1 	32.43	319069	15	8	17.13	613
 Q3TNN6 	 macrophage-capping protein 	 Capg 	63.69	444803.1	19	10	28.65	349
 P04441 	 H-2 class II histocompatibility antigen gamma chain isoform 1 	 Cd74 	6.61	38990.3	2	2	8.24	279
 Q8BYH7 	 TBC1 domain family member 17 	 Tbc1d17 	6.79	86469.7	5	3	4.81	645
 Q9WVB0 	 RNA-binding protein with multiple splicing isoform 1 	 Rbpms 	18.55	130759.2	6	5	31.98	197
 Q4FZC9 	 nesprin-3 isoform alpha 	 Syne3 	39.63	277683.5	14	11	14.05	975
 Q3UPG6 	 clathrin interactor 1 	 Clint1 	33.93	228212.3	13	8	13.32	623
 F7BJB9 	 MORC family CW-type zinc finger protein 3 	 Morc3 	8.02	41401	2	2	3.29	942
 E9PUZ5 	 PRKCA-binding protein 	 Pick1 	3.36	12450.6	2	1	2.88	416
 Q0VBL3 	 putative RNA-binding protein 15 	 Rbm15 	11.08	99823.6	8	6	8.52	962
 Q62189 	 U1 small nuclear ribonucleoprotein A 	 Snrpa 	15.35	106894.9	5	4	16.03	287
 Q9JJI8 	 60S ribosomal protein L38 	 Rpl38 	6.02	34431.9	3	2	28.57	70
 P70353 	 nuclear transcription factor Y subunit gamma isoform 1 	 Nfyc 	12.53	112711.8	4	3	8.66	335
 Q78HU7 	 glycophorin-C 	 Gypc 	11.43	35148.6	5	2	28.42	95
 Q61686 	 chromobox protein homolog 5 	 Cbx5 	26.1	274078.6	17	8	41.36	191
 Q8CBW3 	 abl interactor 1 isoform 1 	 Abi1 	9.43	52298.5	5	2	5.41	481
 Q60668 	 heterogeneous nuclear ribonucleoprotein D0 isoform a 	 Hnrnpd 	31.63	254958.7	15	6	19.44	355
