UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q8C0S1 	 DIS3-like exonuclease 1 isoform 1 	 Dis3l 	1.62	65519.8	5	4	4.75	1053
 Q3SXA6 	 TNFAIP3-interacting protein 3 	 Tnip3 	8.19	18907.2	2	1	9.13	208
 Q3TNL8 	" inositol 1,4,5-trisphosphate receptor-interacting protein precursor "	 Itprip 	2.98	20159.4	2	2	4.32	555
 P01901 	" H-2 class I histocompatibility antigen, K-W28 alpha chain isoform 1 "	 H2-K1 	26.71	133980.6	10	6	23.31	369
 Q8BL66 	 early endosome antigen 1 	 Eea1 	36.35	156991.7	12	8	7.37	1411
 P59997 	 lysine-specific demethylase 2A 	 Kdm2a 	4.27	91239.5	6	6	5.25	1161
 P48678 	 prelamin-A/C isoform A precursor 	 Lmna 	42.1	328612.4	15	11	18.2	665
 P17156 	 heat shock-related 70 kDa protein 2 	 Hspa2 	6.15	63151.4	4	3	4.74	633
 Q6ZWZ7 	 60S ribosomal protein L17 	 Rpl17 	26.36	358313	18	5	31.52	184
 Q8R480 	 nuclear pore complex protein Nup85 	 Nup85 	6.66	62490.8	5	3	6.1	656
 Q6IFZ8 	 type II keratin Kb14 	 Gm5414 	2.48	33015.4	4	3	5.8	552
 Q68FD5 	 clathrin heavy chain 1 	 Cltc 	168.81	1370755.1	69	35	24.72	1675
 Q6A4J8 	 ubiquitin carboxyl-terminal hydrolase 7 	 Usp7 	23.85	255099.6	17	11	11.24	1103
 Q9ES97 	 reticulon-3 isoform 1 	 Rtn3 	5.58	81658.8	3	3	3.94	964
 Q68ED7 	 CREB-regulated transcription coactivator 1 	 Crtc1 	2.87	7573	1	1	1.59	630
 Q68FF6 	 ARF GTPase-activating protein GIT1 	 Git1 	5.32	55603.4	4	1	2.08	770
 Q6PDY2 	 2-aminoethanethiol dioxygenase 	 Ado 	5.5	12256.7	2	1	6.25	256
 Q6PAM1 	 alpha-taxilin 	 Txlna 	21.73	138721.7	9	7	14.26	554
 Q8BJW6 	 eukaryotic translation initiation factor 2A 	 Eif2a 	27.31	220665.4	12	6	11.7	581
 Q5XJY4 	" presenilins-associated rhomboid-like protein, mitochondrial "	 Parl 	4.57	22990.7	2	2	8.22	377
 Q64191 	 N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase isoform 1 	 Aga 	1.82	27492.3	4	2	7.51	346
 Q80TH2 	 protein LAP2 isoform 1 	 Erbb2ip 	15.26	116853.2	6	5	3.72	1450
 Q5U452 	 TP53-regulating kinase 	 Trp53rka 	5.1	30825.2	2	1	4.1	244
 Q5U4D9 	 THO complex subunit 6 homolog 	 Thoc6 	19.88	84193.7	6	5	15.84	341
 A2AF47 	 dedicator of cytokinesis protein 11 	 Dock11 	8.88	103454.4	8	8	4	2073
 Q5EBG8 	 uncharacterized protein C1orf50 homolog 	 AU022252 	10.41	33422	1	1	8.04	199
 Q8BIF9 	 zinc finger protein 787 	 Zfp787 	3.34	12319	2	2	5.77	381
 Q5SUQ9 	 CST complex subunit CTC1 isoform a 	 Ctc1 	9.93	125974.7	5	4	5.03	1212
 Q5EG47 	 5'-AMP-activated protein kinase catalytic subunit alpha-1 	 Prkaa1 	2.84	30618.5	2	2	3.94	559
 Q3UIR3 	 E3 ubiquitin-protein ligase DTX3L 	 Dtx3l 	8.36	16437.2	2	2	3.21	748
 A2AJG0 	 ribonuclease P protein subunit p38 	 Rpp38 	2.5	49031.5	4	3	10.36	280
 Q6PDL0 	 cytoplasmic dynein 1 light intermediate chain 2 	 Dync1li2 	6.73	68204.7	6	5	14.23	492
 Q6NVF9 	 cleavage and polyadenylation specificity factor subunit 6 isoform 2 	 Cpsf6 	13.88	59314.5	4	2	5.44	551
 Q3TXT3 	 SOSS complex subunit C 	 Inip 	2.74	7944	1	1	8.65	104
 P17047 	 lysosome-associated membrane glycoprotein 2 isoform 1 precursor 	 Lamp2 	11.34	133793.5	10	5	9.4	415
 A2ADY9 	 protein DDI1 homolog 2 	 Ddi2 	15.21	169751.2	8	3	9.27	399
 Q9QYC0 	 alpha-adducin isoform 1 	 Add1 	4.09	34913.6	4	3	4.08	735
 P53569 	 CCAAT/enhancer-binding protein zeta 	 Cebpz 	6.47	101790.2	6	4	3.61	1052
 Q9WV98 	 mitochondrial import inner membrane translocase subunit Tim9 	 Timm9 	8.95	152472.8	8	2	25.84	89
 Q8BIX3 	 ARL14 effector protein 	 Arl14ep 	3.95	8036.9	1	1	5.8	276
 Q7TQK5 	 coiled-coil domain-containing protein 93 isoform a 	 Ccdc93 	2.81	21656.6	1	1	2.07	629
 Q62393 	 tumor protein D52 isoform 3 	 Tpd52 	24.3	219291	10	5	31.66	199
 O54786 	 DNA fragmentation factor subunit alpha isoform a 	 Dffa 	30.27	136795.2	7	6	21.45	331
 Q9ERF3 	 WD repeat-containing protein 61 isoform a 	 Wdr61 	32.55	247185.2	11	5	24.26	305
 P17182 	" enolase 1B, retrotransposed "	 Eno1b 	132.06	2140618.3	103	22	63.13	434
