UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD	
Q6IRU2	TPM4	 tropomyosin alpha-4 chain 	Tpm4	3883	3.22	26409.2	2	1	3.63	248	
Q3UHC7	DAB2P	 disabled homolog 2-interacting protein isoform 3 	Dab2ip	4018	1.96	41403.4	1	1	1.16	1124	
P23949	TISD	" zinc finger protein 36, C3H1 type-like 2 "	Zfp36l2	3825	3.67	47430.8	2	1	2.69	484	
Q3TAA8	Q3TAA8	 phosphatidylinositol glycan anchor biosynthesis class U protein 	Pigu	3185	6.47	28147.1	1	1	3.91	435	
Q6PDY2	AEDO	 2-aminoethanethiol dioxygenase 	Ado	3699	4.48	43026.1	2	1	8.20	256	
Q5XJY4	PARL	" presenilins-associated rhomboid-like protein, mitochondrial "	Parl	3938	2.63	7428.9	1	1	5.31	377	
Q9D1R9	RL34	 60S ribosomal protein L34 	Rpl34	4086	1.70	25068.6	1	1	7.69	117	
Q9DAM7	TM263	 transmembrane protein 263 	Tmem263	2701	8.80	17224.2	1	1	17.39	115	
Q5SUQ9	CTC1	 CST complex subunit CTC1 isoform a 	Ctc1	3730	4.32	44959.8	4	1	1.82	1212	
Q58FA4	E2F8	 transcription factor E2F8 	E2f8	3396	5.67	16159.3	1	1	1.98	860	
Q5SSI6	UTP18	 U3 small nucleolar RNA-associated protein 18 homolog 	Utp18	2855	7.93	36282.7	3	1	3.26	552	
A2AJG0	A2AJG0	 ribonuclease P protein subunit p38 	Rpp38	2128	13.42	39849.2	1	1	5.71	280	
Q3UCV8	OTUL	 ubiquitin thioesterase otulin 	Otulin	3497	5.32	22149.9	1	1	4.55	352	
P56394	COX17	 cytochrome c oxidase copper chaperone 	Cox17	2946	7.51	70802.8	3	1	25.40	63	
Q9WV98	TIM9	 mitochondrial import inner membrane translocase subunit Tim9 	Timm9	3461	5.46	180517.5	6	1	16.85	89	
Q8BIX3	AL14E	 ARL14 effector protein 	Arl14ep	3668	4.60	33317.3	2	1	5.80	276	
Q3UJU9	RMD3	 regulator of microtubule dynamics protein 3 	Rmdn3	3239	6.26	15756.5	1	1	3.62	470	
