UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
Q6ZWY8	TYB10	thymosin beta-10	Tmsb10	4224	4.60	687238.5	2	1	31.82	44
P20065	TYB4	thymosin beta-4	Tmsb4x	4066	5.14	1099077.2	5	1	25.00	44
A2AF33	A2AF33	thymosin beta-like	Tmsb15b1	4163	4.80	133972.4	3	2	60.00	45
P62274	RS29	40S ribosomal protein S29	Rps29	4663	2.16	90378.0	3	2	32.14	56
Q78IK2	USMG5	up-regulated during skeletal muscle growth protein 5	Usmg5	4010	5.35	115869.9	2	1	25.86	58
P56379	68MP	6.8 kDa mitochondrial proteolipid	2010107E04Rik	4859	1.77	84646.6	3	1	13.79	58
P02798	MT2	metallothionein-2	Mt2	4427	3.79	37142.2	1	1	19.67	61
P02802	MT1	metallothionein-1	Mt1	3762	6.30	108981.9	4	3	45.90	61
P56394	COX17	cytochrome c oxidase copper chaperone	Cox17	3278	8.84	97090.0	3	1	25.40	63
Q9CQS2	NOP10	H/ACA ribonucleoprotein complex subunit 3	Nop10	4452	3.70	61960.0	1	1	20.31	64
Q8R1I1	QCR9	cytochrome b-c1 complex subunit 9	Uqcr10	3839	6.02	186218.5	5	1	26.56	64
Q99LQ4	SVBP	small vasohibin-binding protein isoform b	Svbp	3915	5.71	23312.0	1	1	22.73	66
P03930	ATP8	ATP synthase F0 subunit 8 (mitochondrion)	ATP8	3024	10.47	314447.1	6	2	34.33	67
O08997	ATOX1	copper transport protein ATOX1	Atox1	2238	17.02	724418.8	10	3	47.06	68
Q9CXP8	GBG10	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	Gng10	3420	7.96	39150.7	1	1	26.47	68
D3Z7Q2	D3Z7Q2	small integral membrane protein 20	Smim20	4593	2.68	39202.5	1	1	20.29	69
P62858	RS28	40S ribosomal protein S28	Rps28	1572	25.37	1871135.6	16	6	56.52	69
Q9JJI8	RL38	60S ribosomal protein L38	Rpl38	4253	4.48	61934.4	1	1	14.29	70
P63213	GBG2	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	Gng2	2029	19.16	419144.6	9	3	42.25	71
Q06185	ATP5I	"ATP synthase subunit e, mitochondrial"	Atp5k	1667	24.15	604927.1	9	4	50.70	71
Q9DAS9	GBG12	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	Gng12	2915	11.24	207067.7	5	2	41.67	72
Q8R034	APC13	anaphase-promoting complex subunit 13	Anapc13	4133	4.89	24841.6	1	1	37.84	74
Q91VR8	BRK1	protein BRICK1	Brk1	3485	7.59	121069.6	2	2	25.33	75
Q9CQZ1	HSBP1	heat shock factor-binding protein 1	Hsbp1	3012	10.54	55407.3	2	2	39.47	76
P62309	RUXG	small nuclear ribonucleoprotein G	Snrpg	3249	9.05	129032.7	4	3	26.32	76
Q9D115	ZN706	zinc finger protein 706	Zfp706	4327	4.20	62873.6	2	2	22.37	76
Q9D8Z2	TRIA1	TP53-regulated inhibitor of apoptosis 1	Triap1	4089	5.08	35653.8	2	1	18.42	76
Q9CPQ1	COX6C	cytochrome c oxidase subunit 6C	Cox6c	4865	1.74	72405.6	2	1	9.21	76
