UniprotID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q923X1 	 adhesion G protein-coupled receptor L4 precursor 	 Adgrl4 	2369	2.21	1123.0	1	1	2.98	739
 Q9QZI9 	 serine incorporator 3 precursor 	 Serinc3 	2335	2.55	1164.9	1	1	1.91	472
 Q9CS42 	 ribose-phosphate pyrophosphokinase 2 isoform 1 	 Prps2 	2332	2.59	1519.7	1	1	4.67	321
 Q8VCF0 	 mitochondrial antiviral-signaling protein isoform 1 	 Mavs 	2349	2.45	1669.0	1	1	2.58	503
 Q9ERA6 	 tuftelin-interacting protein 11 	 Tfip11 	2205	3.90	1854.5	1	1	1.67	838
 Q8C7X2 	 ER membrane protein complex subunit 1 isoform 1 precursor 	 Emc1 	2023	5.41	1994.6	1	1	1.00	997
 Q9CXL3 	 uncharacterized protein C7orf50 homolog 	 3110082I17Rik 	2413	1.89	2000.1	1	1	9.74	195
 P41216 	 long-chain-fatty-acid--CoA ligase 1 	 Acsl1 	2215	3.83	2096.3	1	1	1.43	699
 Q8VDY9 	 caspase activity and apoptosis inhibitor 1 	 Caap1 	2118	4.75	2102.3	1	1	3.93	356
 A6H8H2 	 PREDICTED: DENN domain-containing protein 4C isoform X1 	 Dennd4c 	2486	1.52	2135.7	1	1	0.61	1955
 Q99LD9 	 translation initiation factor eIF-2B subunit beta 	 Eif2b2 	2466	1.66	2232.0	1	1	5.13	351
 Q61206 	 platelet-activating factor acetylhydrolase IB subunit beta 	 Pafah1b2 	2401	1.95	2300.2	1	1	3.93	229
 Q8C142 	 low density lipoprotein receptor adapter protein 1 	 Ldlrap1 	2079	4.99	2416.2	1	1	5.19	308
 Q8CGC6 	 RNA-binding protein 28 	 Rbm28 	1794	6.59	2541.5	1	1	2.00	750
 Q921W7 	 testin 	 Tes 	2419	1.88	2624.4	2	2	6.44	419
 Q9JJ94 	 Sjoegren syndrome nuclear autoantigen 1 homolog 	 Ssna1 	2373	2.18	2641.0	1	1	10.92	119
 Q8VE10 	 N-alpha-acetyltransferase 40 	 Naa40 	2355	2.40	2740.8	1	1	7.17	237
 P26187 	 methylated-DNA--protein-cysteine methyltransferase 	 Mgmt 	2342	2.52	2871.0	1	1	4.74	211
 D3Z3N4 	 heterogeneous nuclear ribonucleoprotein H3 	 Hnrnph3 	1903	6.03	2886.1	1	1	4.91	346
 Q9CQL7 	 MORF4 family-associated protein 1 	 Mrfap1 	2453	1.74	2948.8	2	2	10.40	125
 Q91ZJ5 	 UTP--glucose-1-phosphate uridylyltransferase isoform 1 	 Ugp2 	2338	2.54	3141.8	1	1	3.94	508
 Q9WUN2 	 serine/threonine-protein kinase TBK1 	 Tbk1 	2169	4.23	3293.2	1	1	2.06	729
 P23780 	 beta-galactosidase preproprotein 	 Glb1 	2110	4.80	3392.0	1	1	2.32	647
 A2AWA9 	 rab GTPase-activating protein 1 isoform a 	 Rabgap1 	2458	1.71	3477.8	1	1	1.60	1064
 P60840 	 alpha-endosulfine isoform a 	 Ensa 	2409	1.91	3582.1	1	1	11.57	121
