UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q3TNL8 	" inositol 1,4,5-trisphosphate receptor-interacting protein precursor "	 Itprip 	17.58	94673.1	7	5	11.71	555
 P23949 	" zinc finger protein 36, C3H1 type-like 2 "	 Zfp36l2 	13.67	94064.1	7	3	8.68	484
 P01901 	" H-2 class I histocompatibility antigen, K-W28 alpha chain isoform 1 "	 H2-K1 	96.22	1004030.3	34	13	50.41	369
 P59997 	 lysine-specific demethylase 2A 	 Kdm2a 	4.28	45922	2	2	2.84	1161
 P48678 	 prelamin-A/C isoform A precursor 	 Lmna 	72.59	398240.2	24	17	29.32	665
 P17156 	 heat shock-related 70 kDa protein 2 	 Hspa2 	42.29	242433.9	11	8	15.01	633
 Q6ZWZ7 	 60S ribosomal protein L17 	 Rpl17 	59.87	1074520.5	40	11	44.56	184
 Q8R480 	 nuclear pore complex protein Nup85 	 Nup85 	7.71	48328.4	4	3	5.79	656
 Q7M754 	 Try10-like trypsinogen precursor 	 Gm5409 	3.95	52354.7	2	2	10.16	246
 Q6IFZ6 	" keratin, type II cytoskeletal 1b "	 Krt77 	1.67	53717.5	3	3	7.52	572
 Q6GYP7 	 ral GTPase-activating protein subunit alpha-1 isoform 3 	 Ralgapa1 	3.42	75708.9	5	4	1.58	2083
 Q68FD5 	 clathrin heavy chain 1 	 Cltc 	352.04	2893893.5	120	51	40.48	1675
 Q68FG0 	 zinc finger C4H2 domain-containing protein isoform 1 	 Zc4h2 	2.21	30298.7	2	2	9.37	224
 Q6A4J8 	 ubiquitin carboxyl-terminal hydrolase 7 	 Usp7 	79.64	686646.9	31	20	24.93	1103
 Q8R361 	 rab11 family-interacting protein 5 isoform 1 	 Rab11fip5 	6.44	81411	5	4	3.64	1318
 O88509 	 DNA (cytosine-5)-methyltransferase 3B isoform 1 	 Dnmt3b 	5.13	102269.1	6	4	7.92	859
 Q68ED7 	 CREB-regulated transcription coactivator 1 	 Crtc1 	6.53	25397.1	1	1	1.59	630
 Q5ND28 	 scavenger receptor class F member 1 precursor 	 Scarf1 	14.65	70346.5	6	4	10.98	820
 Q65Z40 	 wings apart-like protein homolog isoform 1 	 Wapl 	56.86	365200.9	22	14	16.25	1200
 Q3TAA8 	 phosphatidylinositol glycan anchor biosynthesis class U protein 	 Pigu 	11.43	36031	2	1	3.91	435
 Q6PDY2 	 2-aminoethanethiol dioxygenase 	 Ado 	12.7	110201.5	4	4	14.06	256
 Q6PAM1 	 alpha-taxilin 	 Txlna 	29.07	136757.2	10	6	14.98	554
 Q640N3 	 rho GTPase-activating protein 30 	 Arhgap30 	25.89	239870.6	13	6	7.32	1093
 Q8BJW6 	 eukaryotic translation initiation factor 2A 	 Eif2a 	74.42	401106.5	18	10	26.33	581
 A2RTL5 	 arginine/serine-rich coiled-coil protein 2 	 Rsrc2 	6.13	46024.9	3	3	6.22	434
 Q64191 	 N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase isoform 1 	 Aga 	11.81	92100.3	4	3	10.4	346
 Q9D1R9 	 60S ribosomal protein L34 	 Rpl34 	4.5	98257.5	4	3	21.37	117
 Q80TH2 	 protein LAP2 isoform 1 	 Erbb2ip 	33.98	347250.4	18	12	11.86	1450
 Q5U452 	 TP53-regulating kinase 	 Trp53rka 	21.77	62732.6	2	2	15.16	244
 Q5RJG1 	 nucleolar protein 10 	 Nol10 	6.15	101178.5	6	4	6.84	687
 Q5U4C3 	" splicing factor, arginine/serine-rich 19 "	 Scaf1 	6.85	66659.3	6	6	6.53	1256
 Q5U4D9 	 THO complex subunit 6 homolog 	 Thoc6 	13.03	73647.3	3	2	6.74	341
 Q8BG60 	 thioredoxin-interacting protein isoform 1 	 Txnip 	7.68	52118.3	3	2	6.55	397
 A2AF47 	 dedicator of cytokinesis protein 11 	 Dock11 	45.41	371341.8	24	16	8.44	2073
