UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
Q8C0X0	LCA5L	 lebercilin-like protein 	Lca5l	2734	2.01	20798.4	1	1	2.18	735
P48678	LMNA	 prelamin-A/C isoform A precursor 	Lmna	1193	14.93	117969.8	8	5	8.42	665
Q6A4J8	UBP7	 ubiquitin carboxyl-terminal hydrolase 7 	Usp7	2289	5.84	138779.9	7	3	4.35	1103
Q9ES97	RTN3	 reticulon-3 isoform 1 	Rtn3	2559	3.99	36830.3	2	2	1.66	964
Q68FF6	GIT1	 ARF GTPase-activating protein GIT1 	Git1	2579	3.76	63467.7	2	2	3.9	770
Q3TAA8	Q3TAA8	 phosphatidylinositol glycan anchor biosynthesis class U protein 	Pigu	2514	4.39	76460.1	2	2	9.2	435
Q8BJW6	EIF2A	 eukaryotic translation initiation factor 2A 	Eif2a	350	37.34	199489.2	14	6	14.97	581
A2RTL5	RSRC2	 arginine/serine-rich coiled-coil protein 2 	Rsrc2	2652	2.79	76533.5	2	1	3.23	434
Q8C1B7	43719	 septin-11 isoform 3 	11-Sep	1030	17.38	123180.8	6	4	13.05	429
Q5DW34	EHMT1	 histone-lysine N-methyltransferase EHMT1 isoform 1 	Ehmt1	2368	5.48	37485.7	2	1	1.16	1296
Q5NC05	TTF2	 transcription termination factor 2 	Ttf2	2333	5.63	35132.3	3	3	2.99	1138
Q3UIR3	DTX3L	 E3 ubiquitin-protein ligase DTX3L 	Dtx3l	1219	14.52	104677.4	4	3	5.75	748
A2AJG0	A2AJG0	 ribonuclease P protein subunit p38 	Rpp38	1851	7.83	23723.8	2	2	7.5	280
Q3UCV8	OTUL	 ubiquitin thioesterase otulin 	Otulin	2310	5.77	18705.1	2	1	4.55	352
P56394	COX17	 cytochrome c oxidase copper chaperone 	Cox17	1537	10.74	115568.4	5	1	25.4	63
P17047	LAMP2	 lysosome-associated membrane glycoprotein 2 isoform 1 precursor 	Lamp2	1305	13.45	92790.6	6	4	7.95	415
A2ADY9	DDI2	 protein DDI1 homolog 2 	Ddi2	989	18	130808.4	7	4	16.79	399
Q5U3K5	RABL6	 rab-like protein 6 	Rabl6	2094	6.7	87826.6	4	2	3.86	725
Q6P8I4	PCNP	 PEST proteolytic signal-containing nuclear protein 	Pcnp	1727	8.89	49599.6	3	2	15.73	178
P53569	CEBPZ	 CCAAT/enhancer-binding protein zeta 	Cebpz	1408	12.38	23997.7	2	2	2.38	1052
Q9WV98	TIM9	 mitochondrial import inner membrane translocase subunit Tim9 	Timm9	2150	6.48	79491.9	5	1	16.85	89
Q62393	TPD52	 tumor protein D52 isoform 2 	Tpd52	1190	14.98	95677.1	5	3	17.41	224
O54786	DFFA	 DNA fragmentation factor subunit alpha isoform a 	Dffa	1677	9.29	42057.1	4	3	14.2	331
Q8CD76	Q8CD76	 kinesin light chain 1 isoform 1D 	Klc1	1824	8.07	74763.8	3	3	3.9	616
Q8K019	BCLF1	 bcl-2-associated transcription factor 1 isoform 1 	Bclaf1	833	21.1	223687.7	12	5	5.77	919
P17095	HMGA1	 high mobility group protein HMG-I/HMG-Y isoform a 	Hmga1	2317	5.73	74025.4	3	3	23.36	107
F8VPR5	F8VPR5	 CREB-binding protein 	Crebbp	1554	10.52	150942.9	8	6	4.06	2441
Q3TV70	NR2CA	 nuclear receptor 2C2-associated protein isoform 1 	Nr2c2ap	2303	5.79	34786.2	1	1	8.57	140
Q6NXN1	SZRD1	 SUZ domain-containing protein 1 isoform 1 	Szrd1	1578	10.33	46743.7	4	2	21.05	152
F8VPZ3	F8VPZ3	 ubiquitin carboxyl-terminal hydrolase 32 	Usp32	2824	1.38	46567.3	1	1	0.75	1604
A0AUN0	A0AUN0	 SEC23-interacting protein 	Sec23ip	2363	5.51	92447.3	3	2	2	998
Q2NL51	GSK3A	 glycogen synthase kinase-3 alpha 	Gsk3a	2822	1.39	92280.5	3	3	6.33	490
Q9CQN7	RM41	" 39S ribosomal protein L41, mitochondrial precursor "	Mrpl41	2008	7.06	36024.8	2	1	9.63	135
Q3UJU9	RMD3	 regulator of microtubule dynamics protein 3 	Rmdn3	1827	8.02	26037.2	3	1	3.62	470
Q3U0V2	TRADD	 tumor necrosis factor receptor type 1-associated DEATH domain 	Tradd	1324	13.27	59041.7	4	2	10	310
Q3UV17	K22O	" keratin, type II cytoskeletal 2 oral "	Krt76	2348	5.55	192351.5	7	2	4.55	594
Q3TMP1	Q3TMP1	 general transcription factor 3C polypeptide 3 	Gtf3c3	2376	5.44	10642.5	2	1	2.04	882
Q3UYV9	NCBP1	 nuclear cap-binding protein subunit 1 	Ncbp1	1348	13.09	148669	7	3	4.18	790
Q3UGS4	MCRI1	 protein FAM195B 	Fam195b	2644	2.9	30207.7	2	2	26.8	97
Q3TW96	UAP1L	 UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 	Uap1l1	1419	12.18	95044.6	5	3	7.89	507
Q3U0X6	Q3U0X6	 zinc finger protein 217 	Zfp217	2805	1.44	54623.3	5	4	4.8	1041
Q3UM29	COG7	 conserved oligomeric Golgi complex subunit 7 	Cog7	2565	3.94	14394.3	1	1	1.69	770
Q3TIX6	Q3TIX6	 far upstream element-binding protein 3 isoform a 	Fubp3	700	24.61	226071.2	8	5	13.22	575
Q3TB92	MILR1	 allergin-1 isoform a precursor 	Milr1	2762	1.78	20141.1	1	1	7.72	246
Q9WTP6	KAD2	" adenylate kinase 2, mitochondrial isoform a "	Ak2	577	27.95	278668.3	12	6	29.29	239
Q62417	SRBS1	 sorbin and SH3 domain-containing protein 1 isoform 4 	Sorbs1	1511	11	80120	4	4	8.98	724
Q9DBG3	AP2B1	 AP-2 complex subunit beta isoform a 	Ap2b1	1611	9.95	83392.5	7	5	6.41	951
O70325	GPX4	" phospholipid hydroperoxide glutathione peroxidase, nuclear isoform "	Gpx4	2181	6.34	76177.7	3	1	5.53	253
Q8C5L3	CNOT2	 CCR4-NOT transcription complex subunit 2 isoform d 	Cnot2	1939	7.33	27397.3	3	1	2.91	550
Q99LB2	DHRS4	 dehydrogenase/reductase SDR family member 4 isoform 1 	Dhrs4	1810	8.13	24138.5	1	1	6.09	279
P60762	MO4L1	 mortality factor 4-like protein 1 isoform a 	Morf4l1	1293	13.56	57317.8	3	3	8.56	362
Q3UGR5	HDHD2	 haloacid dehalogenase-like hydrolase domain-containing protein 2 	Hdhd2	2038	6.95	19990.1	1	1	8.11	259
Q8CGF7	TCRG1	 transcription elongation regulator 1 isoform 1 	Tcerg1	1264	13.95	124129.1	5	3	3.18	1100
Q3UHJ0	AAK1	 AP2 associated kinase 1 isoform 1 	Aak1	2300	5.8	216696.8	7	4	8.03	959
E9Q912	E9Q912	 rap1 GTPase-GDP dissociation stimulator 1 isoform a 	Rap1gds1	1267	13.87	85726	3	2	4.45	607
O55042	SYUA	 alpha-synuclein 	Snca	878	20.2	103809	7	3	35	140
Q9JMH6	TRXR1	" thioredoxin reductase 1, cytoplasmic isoform 1 "	Txnrd1	1067	16.79	144344.6	5	4	9.95	613
Q8BYH7	TBC17	 TBC1 domain family member 17 	Tbc1d17	1943	7.31	39301.9	2	1	2.33	645
Z4YJL0	Z4YJL0	 bromo adjacent homology domain-containing 1 protein 	Bahd1	2802	1.44	32502.2	2	1	2.07	772
Q0VBL3	RBM15	 putative RNA-binding protein 15 	Rbm15	1086	16.45	43644	4	4	6.96	962
P19426	NELFE	 negative elongation factor E 	Nelfe	2354	5.53	28946	2	1	3.27	367
Q62189	SNRPA	 U1 small nuclear ribonucleoprotein A 	Snrpa	2195	6.29	173098.2	9	3	14.29	287
Q9JJI8	RL38	 60S ribosomal protein L38 	Rpl38	1525	10.88	65089.8	5	2	28.57	70
P70353	NFYC	 nuclear transcription factor Y subunit gamma isoform 1 	Nfyc	1268	13.85	57094.9	3	2	7.46	335
Q61686	CBX5	 chromobox protein homolog 5 	Cbx5	1744	8.69	135137.3	7	4	20.94	191
Q8CBW3	ABI1	 abl interactor 1 isoform 1 	Abi1	2519	4.33	77705.5	3	3	7.28	481
Q8VD58	EVI2B	 protein EVI2B precursor 	Evi2b	2154	6.46	107767.2	6	2	5.86	444
Q8R3P6	INT14	 von Willebrand factor A domain-containing protein 9 	Vwa9	2801	1.44	11833.4	1	1	2.72	515
O35638	STAG2	 cohesin subunit SA-2 isoform 1 	Stag2	1598	10.09	149981.1	7	5	4.96	1231
O89110	CASP8	 caspase-8 isoform 1 precursor 	Casp8	1576	10.34	43779.2	2	2	5.42	480
Q99M28	RNPS1	 RNA-binding protein with serine-rich domain 1 isoform 1 	Rnps1	1735	8.74	60748.3	4	1	4.92	305
Q61029	LAP2B	 lamina-associated polypeptide 2 isoform epsilon 	Tmpo	93	73.55	772637.1	28	8	27.21	452
Q9R0U0	SRS10	 serine/arginine-rich splicing factor 10 isoform 2 	Srsf10	2140	6.52	222992.1	5	3	9.54	262
E9QAE3	E9QAE3	 TATA-binding protein-associated factor 172 	Btaf1	918	19.4	127281.9	6	5	3.79	1848
Q9ESZ8	GTF2I	 general transcription factor II-I isoform 1 	Gtf2i	363	36.8	346021.5	16	8	11.32	998
P97379	G3BP2	 ras GTPase-activating protein-binding protein 2 isoform a 	G3bp2	1608	9.96	75293.6	4	3	9.34	482
A2BH40	ARI1A	 AT-rich interactive domain-containing protein 1A 	Arid1a	285	42.92	237791.9	17	8	6.53	2283
D3Z0M9	D3Z0M9	 probable ATP-dependent RNA helicase DDX23 	Ddx23	1052	17.13	190120.2	7	6	8.42	819
E9QAP7	E9QAP7	 transcription initiation factor TFIID subunit 4 	Taf4	2216	6.2	32329.6	1	1	1.34	1042
Q3UFB2	BCD1	 box C/D snoRNA protein 1 	Znhit6	2586	3.71	128080.1	5	4	10.87	460
Q5SW19	CLU	 clustered mitochondria protein homolog 	Cluh	148	61.11	491993.7	25	15	14.63	1353
Q6NXY9	RPC7	 DNA-directed RNA polymerase III subunit RPC7 	Polr3g	2736	2	24819.9	2	2	14.8	223
Q8C547	HTR5B	 HEAT repeat-containing protein 5B 	Heatr5b	2682	2.49	56622	3	2	1.5	2070
Q9WU40	MAN1	 inner nuclear membrane protein Man1 	Lemd3	2540	4.11	27687.5	2	2	4.14	918
Q8BHT6	B3GLT	" beta-1,3-glucosyltransferase precursor "	B3glct	1855	7.81	10647.3	2	2	5.93	489
Q9CY73	RM44	" 39S ribosomal protein L44, mitochondrial precursor "	Mrpl44	2451	4.94	54162.8	3	3	13.51	333
Q68FE6	RIPR1	 protein FAM65A 	Fam65a	1631	9.76	55396.4	3	3	3.76	1223
B9EKS2	B9EKS2	 lysine-specific demethylase 3B 	Kdm3b	1836	7.92	94748.1	5	5	4.6	1762
Q9DCD0	6PGD	" 6-phosphogluconate dehydrogenase, decarboxylating "	Pgd	394	35.08	189570.9	8	5	15.32	483
Q6NXI6	RPRD2	 regulation of nuclear pre-mRNA domain-containing protein 2 	Rprd2	790	21.97	160433.1	9	9	7.15	1469
Q8VD65	PI3R4	 phosphoinositide 3-kinase regulatory subunit 4 	Pik3r4	2735	2	82469.3	3	3	3.68	1358
Q80ZQ9	F206A	 protein Simiate 	Fam206a	1761	8.57	21105.5	1	1	9.33	193
C0HKD8	MFA1A	 microfibrillar-associated protein 1 	Mfap1b	2121	6.63	74902.6	3	2	5.92	439
Q811S7	UBIP1	 upstream-binding protein 1 isoform a 	Ubp1	2749	1.93	6393.2	1	1	2.22	540
Q8BK30	NDUV3	 NADH dehydrogenase 	Ndufv3	2198	6.28	88210.9	8	1	10.58	104
C0HKG5	RNT2A	 ribonuclease T2 precursor 	Rnaset2a	1947	7.29	52644.1	2	2	8.49	259
Q91VB8	Q91VB8	" hemoglobin alpha, adult chain 2 "	Hba-a2	624	26.6	468662.4	17	5	59.15	142
E9Q4N7	ARI1B	 AT-rich interactive domain-containing protein 1B 	Arid1b	1725	8.91	120396.4	8	6	2.94	2244
P30999	CTND1	 catenin delta-1 isoform 1 	Ctnnd1	2201	6.27	46485.6	2	2	1.92	938
A2A5R2	BIG2	 brefeldin A-inhibited guanine nucleotide-exchange protein 2 	Arfgef2	2657	2.74	95608.6	5	4	2.51	1792
P0C0A3	CHMP6	 charged multivesicular body protein 6 	Chmp6	2043	6.93	99310.7	4	2	9.5	200
E9Q6E5	E9Q6E5	 serine/arginine-rich splicing factor 11 isoform 2 	Srsf11	717	24.2	184402.7	8	4	12.92	511
O08992	SDCB1	 syntenin-1 isoform 1 	Sdcbp	2460	4.86	34062.8	1	1	3.68	299
E9Q166	E9Q166	 ATPase family AAA domain-containing protein 2B 	Atad2b	2755	1.89	61954.4	3	2	2.4	1460
Q80XC2	TRM61	 tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A 	Trmt61a	2568	3.9	66786.7	5	1	4.83	290
P14576	SRP54	 signal recognition particle 54 kDa protein 	Srp54b	589	27.61	291172.5	11	6	15.67	504
