UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
Q78IK2	USMG5	up-regulated during skeletal muscle growth protein 5	Usmg5	2575	5.93	145723.9	4	2	43.10	58
Q8K003	TMA7	translation machinery-associated protein 7	Tma7	3018	3.95	22695.4	1	1	14.06	64
Q8R1I1	QCR9	cytochrome b-c1 complex subunit 9	Uqcr10	2543	6.08	97661.1	4	1	26.56	64
P03930	ATP8	ATP synthase F0 subunit 8 (mitochondrion)	ATP8	1988	9.70	121181.8	4	2	34.33	67
O08997	ATOX1	copper transport protein ATOX1	Atox1	1142	19.55	442245.9	11	4	73.53	68
P62858	RS28	40S ribosomal protein S28	Rps28	909	24.20	565067.9	11	6	43.48	69
Q9JJI8	RL38	60S ribosomal protein L38	Rpl38	3074	3.56	16096.9	1	1	14.29	70
P63213	GBG2	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	Gng2	1546	13.87	62591.1	4	2	42.25	71
Q06185	ATP5I	"ATP synthase subunit e, mitochondrial"	Atp5k	1932	10.18	141349.2	3	2	32.39	71
Q91VR8	BRK1	protein BRICK1	Brk1	2199	7.77	62390.1	2	2	25.33	75
P62309	RUXG	small nuclear ribonucleoprotein G	Snrpg	2349	6.87	47628.4	5	3	35.53	76
P61025	CKS1	cyclin-dependent kinases regulatory subunit 1	Cks1b	2835	4.90	28410.3	2	2	20.25	79
P56390	CKS2	cyclin-dependent kinases regulatory subunit 2	Cks2	2327	6.97	45801.8	2	2	20.25	79
P62313	LSM6	U6 snRNA-associated Sm-like protein LSm6	Lsm6	2471	6.35	87092.0	3	3	32.50	80
P29595	NEDD8	NEDD8 precursor	Nedd8	2527	6.14	38347.9	1	1	13.58	81
Q4KML4	ABRAL	costars family protein ABRACL	Abracl	1527	14.18	185746.6	7	3	46.91	81
Q62425	NDUA4	cytochrome c oxidase subunit NDUFA4	Ndufa4	3079	3.53	147017.6	3	2	21.95	82
P62077	TIM8B	mitochondrial import inner membrane translocase subunit Tim8 B	Timm8b	3223	2.52	22372.1	1	1	13.25	83
Q9CQR2	RS21	40S ribosomal protein S21	Rps21	1897	10.46	101227.3	3	2	27.71	83
P48771	CX7A2	"cytochrome c oxidase subunit 7A2, mitochondrial precursor"	Cox7a2	2146	8.09	151565.3	5	2	27.71	83
Q6ZWY3	RS27L	40S ribosomal protein S27-like isoform 2	Rps27l	2951	4.34	43226.3	2	1	13.10	84
Q6ZWU9	RS27	ribosomal protein S27-like	Rps27rt	2614	5.83	163905.3	6	2	22.62	84
Q99JP4	CDC26	anaphase-promoting complex subunit CDC26	Cdc26	3023	3.91	69186.9	3	2	14.12	85
P61961	UFM1	ubiquitin-fold modifier 1 precursor	Ufm1	1509	14.47	86755.8	3	2	50.59	85
P49962	SRP09	signal recognition particle 9 kDa protein	Srp9	2580	5.91	30414.5	2	1	12.79	86
P20491	FCERG	high affinity immunoglobulin epsilon receptor subunit gamma	Fcer1g	3220	2.53	37912.0	2	1	10.46	86
P62307	RUXF	small nuclear ribonucleoprotein F	Snrpf	2899	4.57	100815.5	2	2	19.77	86
Q923D4	SF3B5	splicing factor 3B subunit 5	Sf3b5	2028	9.28	126568.0	5	2	27.91	86
Q8BGS2	BOLA2	bolA-like protein 2	Bola2	1638	12.84	221737.2	7	4	44.19	86
P31786	ACBP	acyl-CoA-binding protein isoform 2	Dbi	1234	17.96	224014.4	8	3	39.08	87
Q9D0M5	DYL2	"dynein light chain 2, cytoplasmic"	Dynll2	3099	3.43	24824.1	1	1	12.36	89
Q9WV98	TIM9	mitochondrial import inner membrane translocase subunit Tim9	Timm9	2841	4.88	113449.2	4	1	16.85	89
P99028	QCR6	"cytochrome b-c1 complex subunit 6, mitochondrial"	Uqcrh	2171	7.89	161578.4	4	4	53.93	89
O54962	BAF	barrier-to-autointegration factor	Banf1	1161	19.26	514831.2	8	4	44.94	89
P09602	HMGN2	non-histone chromosomal protein HMG-17	Hmgn2	1933	10.18	121643.3	7	2	23.33	90
P62322	LSM5	U6 snRNA-associated Sm-like protein LSm5	Lsm5	2067	8.83	49706.6	2	1	20.88	91
Q9D1Q4	DPM3	dolichol-phosphate mannosyltransferase subunit 3 precursor	Dpm3	3058	3.70	28524.8	1	1	10.87	92
Q91VW3	SH3L3	SH3 domain-binding glutamic acid-rich-like protein 3	Sh3bgrl3	1860	10.75	97579.6	3	2	26.88	93
O35900	LSM2	U6 snRNA-associated Sm-like protein LSm2 isoform 2	Lsm2	2095	8.62	28068.6	2	1	20.00	95
P62075	TIM13	mitochondrial import inner membrane translocase subunit Tim13	Timm13	1998	9.57	50010.1	3	2	17.89	95
Q9CQS8	SC61B	protein transport protein Sec61 subunit beta	Sec61b	2748	5.25	38886.1	2	1	10.42	96
Q6ZWM4	LSM8	"LSM8 homolog, U6 small nuclear RNA associated"	Lsm8	1231	17.97	94586.6	7	4	71.87	96
P62627	DLRB1	dynein light chain roadblock-type 1 isoform b	Dynlrb1	1467	14.97	94914.9	3	3	38.54	96
Q3UD01	A7L3B	putative ataxin-7-like protein 3B	Atxn7l3b	2820	4.98	8862.9	1	1	20.62	97
Q9CQQ0	SMIM8	small integral membrane protein 8	Smim8	2698	5.50	19110.5	1	1	12.37	97
Q3UGS4	MCRI1	protein FAM195B	Fam195b	2929	4.43	58234.5	2	2	20.62	97
Q9WVA2	TIM8A	mitochondrial import inner membrane translocase subunit Tim8 A	Timm8a1	2458	6.41	109764.7	4	3	42.27	97
P0C8B4	GON7	uncharacterized protein C14orf142 homolog	AK010878	2296	7.17	15298.9	1	1	21.43	98
P50543	S10AB	protein S100-A11	S100a11	1301	17.04	164971.9	8	3	34.69	98
Q62426	CYTB	cystatin-B	Cstb	1120	20.06	182563.0	6	6	46.94	98
Q9CQ75	NDUA2	NADH dehydrogenase	Ndufa2	2494	6.25	74382.9	4	2	22.22	99
P56376	ACYP1	acylphosphatase-1	Acyp1	1454	15.14	160630.4	6	2	27.27	99
nan		PREDICTED: transcription elongation factor SPT4-A isoform X1	Supt4a	3045	3.78	187645.7	5	2	26.26	99
Q99LT0	DPY30	protein dpy-30 homolog	Dpy30	1871	10.61	193751.1	9	3	36.36	99
P60060	SC61G	protein transport protein Sec61 subunit gamma isoform 1	Sec61g	3043	3.81	52644.6	4	2	22.00	100
P07091	S10A4	protein S100-A4	S100a4	2496	6.22	19658.8	1	1	16.83	101
Q9JIX0	ENY2	transcription and mRNA export factor ENY2	Eny2	2218	7.58	56889.6	3	1	16.83	101
Q9D0J8	PTMS	parathymosin	Ptms	2094	8.63	88051.7	5	2	22.77	101
P63166	SUMO1	small ubiquitin-related modifier 1 precursor	Sumo1	2622	5.81	163907.2	7	5	40.59	101
O70404	VAMP8	vesicle-associated membrane protein 8	Vamp8	1696	12.35	172709.4	6	3	29.70	101
Q9D9Z5	DDA1	DET1- and DDB1-associated protein 1 isoform 1	Dda1	3325	1.84	29747.3	2	1	7.84	102
Q9CQX8	RT36	"28S ribosomal protein S36, mitochondrial isoform 1"	Mrps36	2030	9.25	30406.6	1	1	23.53	102
Q9CQF8	RT63	"ribosomal protein 63, mitochondrial"	Mrpl57	2785	5.12	46500.1	3	1	12.74	102
Q91XC8	DAP1	death-associated protein 1	Dap	2396	6.66	93807.3	10	1	12.74	102
P62311	LSM3	U6 snRNA-associated Sm-like protein LSm3	Lsm3	1705	12.29	243148.0	5	3	34.31	102
Q64433	CH10	"10 kDa heat shock protein, mitochondrial"	Hspe1	1187	18.83	444770.4	12	6	52.94	102
Q9EQS3	MYCBP	C-Myc-binding protein	Mycbp	1341	16.62	85265.2	4	3	44.66	103
P62806	H4	histone H4	Hist1h4m	446	38.80	917122.9	29	9	61.16	103
Q9CQZ6	NDUB3	NADH dehydrogenase	Ndufb3	2278	7.28	24090.9	1	1	10.58	104
Q8BTE0	SDHF4	"succinate dehydrogenase assembly factor 4, mitochondrial precursor"	Sdhaf4	3315	1.90	25599.8	3	2	26.92	104
P84089	ERH	enhancer of rudimentary homolog	Erh	1117	20.08	343601.1	10	3	37.50	104
Q9CRC6	BORC7	UPF0693 protein C10orf32 homolog	Borcs7	2731	5.35	12671.8	1	1	12.38	105
Q9CX60	LBH	protein LBH	Lbh	3149	3.07	15447.3	1	1	20.00	105
P62897	CYC	"cytochrome c, somatic"	Cycs	2256	7.35	73842.3	3	2	20.95	105
Q6ZWZ4	Q6ZWZ4	60S ribosomal protein L36	Rpl36	2817	4.99	131052.2	2	1	9.52	105
P10639	THIO	thioredoxin	Txn1	866	25.20	1520840.0	22	5	40.00	105
Q99LY9	NDUS5	NADH dehydrogenase	Ndufs5	2571	5.94	19959.9	1	1	11.32	106
Q9CPZ8	COXM1	COX assembly mitochondrial protein homolog	Cmc1	3228	2.48	25097.1	1	1	9.43	106
P83882	RL36A	60S ribosomal protein L36a	Rpl36a	2924	4.45	39627.2	2	2	15.09	106
P17095	HMGA1	high mobility group protein HMG-I/HMG-Y isoform a	Hmga1	2673	5.60	36876.9	3	2	22.43	107
Q9QUH0	GLRX1	glutaredoxin-1	Glrx	2303	7.13	92419.9	4	2	16.82	107
Q91WS0	CISD1	CDGSH iron-sulfur domain-containing protein 1	Cisd1	2978	4.20	22219.8	1	1	13.89	108
Q9D2R6	COA3	"cytochrome c oxidase assembly factor 3 homolog, mitochondrial"	Coa3	2872	4.68	25347.5	1	1	9.26	108
P26883	FKB1A	peptidyl-prolyl cis-trans isomerase FKBP1A isoform 1	Fkbp1a	2472	6.35	135984.9	3	2	25.00	108
P97450	ATP5J	"ATP synthase-coupling factor 6, mitochondrial precursor"	Atp5j	1140	19.60	169955.8	18	6	43.52	108
P48428	TBCA	tubulin-specific chaperone A	Tbca	855	25.46	219453.7	8	5	41.67	108
P83870	PHF5A	PHD finger-like domain-containing protein 5A	Phf5a	1874	10.61	98835.2	5	4	33.64	110
P32848	PRVA	parvalbumin alpha	Pvalb	1328	16.80	206688.8	10	5	50.91	110
Q9CQB4	Q9CQB4	cytochrome b-c1 complex subunit 7	Uqcrb	1733	11.99	143764.9	5	3	25.22	111
P26350	PTMA	prothymosin alpha	Ptma	439	39.33	1257744.6	22	8	38.74	111
Q9JI48	PLAC8	placenta-specific gene 8 protein	Plac8	2260	7.34	9948.1	1	1	13.39	112
P56212	ARP19	cAMP-regulated phosphoprotein 19 isoform 1	Arpp19	2347	6.89	53364.9	4	2	22.32	112
P51807	DYLT1	dynein light chain Tctex-type 1F isoform 1	Dynlt1f	2163	7.92	26049.3	1	1	14.16	113
Q9Z1P6	NDUA7	NADH dehydrogenase	Ndufa7	3304	1.99	48515.7	2	2	21.24	113
P31725	S10A9	protein S100-A9	S100a9	2474	6.34	62115.1	3	2	19.47	113
P61804	DAD1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase	Dad1	2725	5.41	75985.5	2	1	10.62	113
Q9Z172	SUMO3	small ubiquitin-related modifier 3 isoform 4	Sumo3	1760	11.77	374608.2	6	2	18.58	113
P48024	EIF1	eukaryotic translation initiation factor 1	Eif1	555	34.17	452358.8	16	5	63.72	113
O35207	CDKA1	cyclin-dependent kinase 2-associated protein 1	Cdk2ap1	2132	8.22	42206.4	3	3	24.56	114
P47955	RLA1	60S acidic ribosomal protein P1	Rplp1	1717	12.12	237462.9	9	1	37.72	114
