UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
Q3TNL8	IPRI	"inositol 1,4,5-trisphosphate receptor-interacting protein precursor"	Itprip	3382	1.93	97204.0	5	4	8.65	555
P01901	HA1B	"H-2 class I histocompatibility antigen, K-W28 alpha chain isoform 1"	H2-K1	1344	14.92	261131.2	11	3	16.26	369
Q8BL66	EEA1	early endosome antigen 1	Eea1	192	52.25	306573.7	17	16	14.03	1411
P48678	LMNA	prelamin-A/C isoform A precursor	Lmna	1044	19.30	105603.2	7	6	10.83	665
P17156	HSP72	heat shock-related 70 kDa protein 2	Hspa2	1291	15.63	94397.9	5	4	8.06	633
Q6ZWZ7	Q6ZWZ7	60S ribosomal protein L17	Rpl17	739	25.21	407691.9	17	6	27.72	184
Q8R480	NUP85	nuclear pore complex protein Nup85	Nup85	3346	2.10	35407.4	3	3	4.27	656
Q6IFZ6	K2C1B	"keratin, type II cytoskeletal 1b"	Krt77	2500	5.58	249958.1	8	5	11.71	572
Q68FD5	CLH1	clathrin heavy chain 1	Cltc	19	130.75	1394347.2	59	30	22.63	1675
Q9ES97	RTN3	reticulon-3 isoform 1	Rtn3	2642	5.01	114694.1	3	1	1.14	964
Q8R361	RFIP5	rab11 family-interacting protein 5 isoform 1	Rab11fip5	3411	1.70	88334.3	3	3	3.57	1318
Q68FF6	GIT1	ARF GTPase-activating protein GIT1	Git1	1165	17.67	200303.6	10	5	8.83	770
Q65Z40	WAPL	wings apart-like protein homolog isoform 1	Wapl	1486	13.04	76440.6	7	5	5.83	1200
Q6PDY2	AEDO	2-aminoethanethiol dioxygenase	Ado	2125	7.61	55746.6	4	2	10.55	256
Q6PAM1	TXLNA	alpha-taxilin	Txlna	331	40.11	248549.4	14	9	19.68	554
Q640N3	RHG30	rho GTPase-activating protein 30	Arhgap30	3201	2.58	47621.4	2	2	2.74	1093
Q8BJW6	EIF2A	eukaryotic translation initiation factor 2A	Eif2a	1132	18.10	230251.0	10	4	9.98	581
A2RTL5	RSRC2	arginine/serine-rich coiled-coil protein 2	Rsrc2	3235	2.42	30257.1	1	1	3.23	434
Q64191	ASPG	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase isoform 1	Aga	3290	2.22	14815.3	1	1	4.91	346
Q9D1R9	RL34	60S ribosomal protein L34	Rpl34	2997	3.63	105540.1	4	2	13.68	117
Q80TH2	ERBIN	protein LAP2 isoform 1	Erbb2ip	2087	7.85	106172.8	8	5	2.76	1450
Q5U452	Q5U452	TP53-regulating kinase	Trp53rka	2197	7.10	31756.7	3	3	12.30	244
Q5RJG1	NOL10	nucleolar protein 10	Nol10	3083	3.15	76265.5	3	3	5.97	687
Q5U4D9	THOC6	THO complex subunit 6 homolog	Thoc6	2476	5.68	60563.6	3	3	11.44	341
A2AF47	DOC11	dedicator of cytokinesis protein 11	Dock11	1243	16.39	189269.6	12	9	5.21	2073
Q5PSV9	MDC1	mediator of DNA damage checkpoint protein 1	Mdc1	1835	9.79	168088.7	15	8	5.50	1708
Q5NCR9	NSRP1	nuclear speckle splicing regulatory protein 1	Nsrp1	2510	5.55	125385.8	7	5	9.59	542
Q8BIF9	ZN787	zinc finger protein 787	Zfp787	2854	4.24	25083.9	2	2	6.04	381
Q5EG47	AAPK1	5'-AMP-activated protein kinase catalytic subunit alpha-1	Prkaa1	2722	4.72	14029.6	1	1	1.79	559
Q3UIR3	DTX3L	E3 ubiquitin-protein ligase DTX3L	Dtx3l	1043	19.32	153470.0	8	5	8.29	748
Q5SSI6	UTP18	U3 small nucleolar RNA-associated protein 18 homolog	Utp18	1914	9.08	220657.3	6	4	9.96	552
