UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q8C0S1 	 DIS3-like exonuclease 1 isoform 1 	 Dis3l 	7.35	102141.6	11	7	8.36	1053
 Q3SXA6 	 TNFAIP3-interacting protein 3 	 Tnip3 	6.5	5627.6	1	1	9.13	208
 Q3TNL8 	" inositol 1,4,5-trisphosphate receptor-interacting protein precursor "	 Itprip 	17.99	101541.6	6	4	9.73	555
 P23949 	" zinc finger protein 36, C3H1 type-like 2 "	 Zfp36l2 	3.6	41779.3	4	2	4.55	484
 P01901 	" H-2 class I histocompatibility antigen, K-W28 alpha chain isoform 1 "	 H2-K1 	89.56	936172.2	39	13	46.61	369
 Q8BL66 	 early endosome antigen 1 	 Eea1 	84.18	409117.7	27	17	15.73	1411
 P59997 	 lysine-specific demethylase 2A 	 Kdm2a 	21.43	134105	8	6	6.63	1161
 P48678 	 prelamin-A/C isoform A precursor 	 Lmna 	46.64	336871.4	20	13	22.56	665
 P17156 	 heat shock-related 70 kDa protein 2 	 Hspa2 	40.47	243707.2	10	9	15.01	633
 Q6ZWZ7 	 60S ribosomal protein L17 	 Rpl17 	57.67	888340.6	34	8	41.85	184
 P61406 	 telomerase-binding protein EST1A 	 Smg6 	3.59	89625.6	5	4	2.68	1418
 Q8R480 	 nuclear pore complex protein Nup85 	 Nup85 	23.85	140139.4	6	5	9.76	656
 Q7M754 	 Try10-like trypsinogen precursor 	 Gm5409 	5.19	32393.4	2	1	4.07	246
 Q6GYP7 	 ral GTPase-activating protein subunit alpha-1 isoform 3 	 Ralgapa1 	1.79	45020.9	5	3	1.58	2083
 Q68FD5 	 clathrin heavy chain 1 	 Cltc 	247.08	2167885.1	94	45	29.85	1675
 Q9ES97 	 reticulon-3 isoform 1 	 Rtn3 	10.32	80634.3	4	1	1.14	964
 Q6P1G2 	 lysine-specific demethylase 2B isoform 1 	 Kdm2b 	4.99	17538	2	2	1.53	1309
 O88509 	 DNA (cytosine-5)-methyltransferase 3B isoform 1 	 Dnmt3b 	16.16	91083.8	6	3	4.42	859
 Q68ED7 	 CREB-regulated transcription coactivator 1 	 Crtc1 	3.24	31309	3	1	2.86	630
 Q68FF6 	 ARF GTPase-activating protein GIT1 	 Git1 	24.78	193139.7	11	8	14.94	770
 Q6NTA4 	 ras-related GTP-binding protein B 	 Rragb 	3.42	5557.6	1	1	2.67	374
