UniprotID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 P01901 	" H-2 class I histocompatibility antigen, K-W28 alpha chain isoform 1 "	 H2-K1 	2197	2.19	44253.2	2	1	5.69	369
 Q8BL66 	 early endosome antigen 1 	 Eea1 	885	12.86	993357.4	15	8	7.73	1411
 P59997 	 lysine-specific demethylase 2A 	 Kdm2a 	2309	1.75	500106.4	22	10	11.54	1161
 P48678 	 prelamin-A/C isoform A precursor 	 Lmna 	2156	2.47	141460.0	6	6	10.53	665
 P17156 	 heat shock-related 70 kDa protein 2 	 Hspa2 	1490	6.66	81481.5	4	3	7.42	633
 Q6ZWZ7 	 60S ribosomal protein L17 	 Rpl17 	468	21.98	283153.7	10	5	27.17	184
 Q6IFZ8 	 type II keratin Kb14 	 Gm5414 	2044	3.56	501294.0	9	5	9.42	552
 Q68FD5 	 clathrin heavy chain 1 	 Cltc 	56	71.40	948677.4	36	18	15.82	1675
 Q6PDY2 	 2-aminoethanethiol dioxygenase 	 Ado 	1691	5.48	95949.0	6	3	21.09	256
 Q6PAM1 	 alpha-taxilin 	 Txlna 	791	14.18	292963.8	10	5	10.47	554
 Q8BJW6 	 eukaryotic translation initiation factor 2A 	 Eif2a 	512	20.68	349209.5	13	7	17.56	581
 Q80TH2 	 protein LAP2 isoform 1 	 Erbb2ip 	878	12.99	350865.0	15	14	12.62	1450
 Q5U452 	 TP53-regulating kinase 	 Trp53rka 	1129	9.67	125306.1	4	3	18.03	244
 Q5U4D9 	 THO complex subunit 6 homolog 	 Thoc6 	1849	4.73	86110.7	1	1	4.69	341
 A2AF47 	 dedicator of cytokinesis protein 11 	 Dock11 	1434	6.95	178320.0	8	8	5.98	2073
 Q5PSV9 	 mediator of DNA damage checkpoint protein 1 	 Mdc1 	1612	5.88	147781.8	5	5	4.45	1708
 Q5EG47 	 5'-AMP-activated protein kinase catalytic subunit alpha-1 	 Prkaa1 	1704	5.44	45700.9	4	3	6.62	559
 Q3UIR3 	 E3 ubiquitin-protein ligase DTX3L 	 Dtx3l 	1539	6.29	175522.5	4	4	6.95	748
 A2AJG0 	 ribonuclease P protein subunit p38 	 Rpp38 	1861	4.66	102081.7	2	2	9.29	280
 Q6NVF9 	 cleavage and polyadenylation specificity factor subunit 6 isoform 2 	 Cpsf6 	489	21.41	160684.6	6	5	15.97	551
 G3X9Y6 	" aldo-keto reductase family 1, member C19 "	 Akr1c19 	1983	4.04	162202.6	7	3	10.84	323
 P56394 	 cytochrome c oxidase copper chaperone 	 Cox17 	1483	6.68	1857.0	1	1	25.40	63
 A2ADY9 	 protein DDI1 homolog 2 	 Ddi2 	1090	10.09	144081.8	3	2	7.77	399
 Q9QYC0 	 alpha-adducin isoform 1 	 Add1 	1783	5.07	194261.9	6	4	7.89	735
 Q9WV98 	 mitochondrial import inner membrane translocase subunit Tim9 	 Timm9 	1997	3.94	70573.0	3	2	38.20	89
 O54786 	 DNA fragmentation factor subunit alpha isoform a 	 Dffa 	1496	6.64	78753.0	4	3	14.20	331
 Q8CD76 	 kinesin light chain 1 isoform 1D 	 Klc1 	1610	5.90	214121.3	7	6	11.53	616
 Q9ERF3 	 WD repeat-containing protein 61 isoform a 	 Wdr61 	343	26.38	232828.0	8	5	30.16	305
 P17182 	" enolase 1B, retrotransposed "	 Eno1b 	19	112.89	3662149.8	95	16	51.38	434
 Q8K019 	 bcl-2-associated transcription factor 1 isoform 1 	 Bclaf1 	1538	6.29	277995.5	11	8	9.90	919
 P17095 	 high mobility group protein HMG-I/HMG-Y isoform a 	 Hmga1 	1282	8.13	94894.5	6	2	22.43	107
 Q6PHZ2 	 calcium/calmodulin-dependent protein kinase type II subunit delta 	 Camk2d 	553	19.39	348884.5	16	5	14.06	512
 Q3TV70 	 nuclear receptor 2C2-associated protein isoform 1 	 Nr2c2ap 	2170	2.35	75506.0	1	1	8.57	140
 Q9WUZ9 	 ectonucleoside triphosphate diphosphohydrolase 5 isoform b 	 Entpd5 	1237	8.45	196567.9	3	2	8.67	427
 F8VPZ3 	 ubiquitin carboxyl-terminal hydrolase 32 	 Usp32 	2200	2.17	102940.4	5	4	2.43	1604
 Q0P678 	 zinc finger CCCH domain-containing protein 18 isoform a 	 Zc3h18 	2155	2.48	256876.6	8	7	9.05	972
 Q9ESX5 	 H/ACA ribonucleoprotein complex subunit 4 	 Dkc1 	336	26.73	312677.7	13	6	16.90	509
 Q3UJU9 	 regulator of microtubule dynamics protein 3 	 Rmdn3 	1799	5.01	127262.3	5	4	17.23	470
 Q3UQA7 	 selenoprotein H 	 2700094K13Rik 	2183	2.30	48070.1	1	1	10.34	116
 Q3B7Z2 	 oxysterol-binding protein 1 	 Osbp 	1632	5.78	183148.7	7	4	7.33	805
 Q3UV17 	" keratin, type II cytoskeletal 2 oral "	 Krt76 	1664	5.62	1084620.3	15	2	3.87	594
 Q3UYV9 	 nuclear cap-binding protein subunit 1 	 Ncbp1 	1547	6.22	149964.5	7	5	7.85	790
 Q3UN04 	 ubiquitin carboxyl-terminal hydrolase 30 	 Usp30 	2028	3.66	23643.2	2	1	3.68	517
 Q3TRM8 	 hexokinase-3 isoform 1 	 Hk3 	1297	7.93	78855.8	4	3	5.31	922
 Q6A0A9 	 constitutive coactivator of PPAR-gamma-like protein 1 	 Fam120a 	1978	4.07	217422.4	6	5	4.95	1112
 Q3UNZ8 	 quinone oxidoreductase-like protein 2 	 BC026585 	1321	7.76	96276.4	4	2	10.00	350
 Q3TW96 	 UDP-N-acetylhexosamine pyrophosphorylase-like protein 1 	 Uap1l1 	321	27.35	520381.3	15	9	24.46	507
 Q3THK7 	 GMP synthase 	 Gmps 	469	21.98	413490.2	16	10	20.06	693
 Q3UHX2 	 28 kDa heat- and acid-stable phosphoprotein 	 Pdap1 	1565	6.14	29637.4	2	2	14.36	181
 A3KMP2 	 tetratricopeptide repeat protein 38 	 Ttc38 	1365	7.42	116544.7	5	4	12.47	465
 Q3TIX6 	 far upstream element-binding protein 3 isoform a 	 Fubp3 	1296	7.93	62521.7	2	2	6.96	575
 B2RW07 	 ataxin-7-like protein 1 isoform 1 	 Atxn7l1 	2253	1.89	138033.9	8	3	5.01	739
 Q80W22 	 threonine synthase-like 2 	 Thnsl2 	1158	9.33	74058.7	2	1	4.97	483
 Q6P5F9 	 exportin-1 	 Xpo1 	916	12.48	423485.3	10	6	10.08	1071
 Q9DBG3 	 AP-2 complex subunit beta isoform a 	 Ap2b1 	1832	4.82	146144.3	6	5	6.94	951
 Q8BYW1 	 rho GTPase-activating protein 25 isoform a 	 Arhgap25 	1793	5.03	136359.4	4	3	6.33	648
 O70325 	" phospholipid hydroperoxide glutathione peroxidase, nuclear isoform "	 Gpx4 	1706	5.43	85536.9	4	2	9.49	253
 Q4FZG7 	 putative mitochondrial import inner membrane translocase subunit 	 Timm8a2 	2019	3.73	90499.0	2	2	23.71	97
 P15702 	 leukosialin precursor 	 Spn 	1668	5.61	93120.8	7	3	10.89	395
 Q8C5L3 	 CCR4-NOT transcription complex subunit 2 isoform d 	 Cnot2 	1765	5.14	203536.2	7	5	10.18	550
 Q99LB2 	 dehydrogenase/reductase SDR family member 4 isoform 1 	 Dhrs4 	1625	5.84	62974.4	2	2	9.68	279
 O54962 	 barrier-to-autointegration factor 	 Banf1 	639	17.14	442008.7	5	3	42.70	89
 Q32KI9 	 arylsulfatase I precursor 	 Arsi 	2160	2.41	121361.9	13	1	1.22	573
 P63213 	 guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 	 Gng2 	1067	10.37	107961.4	2	2	22.53	71
 P63085 	 mitogen-activated protein kinase 1 	 Mapk1 	545	19.59	251040.2	9	6	24.02	358
 Q9Z2G6 	 protein sel-1 homolog 1 isoform a precursor 	 Sel1l 	1707	5.42	105559.9	3	3	6.58	790
 Q923T9 	 calcium/calmodulin-dependent protein kinase type II subunit gamma 	 Camk2g 	1446	6.89	67355.3	4	4	10.51	495
 Q3UGR5 	 haloacid dehalogenase-like hydrolase domain-containing protein 2 	 Hdhd2 	905	12.62	126354.8	7	2	13.13	259
 Q9QXL1 	 kinesin-like protein KIF21B 	 Kif21b 	2259	1.87	113453.2	4	4	2.96	1624
 Q8CGF7 	 transcription elongation regulator 1 isoform 1 	 Tcerg1 	1133	9.63	317406.5	12	9	9.45	1100
 Q2EMV9 	 poly 	 Parp14 	2201	2.16	451102.5	15	11	9.08	1817
 E9Q912 	 rap1 GTPase-GDP dissociation stimulator 1 isoform a 	 Rap1gds1 	370	24.96	286040.0	9	5	11.37	607
 Q9JMH6 	" thioredoxin reductase 1, cytoplasmic isoform 1 "	 Txnrd1 	140	44.90	720021.1	20	9	26.26	613
 Q3TNN6 	 macrophage-capping protein 	 Capg 	131	46.22	711266.6	27	8	31.52	349
 P04441 	 H-2 class II histocompatibility antigen gamma chain isoform 1 	 Cd74 	1526	6.40	83970.2	2	1	5.02	279
 Q9WVB0 	 RNA-binding protein with multiple splicing isoform 1 	 Rbpms 	1585	6.03	95199.5	4	3	18.27	197
 Q4FZC9 	 nesprin-3 isoform alpha 	 Syne3 	1785	5.06	117274.9	5	5	5.64	975
 Q3UPG6 	 clathrin interactor 1 	 Clint1 	614	17.73	165524.8	11	7	11.72	623
 Q0VBL3 	 putative RNA-binding protein 15 	 Rbm15 	1304	7.86	270936.9	12	11	11.23	962
 Q62189 	 U1 small nuclear ribonucleoprotein A 	 Snrpa 	2058	3.47	133950.7	3	3	11.50	287
 P70353 	 nuclear transcription factor Y subunit gamma isoform 1 	 Nfyc 	1989	4.02	46453.7	2	1	3.58	335
 Q78HU7 	 glycophorin-C 	 Gypc 	1467	6.79	15627.3	1	1	27.37	95
 Q8BFY9 	 transportin-1 isoform 2 	 Tnpo1 	1167	9.25	178981.0	6	6	7.98	890
 Q8CBW3 	 abl interactor 1 isoform 1 	 Abi1 	1486	6.67	135448.3	5	3	8.94	481
 Q60668 	 heterogeneous nuclear ribonucleoprotein D0 isoform a 	 Hnrnpd 	970	11.71	407997.8	7	2	7.32	355
 Q80XR8 	 ARF GTPase-activating protein GIT2 isoform 3 	 Git2 	1563	6.14	125266.1	9	6	11.05	679
 P97447 	 four and a half LIM domains protein 1 isoform 2 	 Fhl1 	2133	2.77	38780.3	2	1	4.05	296
 Q922I7 	 polypyrimidine tract-binding protein 1 isoform 1 	 Ptbp1 	160	42.20	585615.7	26	8	20.18	555
 P26450 	 phosphatidylinositol 3-kinase regulatory subunit alpha isoform 2 	 Pik3r1 	1075	10.31	363410.7	8	7	11.74	724
 Q8VD58 	 protein EVI2B precursor 	 Evi2b 	1324	7.76	174358.3	7	3	9.68	444
 Q01768 	 nucleoside diphosphate kinase B 	 Nme2 	2075	3.32	129560.8	7	3	21.05	152
 Q9JL26 	 formin-like protein 1 isoform 2 	 Fmnl1 	331	26.92	510540.5	18	13	14.17	1094
 P29351 	 tyrosine-protein phosphatase non-receptor type 6 isoform b 	 Ptpn6 	69	60.43	1118638.1	38	13	25.46	597
 O35326 	 serine/arginine-rich splicing factor 5 	 Srsf5 	1113	9.86	408424.7	4	3	15.24	269
 D3Z3N4 	 heterogeneous nuclear ribonucleoprotein H3 	 Hnrnph3 	829	13.66	103876.5	3	3	10.69	346
 O89110 	 caspase-8 isoform 1 precursor 	 Casp8 	634	17.25	206596.8	5	4	12.50	480
 Q99M28 	 RNA-binding protein with serine-rich domain 1 isoform 1 	 Rnps1 	1454	6.86	77660.6	3	2	7.54	305
 Q61029 	 lamina-associated polypeptide 2 isoform epsilon 	 Tmpo 	82	56.54	594549.2	20	9	27.43	452
 Q9R0U0 	 serine/arginine-rich splicing factor 10 isoform 2 	 Srsf10 	1257	8.33	179747.9	9	7	18.70	262
 Q9ESZ8 	 general transcription factor II-I isoform 1 	 Gtf2i 	269	30.10	371315.0	13	10	16.23	998
 A2BH40 	 AT-rich interactive domain-containing protein 1A 	 Arid1a 	705	15.92	246507.7	11	7	4.99	2283
 Q6P069 	 sorcin isoform 1 	 Sri 	763	14.75	405953.0	10	4	22.22	198
 D3Z0M9 	 probable ATP-dependent RNA helicase DDX23 	 Ddx23 	955	11.87	138194.6	5	5	7.69	819
 Q6PB44 	 tyrosine-protein phosphatase non-receptor type 23 	 Ptpn23 	2202	2.16	444145.9	26	5	4.02	1692
 Q8CI33 	 CWF19-like protein 1 	 Cwf19l1 	1996	3.95	60360.2	2	2	6.33	537
 D3Z7P3 	" glutaminase kidney isoform, mitochondrial isoform 1 "	 Gls 	2293	1.80	27731.4	2	1	2.82	674
 A2AR02 	 peptidyl-prolyl cis-trans isomerase G 	 Ppig 	1853	4.71	166770.7	7	6	9.57	752
 G5E8V9 	 arfaptin-1 isoform 1 	 Arfip1 	1427	6.97	44997.1	2	2	7.51	373
 Q7TMY7 	 importin-8 	 Ipo8 	1313	7.81	70083.4	5	4	7.03	1010
 E9PVX6 	 antigen KI-67 	 Mki67 	2273	1.85	508785.5	22	18	6.67	3177
 A6H5Y3 	 methionine synthase 	 Mtr 	1200	8.92	177087.1	4	4	4.23	1253
 Q5SW19 	 clustered mitochondria protein homolog 	 Cluh 	1285	8.09	137806.1	7	7	8.65	1353
 Q9D0M0 	 exosome complex exonuclease RRP42 	 Exosc7 	1677	5.57	78011.5	2	2	10.65	291
 Q9WU40 	 inner nuclear membrane protein Man1 	 Lemd3 	1578	6.06	119741.0	6	5	6.97	918
 Q00PI9 	 heterogeneous nuclear ribonucleoprotein U-like protein 2 	 Hnrnpul2 	1885	4.57	192511.3	5	4	6.98	745
 F8VQD1 	 protein polybromo-1 	 Pbrm1 	2043	3.57	523887.7	17	6	4.17	1704
 E9PWW9 	 remodeling and spacing factor 1 	 Rsf1 	2239	1.95	214358.9	11	11	10.62	1441
 Q9DCD0 	" 6-phosphogluconate dehydrogenase, decarboxylating "	 Pgd 	200	36.75	492557.0	15	8	24.84	483
 Q3TLH4 	 protein PRRC2C 	 Prrc2c 	539	19.77	552805.5	22	20	8.15	2846
 Q6NXI6 	 regulation of nuclear pre-mRNA domain-containing protein 2 	 Rprd2 	1831	4.82	228242.2	7	7	8.65	1469
 Q8BYC6 	 serine/threonine-protein kinase TAO3 	 Taok3 	2237	1.95	406469.9	8	4	5.35	898
 F8VPN4 	 glycogen debranching enzyme 	 Agl 	2314	1.73	93510.1	3	3	2.61	1532
 Q80ZQ9 	 protein Simiate 	 Fam206a 	1639	5.75	21195.3	1	1	9.33	193
 Q80X90 	 filamin-B isoform a 	 Flnb 	138	45.35	587866.7	16	14	9.15	2602
