UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
P11440	CDK1	Cyclin-dependent kinase 1	Cdk1	2493	1.74	118248.6	2	2	7.07	297
Q80X82	SYMPK	Symplekin	Sympk	2491	1.76	95008.1	6	6	4.44	1284
Q9D7Y7	Q9D7Y7	Uncharacterized protein	2210010C04Rik	2490	1.77	41453.9	1	1	4.86	247
Q0VF58	COJA1	Collagen alpha-1(XIX) chain	Col19a1	2487	1.77	172402.3	3	3	3.26	1136
Q8BGZ7	K2C75	"Keratin, type II cytoskeletal 75"	Krt75	2486	1.77	63962.2	3	3	4.54	551
Q68FL6	SYMC	"Methionine--tRNA ligase, cytoplasmic"	Mars	2489	1.77	46016.7	4	3	4.10	902
F8VPZ3	F8VPZ3	Ubiquitin-specific peptidase 32	Usp32	2488	1.77	180099.1	4	3	2.31	1604
Q9D7Z3	NOL7	Nucleolar protein 7	Nol7	2483	1.78	5103.2	1	1	7.48	254
Q8R1G6	PDLI2	PDZ and LIM domain protein 2	Pdlim2	2484	1.78	199239.9	3	2	7.16	349
Q91W06	Q91W06	V-type proton ATPase subunit a	Tcirg1	2485	1.78	18730.4	2	2	3.12	834
Q9CWU9	NUP37	Nucleoporin Nup37	Nup37	2482	1.79	31879.1	1	1	5.21	326
Q9R1C0	TAF7	Transcription initiation factor TFIID subunit 7	Taf7	2480	1.79	37600.8	2	1	2.64	341
E9PY92	E9PY92	"Vomeronasal 2, receptor 106"	Vmn2r106	2481	1.79	184875.6	4	3	5.22	862
Q3UZ28	Q3UZ28	Uncharacterized protein	Acin1	2479	1.80	19182.1	1	1	10.76	158
Q9JLQ0	CD2AP	CD2-associated protein	Cd2ap	2477	1.80	85623.8	2	2	4.55	637
Q64261	CDK6	Cyclin-dependent kinase 6	Cdk6	2478	1.80	103059.0	2	1	5.83	326
P81069	GABP2	GA-binding protein subunit beta-2	Gabpb2	2475	1.81	35631.1	1	1	3.62	414
Q8K3K8	OPTN	Optineurin	Optn	2476	1.81	116111.4	3	3	5.82	584
E0CYE5	E0CYE5	Vesicle transport through interaction with t-SNAREs homolog 1B	Vti1b	2474	1.81	65914.4	2	2	46.30	54
Q99M31	HSP7E	Heat shock 70 kDa protein 14	Hspa14	2473	1.82	59875.4	2	2	4.91	509
Q6P9L6	KIF15	Kinesin-like protein KIF15	Kif15	2472	1.82	61785.4	7	3	2.81	1387
Q9WUZ7	SH3BG	SH3 domain-binding glutamic acid-rich protein	Sh3bgr	2471	1.82	32571.3	1	1	6.07	214
Q8K4F5	ABHDB	Protein ABHD11	Abhd11	2467	1.83	52017.2	2	2	3.91	307
Q8CAY6	THIC	"Acetyl-CoA acetyltransferase, cytosolic"	Acat2	2469	1.83	8337.2	1	1	5.04	397
Q80XI4	PI42B	Phosphatidylinositol 5-phosphate 4-kinase type-2 beta	Pip4k2b	2468	1.83	35731.3	1	1	4.09	416
Q8K1R7	NEK9	Serine/threonine-protein kinase Nek9	Nek9	2466	1.84	48847.7	3	2	2.13	984
Q08093	CNN2	Calponin-2	Cnn2	2461	1.85	134399.5	3	3	11.80	305
Q3V2H2	Q3V2H2	Uncharacterized protein	Gm15401	2464	1.85	124455.8	3	1	11.54	104
Q3V2E0	Q3V2E0	Uncharacterized protein	Try5	2462	1.85	5228937.4	6	1	7.84	255
A0A0A0U6W1	A0A0A0U6W1	Envelope protein	4 SV	2460	1.86	701005.0	6	3	8.54	644
Q6Y685	TACC1	Transforming acidic coiled-coil-containing protein 1	Tacc1	2459	1.86	47623.7	2	2	2.97	774
Q9DBX2	PHLP	Phosducin-like protein	Pdcl	2458	1.87	101171.9	4	2	12.29	301
P70188	KIFA3	Kinesin-associated protein 3	Kifap3	2456	1.88	298211.7	7	4	5.80	793
Q9DB27	MCTS1	Malignant T-cell-amplified sequence 1	Mcts1	2454	1.88	60245.3	2	2	16.57	181
Q8K409	DPOLB	DNA polymerase beta	Polb	2455	1.88	123432.0	3	3	11.34	335
O88509	DNM3B	DNA (cytosine-5)-methyltransferase 3B	Dnmt3b	2453	1.89	793076.5	11	4	3.61	859
Q922L6	NELFD	Negative elongation factor D	Nelfcd	2452	1.90	40690.1	1	1	2.71	591
O88967	YMEL1	ATP-dependent zinc metalloprotease YME1L1	Yme1l1	2451	1.90	40399.1	1	1	1.82	715
E9Q8I9	FRY	Protein furry homolog	Fry	2450	1.91	841049.2	31	7	2.68	3020
Q922H2	PDK3	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial"	Pdk3	2449	1.91	38887.4	2	1	3.86	415
Q61624	ZN148	Zinc finger protein 148	Znf148	2448	1.91	115879.6	3	3	5.54	794
Q8BVE3	VATH	V-type proton ATPase subunit H	Atp6v1h	2446	1.92	129382.9	4	3	8.07	483
Q920X5	Q920X5	Cathelicidin (Fragment)	Cramp	2447	1.92	29058.1	1	1	15.24	105
Q8CES0	NAA30	N-alpha-acetyltransferase 30	Naa30	2445	1.92	26353.3	1	1	4.95	364
P70279	SURF6	Surfeit locus protein 6	Surf6	2444	1.92	10725.6	1	1	2.82	355
Q8R3R8	GBRL1	Gamma-aminobutyric acid receptor-associated protein-like 1	Gabarapl1	2443	1.93	19317.9	1	1	6.84	117
Q61176	ARGI1	Arginase-1	Arg1	2442	1.94	112253.7	2	2	8.67	323
Q8C6E0	CFA36	Cilia- and flagella-associated protein 36	Cfap36	2441	1.95	84612.6	3	2	10.20	343
Q9JK42	PDK2	"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial"	Pdk2	2439	1.95	57403.3	4	3	7.62	407
Q99K51	PLST	Plastin-3	Pls3	2440	1.95	95745.5	3	3	6.51	630
Q9Z1T2	TSP4	Thrombospondin-4	Thbs4	2438	1.96	135780.9	4	4	3.12	963
O54890	ITB3	Integrin beta-3	Itgb3	2436	1.97	49655.3	2	2	4.83	787
Q91YR5	MET13	Methyltransferase-like protein 13	Mettl13	2437	1.97	65868.7	2	2	2.87	698
Q9ET30	TM9S3	Transmembrane 9 superfamily member 3	Tm9sf3	2434	1.97	19560.7	1	1	1.87	587
Q8BJ05	ZC3HE	Zinc finger CCCH domain-containing protein 14	Zc3h14	2435	1.97	12975.1	1	1	2.18	735
A2AIG8	1A1L1	1-aminocyclopropane-1-carboxylate synthase-like protein 1	Accs	2429	1.98	33379.1	1	1	4.18	502
Q60876	4EBP1	Eukaryotic translation initiation factor 4E-binding protein 1	Eif4ebp1	2430	1.98	47824.7	1	1	11.11	117
Q6R0H7	GNAS1	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	Gnas	2431	1.98	137982.5	4	4	4.06	1133
P61255	RL26	60S ribosomal protein L26	Rpl26	2428	1.98	97868.0	4	1	6.21	145
Q91VZ6	SMAP1	Stromal membrane-associated protein 1	Smap1	2432	1.98	24680.1	1	1	2.73	440
Q8K0E8	FIBB	Fibrinogen beta chain	Fgb	2427	1.99	87324.4	4	2	4.99	481
E9QK48	E9QK48	Echinoderm microtubule-associated protein-like 2	Eml2	2425	2.01	93371.6	4	4	7.73	841
P35235	PTN11	Tyrosine-protein phosphatase non-receptor type 11	Ptpn11	2426	2.01	33675.1	2	1	2.35	597
Q91YT7	YTHD2	YTH domain-containing family protein 2	Ythdf2	2424	2.02	33599.8	1	1	2.42	579
P55937	GOGA3	Golgin subfamily A member 3	Golga3	2421	2.03	163662.3	5	5	4.84	1487
Q6ZWQ7	SPCS3	Signal peptidase complex subunit 3	Spcs3	2422	2.03	52411.1	2	1	6.11	180
Q9D818	SAPC2	Suppressor APC domain-containing protein 2	Sapcd2	2418	2.04	297218.0	11	4	7.93	391
Q8BZX4	SREK1	Splicing regulatory glutamine/lysine-rich protein 1	Srek1	2420	2.04	48536.5	1	1	2.83	494
Q8VC85	LSM1	U6 snRNA-associated Sm-like protein LSm1	Lsm1	2417	2.05	66708.6	2	2	26.32	133
E9Q390	E9Q390	Myoferlin	Myof	2415	2.06	395587.8	13	10	6.10	2048
Q8BHB9	CLIC6	Chloride intracellular channel protein 6	Clic6	2414	2.07	93141.5	4	2	4.19	596
P10630	IF4A2	Eukaryotic initiation factor 4A-II	Eif4a2	2413	2.07	56527.8	4	2	7.13	407
A4Q9E8	TTLL6	Tubulin polyglutamylase TTLL6	Ttll6	2412	2.08	173020.2	9	3	3.65	822
Q08761	PROS	Vitamin K-dependent protein S	Pros1	2410	2.09	201671.5	9	4	4.89	675
P07146	TRY2	Anionic trypsin-2	Prss2	2409	2.09	62145.1	1	1	8.13	246
Q8BL97	SRSF7	Serine/arginine-rich splicing factor 7	Srsf7	2411	2.09	148205.4	6	4	17.60	267
P49919	CDN1C	Cyclin-dependent kinase inhibitor 1C	Cdkn1c	2408	2.10	34374.2	2	2	7.18	348
P40201	CHD1	Chromodomain-helicase-DNA-binding protein 1	Chd1	2407	2.10	200992.2	8	6	3.45	1711
Q99P88	NU155	Nuclear pore complex protein Nup155	Nup155	2404	2.11	111690.8	4	4	3.88	1391
Q61069	USF1	Upstream stimulatory factor 1	Usf1	2406	2.11	32441.2	2	1	2.90	310
Q9JIK5	DDX21	Nucleolar RNA helicase 2	Ddx21	2403	2.12	97192.5	4	3	4.23	851
Q9D8S4	ORN	"Oligoribonuclease, mitochondrial"	Rexo2	2402	2.13	37747.9	2	2	9.28	237
Q6IRU5	CLCB	Clathrin light chain B	Cltb	2401	2.14	41736.6	1	1	4.37	229
Q9D832	DNJB4	DnaJ homolog subfamily B member 4	Dnajb4	2400	2.14	113162.1	3	2	5.93	337
E9Q6T9	E9Q6T9	BTB/POZ domain-containing protein KCTD1	Kctd1	2399	2.15	190496.1	6	4	6.50	861
Q6ZWS7	Q6ZWS7	Uncharacterized protein	Camk2g	2397	2.16	207358.3	3	2	4.65	495
P13597	ICAM1	Intercellular adhesion molecule 1	Icam1	2398	2.16	571252.7	21	4	8.01	537
P25911	LYN	Tyrosine-protein kinase Lyn	Lyn	2396	2.16	19580.5	1	1	2.34	512
Q9ESU6	BRD4	Bromodomain-containing protein 4	Brd4	2394	2.17	67000.2	4	3	2.57	1400
P97823	LYPA1	Acyl-protein thioesterase 1	Lypla1	2395	2.17	127517.9	4	2	8.26	230
Q922Q1	2-Mar	Mitochondrial amidoxime reducing component 2	2-Mar	2393	2.19	72370.9	2	2	7.10	338
F6X2K7	F6X2K7	Ataxin-7-like protein 1	Atxn7l1	2391	2.20	371139.7	7	3	3.88	824
D3YVN5	D3YVN5	"Signal peptide, CUB and EGF-like domain-containing protein 2"	Scube2	2392	2.20	1273169.5	16	4	5.96	805
Q9CQQ0	SMIM8	Small integral membrane protein 8	Smim8	2389	2.21	31436.9	1	1	12.37	97
Q80T79	CSMD3	CUB and sushi domain-containing protein 3	Csmd3	2386	2.22	669774.0	17	6	2.10	3707
P16675	PPGB	Lysosomal protective protein	Ctsa	2387	2.22	22168.8	1	1	2.32	474
P61458	PHS	Pterin-4-alpha-carbinolamine dehydratase	Pcbd1	2385	2.23	42902.1	3	1	12.50	104
P10107	ANXA1	Annexin A1	Anxa1	2383	2.24	33469.4	2	2	4.62	346
Q9QZ23	NFU1	"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"	Nfu1	2384	2.24	340363.4	4	2	11.37	255
E9Q3A6	E9Q3A6	cDNA sequence BC024139	BC024139	2382	2.28	73400.9	5	2	2.68	597
Q08642	PADI2	Protein-arginine deiminase type-2	Padi2	2381	2.28	218732.9	8	6	9.36	673
Q3UD01	A7L3B	Ataxin-7-like protein 3B	Atxn7l3b	2380	2.30	40660.0	1	1	20.62	97
P29788	VTNC	Vitronectin	Vtn	2379	2.31	90757.8	2	1	1.88	478
Q60875	ARHG2	Rho guanine nucleotide exchange factor 2	Arhgef2	2378	2.33	49696.6	4	4	5.69	985
Q9ER72	SYCC	"Cysteine--tRNA ligase, cytoplasmic"	Cars	2377	2.33	283713.8	4	2	3.61	831
Q00420	GABP1	GA-binding protein subunit beta-1	Gabpb1	2376	2.33	42976.7	3	2	4.96	383
Q9CXD6	MCUR1	Mitochondrial calcium uniporter regulator 1	Mcur1	2373	2.35	216804.9	4	3	5.59	340
Q9CRT8	XPOT	Exportin-T	Xpot	2374	2.35	50469.5	3	3	4.78	963
P16330	CN37	"2',3'-cyclic-nucleotide 3'-phosphodiesterase"	Cnp	2369	2.36	11176.3	1	1	2.62	420
Q5SUQ9	CTC1	CST complex subunit CTC1	Ctc1	2370	2.36	17665.3	1	1	1.40	1212
Q32NZ6	TMC5	Transmembrane channel-like protein 5	Tmc5	2371	2.36	199640.0	6	3	4.03	967
Q8R180	ERO1A	ERO1-like protein alpha	Ero1a	2368	2.38	309345.5	2	2	5.82	464
O35317	PBX3	Pre-B-cell leukemia transcription factor 3	Pbx3	2367	2.39	31555.3	1	1	2.53	434
Q3TDH5	Q3TDH5	Uncharacterized protein	Fam129a	2366	2.40	209452.3	4	4	10.45	584
Q64339	ISG15	Ubiquitin-like protein ISG15	Isg15	2365	2.40	120878.7	3	3	19.25	161
P56135	ATPK	"ATP synthase subunit f, mitochondrial"	Atp5j2	2363	2.43	29585.7	1	1	13.64	88
O55134	PCD12	Protocadherin-12	Pcdh12	2364	2.43	21893.1	1	1	0.93	1180
Q8K0C9	GMDS	"GDP-mannose 4,6 dehydratase"	Gmds	2362	2.44	24627.1	1	1	3.76	372
Q8VEK6	ING3	Inhibitor of growth protein 3	Ing3	2361	2.44	82191.0	2	2	7.13	421
Q9D2P4	URM1	Ubiquitin-related modifier 1	Urm1	2360	2.45	79391.9	3	1	14.85	101
Q9D1M4	MCA3	Eukaryotic translation elongation factor 1 epsilon-1	Eef1e1	2359	2.47	17532.0	1	1	6.32	174
Q64669	NQO1	NAD(P)H dehydrogenase [quinone] 1	Nqo1	2358	2.48	106174.9	3	2	5.84	274
Q99LY9	NDUS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	Ndufs5	2357	2.50	780715.1	6	2	23.58	106
Q80X81	Q80X81	Acetyl-Coenzyme A acetyltransferase 3	Acat3	2354	2.51	27853.1	1	1	5.04	397
Q91WC0	SETD3	Histone-lysine N-methyltransferase setd3	Setd3	2355	2.51	23875.7	2	2	4.04	594
O88668	CREG1	Protein CREG1	Creg1	2353	2.52	21882.3	1	1	5.00	220
Q8BMP6	GCP60	Golgi resident protein GCP60	Acbd3	2352	2.55	18925.5	1	1	3.24	525
Q9EPK7	XPO7	Exportin-7	Xpo7	2351	2.57	895896.5	7	4	4.78	1087
Q61287	Q61287	Alpha-globin	Hbat1	2350	2.58	42311.5	1	1	10.56	142
Q9DC33	HM20A	High mobility group protein 20A	Hmg20a	2348	2.59	27724.7	1	1	2.60	346
Q9D2M8	UB2V2	Ubiquitin-conjugating enzyme E2 variant 2	Ube2v2	2349	2.59	80466.2	5	3	22.07	145
Q91XC8	DAP1	Death-associated protein 1	Dap	2347	2.60	175960.2	5	1	12.74	102
P63168	DYL1	"Dynein light chain 1, cytoplasmic"	Dynll1	2345	2.61	50081.2	3	2	24.72	89
O55126	NIPS2	Protein NipSnap homolog 2	Nipsnap2	2346	2.61	59772.1	4	2	6.41	281
Q8BXC6	COMD2	COMM domain-containing protein 2	Commd2	2344	2.63	26061.9	2	2	14.07	199
G3X8U3	G3X8U3	MCG6895	2210016F16Rik	2343	2.64	56148.2	2	2	9.17	338
A6X935	ITIH4	"Inter alpha-trypsin inhibitor, heavy chain 4"	Itih4	2342	2.64	93777.6	4	2	1.91	942
Q6PDL0	DC1L2	Cytoplasmic dynein 1 light intermediate chain 2	Dync1li2	2340	2.66	28512.5	1	1	2.44	492
Q3UGU3	Q3UGU3	Amidophosphoribosyltransferase	Ppat	2341	2.66	5855.7	1	1	2.32	517
Q6ZQC2	Q6ZQC2	MKIAA0410 protein (Fragment)	Nupl1	2339	2.67	110630.8	5	3	7.72	544
Q9Z0Y1	DCTN3	Dynactin subunit 3	Dctn3	2337	2.69	20192.3	1	1	4.84	186
Q640M1	UT14A	U3 small nucleolar RNA-associated protein 14 homolog A	Utp14a	2338	2.69	161581.5	2	2	3.13	767
Q8K1R3	PNPT1	"Polyribonucleotide nucleotidyltransferase 1, mitochondrial"	Pnpt1	2336	2.71	15771.6	2	2	3.58	783
Q31188	Q31188	Integral membrane protein	MHC integral membrane protein	2335	2.73	45458.9	1	1	2.74	365
Q8BZR9	NCBP3	Nuclear cap-binding protein subunit 3	Ncbp3	2334	2.74	36028.3	5	3	4.07	615
Q8JZZ5	Q8JZZ5	Phosphatidylinositol transfer protein beta isoform	Pitpnb	2333	2.75	13800.2	2	2	7.35	272
Q9D0C4	TRM5	tRNA (guanine(37)-N1)-methyltransferase	Trmt5	2332	2.75	50401.9	3	3	6.39	501
Q8BMJ0	Q8BMJ0	Uncharacterized protein	Dhodh	2330	2.78	28569.6	1	1	4.83	290
Q9WUD8	FAIM1	Fas apoptotic inhibitory molecule 1	Faim	2331	2.78	11881.3	2	2	15.64	179
