UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q8C0S1 	 DIS3-like exonuclease 1 isoform 1 	 Dis3l 	15.73	38710.8	5	4	5.13	1053
 Q6P2L6 	 histone-lysine N-methyltransferase NSD3 isoform 1 	 Whsc1l1 	27.57	151432.5	9	8	16.34	655
 Q3TNL8 	" inositol 1,4,5-trisphosphate receptor-interacting protein precursor "	 Itprip 	4.37	42458.3	2	2	5.41	555
 P23949 	" zinc finger protein 36, C3H1 type-like 2 "	 Zfp36l2 	2.51	70210.4	4	4	8.47	484
 P01901 	" H-2 class I histocompatibility antigen, K-W28 alpha chain isoform 1 "	 H2-K1 	58.01	581647	23	11	41.19	369
 Q8BL66 	 early endosome antigen 1 	 Eea1 	96.89	338674.4	27	17	15.1	1411
 P59997 	 lysine-specific demethylase 2A 	 Kdm2a 	22.5	96347.2	9	5	5.25	1161
 P48678 	 prelamin-A/C isoform A precursor 	 Lmna 	90.48	507334.3	26	19	32.18	665
 P17156 	 heat shock-related 70 kDa protein 2 	 Hspa2 	38.33	176520.5	10	7	13.59	633
 Q6ZWZ7 	 60S ribosomal protein L17 	 Rpl17 	71.62	1234084.9	51	13	50.54	184
 P61406 	 telomerase-binding protein EST1A 	 Smg6 	10.99	60138.4	5	4	3.74	1418
 Q8R480 	 nuclear pore complex protein Nup85 	 Nup85 	18.21	127454.3	13	7	12.5	656
 Q68FD5 	 clathrin heavy chain 1 	 Cltc 	279.4	2443041.2	102	45	32.24	1675
 Q6A4J8 	 ubiquitin carboxyl-terminal hydrolase 7 	 Usp7 	72.05	392302.1	23	13	14.78	1103
 Q6AXC6 	 probable ATP-dependent DNA helicase DDX11 	 Ddx11 	4.45	63717.7	3	3	5.68	880
 Q9ES97 	 reticulon-3 isoform 1 	 Rtn3 	8.2	168020.1	6	2	3.32	964
 Q6P1G2 	 lysine-specific demethylase 2B isoform 1 	 Kdm2b 	5.21	92144.1	4	3	2.75	1309
 O88509 	 DNA (cytosine-5)-methyltransferase 3B isoform 1 	 Dnmt3b 	6.71	17635.5	2	2	2.79	859
 Q3V1H1 	 cytoskeleton-associated protein 2 	 Ckap2 	7.13	117108.4	4	3	5.42	664
 Q68FF6 	 ARF GTPase-activating protein GIT1 	 Git1 	19.11	117134.4	6	5	8.05	770
 Q65Z40 	 wings apart-like protein homolog isoform 1 	 Wapl 	108.2	506040.9	31	18	21.83	1200
 Q9CQK1 	 zinc finger HIT domain-containing protein 3 	 Znhit3 	10.51	60429.7	3	3	21.19	151
 Q6PDY2 	 2-aminoethanethiol dioxygenase 	 Ado 	5.67	19894	2	2	12.5	256
 Q6PAM1 	 alpha-taxilin 	 Txlna 	46.41	190212.8	14	8	16.79	554
 Q8BJW6 	 eukaryotic translation initiation factor 2A 	 Eif2a 	117.43	544216.6	29	16	38.55	581
 A2RTL5 	 arginine/serine-rich coiled-coil protein 2 	 Rsrc2 	20.18	126866.7	7	5	16.82	434
 Q5XJY4 	" presenilins-associated rhomboid-like protein, mitochondrial "	 Parl 	6.71	13250.5	2	1	5.31	377
 Q64191 	 N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase isoform 1 	 Aga 	30.52	97627.3	7	5	19.36	346
 Q9D1R9 	 60S ribosomal protein L34 	 Rpl34 	9.07	120409.3	5	3	21.37	117
 Q80TH2 	 protein LAP2 isoform 1 	 Erbb2ip 	51.61	314035.7	19	11	9.59	1450
 Q5RJG1 	 nucleolar protein 10 	 Nol10 	40.03	327857.2	20	9	14.99	687
 Q5U4C3 	" splicing factor, arginine/serine-rich 19 "	 Scaf1 	12.43	87624.7	4	4	4.78	1256
 Q5U4D9 	 THO complex subunit 6 homolog 	 Thoc6 	33.74	152913.2	10	4	18.77	341
 A2AF47 	 dedicator of cytokinesis protein 11 	 Dock11 	17.29	67081.2	5	5	3.14	2073
 Q5PSV9 	 mediator of DNA damage checkpoint protein 1 	 Mdc1 	54.63	186174.8	16	11	10.71	1708
 Q91XB0 	 three-prime repair exonuclease 1 	 Trex1 	3.05	7731.5	1	1	6.37	314
 Q5DW34 	 histone-lysine N-methyltransferase EHMT1 isoform 1 	 Ehmt1 	31.49	187679	10	6	6.4	1296
 Q8BIF9 	 zinc finger protein 787 	 Zfp787 	5.84	26923.4	2	2	6.56	381
 Q5NC05 	 transcription termination factor 2 	 Ttf2 	26.99	52984.3	5	4	4.31	1138
 Q5SUQ9 	 CST complex subunit CTC1 isoform a 	 Ctc1 	4.66	14872.3	1	1	1.82	1212
 Q7TMQ7 	 WD repeat-containing protein 91 	 Wdr91 	7.68	50844.2	3	3	4.28	748
 Q5EG47 	 5'-AMP-activated protein kinase catalytic subunit alpha-1 	 Prkaa1 	52.75	246729.8	17	9	20.93	559
 Q3UIR3 	 E3 ubiquitin-protein ligase DTX3L 	 Dtx3l 	35.88	166915.1	12	7	13.5	748
 Q5SSI6 	 U3 small nucleolar RNA-associated protein 18 homolog 	 Utp18 	26.61	107855	5	4	11.96	552
 A2AJG0 	 ribonuclease P protein subunit p38 	 Rpp38 	14.39	95336.1	7	4	14.29	280
 Q6PDL0 	 cytoplasmic dynein 1 light intermediate chain 2 	 Dync1li2 	13.21	68621.8	4	3	7.72	492
 Q6NVF9 	 cleavage and polyadenylation specificity factor subunit 6 isoform 2 	 Cpsf6 	52.39	218343.9	10	7	19.42	551
 Q3UCV8 	 ubiquitin thioesterase otulin 	 Otulin 	6.12	37903.7	2	1	3.12	352
 P60330 	 separin 	 Espl1 	15.4	85777.5	6	4	2.97	2118
 Q920I9 	 WD repeat-containing protein 7 	 Wdr7 	3.8	5270.6	1	1	1.14	1489
 Q8BJM7 	 S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase 	 Tyw1 	3	56211.7	3	3	4.16	721
 Q8VI33 	 transcription initiation factor TFIID subunit 9 	 Taf9 	34.42	108383.3	9	5	28.03	264
 P56394 	 cytochrome c oxidase copper chaperone 	 Cox17 	12.7	150712.4	5	1	25.4	63
 P17047 	 lysosome-associated membrane glycoprotein 2 isoform 1 precursor 	 Lamp2 	17.78	138522	8	4	8.43	415
 A2ADY9 	 protein DDI1 homolog 2 	 Ddi2 	46.54	278615	12	6	23.81	399
 Q5F2E7 	 nuclear fragile X mental retardation-interacting protein 2 	 Nufip2 	51.82	285833.8	13	9	18.93	692
 Q9QYC0 	 alpha-adducin isoform 1 	 Add1 	34.65	156303.6	8	5	10.75	735
 Q505D1 	 serine/threonine-protein phosphatase 6 regulatory ankyrin repeat 	 Ankrd28 	17.03	76979.6	5	4	5.6	1053
 Q504M2 	 pyruvate dehydrogenase 	 Pdp2 	21.29	118366.3	4	3	8.65	532
 Q5U3K5 	 rab-like protein 6 	 Rabl6 	13.03	49339.1	6	4	8.69	725
 P53569 	 CCAAT/enhancer-binding protein zeta 	 Cebpz 	44.29	173873.4	12	11	12.93	1052
 Q9WV98 	 mitochondrial import inner membrane translocase subunit Tim9 	 Timm9 	12.69	257910.7	10	3	25.84	89
 F8VQG7 	 NEDD4-binding protein 2 	 N4bp2 	13.08	122114.8	6	6	6.85	1678
 Q4FZF3 	 probable ATP-dependent RNA helicase DDX49 	 Ddx49 	14.83	80325.4	5	3	6.67	480
 P16951 	 cyclic AMP-dependent transcription factor ATF-2 isoform 1 	 Atf2 	3.42	28446.6	5	2	5.95	487
 Q8BIX3 	 ARL14 effector protein 	 Arl14ep 	13.3	61527	3	2	11.59	276
 Q62393 	 tumor protein D52 isoform 2 	 Tpd52 	12.61	54653.6	3	2	10.71	224
 O54786 	 DNA fragmentation factor subunit alpha isoform a 	 Dffa 	21.28	163552.7	10	7	21.75	331
 Q8CD76 	 kinesin light chain 1 isoform 1D 	 Klc1 	26.62	112110.6	6	6	12.01	616
 Q9ERF3 	 WD repeat-containing protein 61 isoform a 	 Wdr61 	72.89	466349.2	23	10	52.79	305
 P17182 	" enolase 1B, retrotransposed "	 Eno1b 	217.25	3452025.7	113	27	69.12	434
 Q8K019 	 bcl-2-associated transcription factor 1 isoform 1 	 Bclaf1 	89.47	645558.2	34	18	21.98	919
 F8WI22 	 bcl-2-associated transcription factor 1 isoform 3 	 Bclaf1 	3.75	24508.5	1	1	1.84	870
 F8VPR5 	 CREB-binding protein 	 Crebbp 	37.67	589037.2	18	11	5.69	2441
 Q3TV70 	 nuclear receptor 2C2-associated protein isoform 1 	 Nr2c2ap 	7.9	20724.6	1	1	8.57	140
 Q6NXN1 	 SUZ domain-containing protein 1 isoform 1 	 Szrd1 	5.23	10845.3	2	1	12.5	152
 B2RUR8 	 OTU domain-containing protein 7B 	 Otud7b 	1.62	48649.1	4	4	6.55	840
 Q9CQV7 	 mitochondrial import inner membrane translocase subunit TIM14 	 Dnajc19 	2.71	53189.2	3	2	10.83	157
 Q4QY64 	 ATPase family AAA domain-containing protein 5 	 Atad5 	16.22	63215.9	7	3	2.63	1826
 E9Q7L1 	 unhealthy ribosome biogenesis protein 2 homolog 	 Urb2 	20.36	61094	8	5	3.41	1524
 A0AUN0 	 SEC23-interacting protein 	 Sec23ip 	46.05	265553.9	15	10	10.62	998
 Q0P678 	 zinc finger CCCH domain-containing protein 18 isoform a 	 Zc3h18 	49.9	190560.7	11	8	10.39	972
 Q8R3F5 	" malonyl-CoA-acyl carrier protein transacylase, mitochondrial "	 Mcat 	28.17	74901.5	5	4	18.11	381
 Q99LY9 	 NADH dehydrogenase 	 Ndufs5 	2.27	11152.1	2	2	23.58	106
 Q9ESX5 	 H/ACA ribonucleoprotein complex subunit 4 	 Dkc1 	121.84	962212	42	13	29.47	509
 Q2NL51 	 glycogen synthase kinase-3 alpha 	 Gsk3a 	11.93	42984.1	3	3	12.24	490
 Q9CQN7 	" 39S ribosomal protein L41, mitochondrial precursor "	 Mrpl41 	34.54	135342.9	6	5	41.48	135
 Q3V4B5 	 COMM domain-containing protein 6 isoform 1 	 Commd6 	19.52	107003.9	4	4	54.02	87
 Q3UJU9 	 regulator of microtubule dynamics protein 3 	 Rmdn3 	28.21	121447.2	10	4	13.4	470
 Q3U0V2 	 tumor necrosis factor receptor type 1-associated DEATH domain 	 Tradd 	30.93	138670.1	11	5	24.52	310
 Q3B7Z2 	 oxysterol-binding protein 1 	 Osbp 	34.15	182114.5	10	5	9.07	805
 Q3UV17 	" keratin, type II cytoskeletal 2 oral "	 Krt76 	4.2	42195.1	2	1	1.52	594
 Q3UYV9 	 nuclear cap-binding protein subunit 1 	 Ncbp1 	33.1	133647.1	8	6	8.1	790
 Q14AI6 	 RNA pseudouridylate synthase domain-containing protein 3 	 Rpusd3 	5.57	9341.3	1	1	4.94	344
 Q3UGS4 	 protein FAM195B 	 Fam195b 	20.34	112135.5	6	4	50.51	97
 Q80V62 	 Fanconi anemia group D2 protein homolog 	 Fancd2 	14.92	28124.5	3	3	2.9	1450
 B2RT41 	 zinc finger C3H1 domain-containing protein 	 Zfc3h1 	3.93	55951	5	5	3.56	1992
 Q3UHD9 	" arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 "	 Agap2 	16.63	28158.1	3	2	2.78	1186
 Q6A0A9 	 constitutive coactivator of PPAR-gamma-like protein 1 	 Fam120a 	97.28	629879.9	31	16	19.51	1112
 A0A0A0MQ73 	 histone-lysine N-methyltransferase 2D 	 Kmt2d 	14.65	75314.2	11	8	1.54	5588
 Q3TT38 	 uncharacterized protein C6orf106 homolog isoform 1 	 D17Wsu92e 	3.86	5166.8	1	1	6.87	291
 Q3UNZ8 	 quinone oxidoreductase-like protein 2 	 BC026585 	14	67314.8	3	3	13.43	350
