UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q5U452 	 TP53-regulating kinase 	 Trp53rka 	5.61	16092.4	1	1	4.1	244
 Q504M2 	 pyruvate dehydrogenase 	 Pdp2 	6.75	32830.4	1	1	2.63	532
 Q8R3F5 	" malonyl-CoA-acyl carrier protein transacylase, mitochondrial "	 Mcat 	6.39	11206.2	1	1	3.94	381
 Q9CQN7 	" 39S ribosomal protein L41, mitochondrial precursor "	 Mrpl41 	7.52	24767.5	1	1	9.63	135
 Q3TMP1 	 general transcription factor 3C polypeptide 3 	 Gtf3c3 	6.77	14854.2	1	1	2.04	882
 Q3U1T3 	 breast cancer metastasis-suppressor 1-like protein 	 Brms1l 	6.17	17988.6	1	1	4.33	323
 Q8C5L3 	 CCR4-NOT transcription complex subunit 2 isoform d 	 Cnot2 	7.81	23134.7	1	1	2.91	550
 Q9QZW0 	 phospholipid-transporting ATPase 11C isoform a 	 Atp11c 	3.64	13990.2	1	1	1.24	1129
 Q9Z2G6 	 protein sel-1 homolog 1 isoform a precursor 	 Sel1l 	7.55	18295.8	1	1	2.15	790
 Q921L3 	 transmembrane and coiled-coil domain-containing protein 1 precursor 	 Tmco1 	6.67	24561.4	1	1	7.45	188
 Q69ZP3 	 probable hydrolase PNKD isoform 3 	 Pnkd 	6.59	18928.8	1	1	3.9	385
 Q8BYH7 	 TBC1 domain family member 17 	 Tbc1d17 	1.92	11562.4	1	1	2.33	645
 F8VPP8 	 zinc finger CCCH domain-containing protein 7B 	 Zc3h7b 	2.42	19881	1	1	1.12	982
 Q3UVL4 	 vacuolar protein sorting-associated protein 51 homolog 	 Vps51 	3.84	13647.3	1	1	2.05	782
 B1AVZ0 	 uracil phosphoribosyltransferase homolog 	 Uprt 	6.76	25046.6	1	1	4.19	310
 Q8BHT6 	" beta-1,3-glucosyltransferase precursor "	 B3glct 	3.61	15312.7	1	1	2.66	489
 B9EJR8 	" dynein assembly factor 5, axonemal "	 Dnaaf5 	3.8	7025.6	1	1	1.41	853
 C0HKG5 	 ribonuclease T2 precursor 	 Rnaset2a 	5.9	17800.6	1	1	3.86	259
 P0C0A3 	 charged multivesicular body protein 6 	 Chmp6 	7.89	26701.1	1	1	6.5	200
 Q61990 	 poly(rC)-binding protein 2 isoform 3 	 Pcbp2 	3.98	11794.1	1	1	8.76	331
 Q14B71 	 cell division cycle-associated protein 2 	 Cdca2 	5.41	8758	1	1	1.43	982
 Q9D103 	 interferon-induced transmembrane protein 1 	 Ifitm1 	6.79	17808.6	1	1	15.09	106
 Q91W67 	 ubiquitin-like protein 7 	 Ubl7 	4.98	13003.4	1	1	2.63	380
 L7N466 	" 5, 10-methenyltetrahydrofolate synthetase-like "	 Mthfsl 	6.21	19387.4	1	1	5.91	203
 Q9Z2V5 	 histone deacetylase 6 	 Hdac6 	5.64	13961.4	1	1	1.22	1149
 Q9JHF5 	 V-type proton ATPase 116 kDa subunit a isoform 3 	 Tcirg1 	4.97	16074.8	1	1	2.4	834
 Q9QY24 	 Z-DNA-binding protein 1 isoform 2 	 Zbp1 	5.8	16668.6	1	1	6.95	187
 Q8BGQ1 	 spermatogenesis-defective protein 39 homolog isoform a 	 Vipas39 	7.08	15727.8	1	1	2.24	491
 P05622 	 platelet-derived growth factor receptor beta isoform 1 precursor 	 Pdgfrb 	6.52	18008.4	1	1	1.36	1099
 P36993 	 protein phosphatase 1B isoform 4 	 Ppm1b 	5.72	19588.7	1	1	3.31	393
 Q9QZQ8 	 core histone macro-H2A.1 isoform 3 	 H2afy 	3.17	17475.9	1	1	9.76	369
 Q5RJH6 	 protein SMG7 isoform 1 	 Smg7 	4.31	5098.9	1	1	1.05	1146
 D3YYC3 	 histone-lysine N-methyltransferase SETDB1 isoform a 	 Setdb1 	5.84	21458.7	1	1	0.92	1308
 Q80TE0 	 RNA polymerase II-associated protein 1 isoform 2 	 Rpap1 	1.9	10594	1	1	1.14	1409
 P0DJF2 	" protein PET117 homolog, mitochondrial precursor "	 Pet117 	6.54	20079.1	1	1	12.5	80
 Q9D2X5 	 MAU2 chromatid cohesion factor homolog isoform 1 	 Mau2 	5.83	12883.9	1	1	2.62	650
 O88559 	 menin isoform a 	 Men1 	6.66	2651.3	1	1	2.43	617
 Q9WUR9 	" adenylate kinase 4, mitochondrial "	 Ak4 	4.41	7685.3	1	1	4.93	223
 Q8CI51 	 PDZ and LIM domain protein 5 isoform ENH1e 	 Pdlim5 	6.24	17085.7	1	1	1.95	614
 Q9JIM1 	 equilibrative nucleoside transporter 1 isoform 1 	 Slc29a1 	4.36	26522.3	1	1	2.61	460
 Q9DCZ4 	 MICOS complex subunit Mic26 isoform 2 	 Apoo 	7.68	43463.9	1	1	7.08	212
 D3Z4S3 	 putative peptidyl-tRNA hydrolase PTRHD1 	 Ptrhd1 	5.3	13167.3	1	1	8.57	140
 Q5RIM6 	 nuclear receptor corepressor 1 isoform 1 	 Ncor1 	6.11	8762.2	1	1	0.49	2454
 P60904 	 dnaJ homolog subfamily C member 5 	 Dnajc5 	3.98	11827.3	1	1	7.07	198
 Q8C3R1 	 BRCA1-associated ATM activator 1 isoform 3 	 Brat1 	2.08	4374.5	1	1	1.15	867
 O35226 	 26S proteasome non-ATPase regulatory subunit 4 isoform 1 	 Psmd4 	10.47	25041.8	1	1	7.39	379
 P57776 	 elongation factor 1-delta isoform b 	 Eef1d 	11.24	33185.2	1	1	8.54	281
 Q3TEA8 	 heterochromatin protein 1-binding protein 3 isoform 5 	 Hp1bp3 	7.36	20280.6	1	1	5.18	541
 Q9D7M1 	 glucose-induced degradation protein 8 homolog 	 Gid8 	4.07	17051.4	1	1	4.82	228
 Q60989 	 E3 ubiquitin-protein ligase XIAP 	 Xiap 	3.83	11624.1	1	1	2.82	496
 Q91XE4 	 N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) 	 Acy3 	5.3	17908.3	1	1	5.97	318
 Q91YN5 	 UDP-N-acetylhexosamine pyrophosphorylase isoform 1 	 Uap1 	5.32	23017.9	1	1	3.45	522
 Q60866 	 phosphotriesterase-related protein isoform 1 	 Pter 	7.62	27457.1	1	1	4.16	361
 Q8BHE1 	 gem-associated protein 8 isoform 1 	 Gemin8 	3.04	13554.5	1	1	3.78	238
 Q924Z4 	 ceramide synthase 2 	 Cers2 	2.15	18987.1	1	1	2.37	380
 Q91WA1 	 TIMELESS-interacting protein 	 Tipin 	2.82	24943.9	1	1	4.32	278
 P84084 	 ADP-ribosylation factor 5 	 Arf5 	5.83	18157.5	1	1	8.33	180
 P97302 	 transcription regulator protein BACH1 	 Bach1 	6.55	5097.7	1	1	1.89	739
 O35075 	 Down syndrome critical region protein 3 homolog 	 Dscr3 	3.04	18160.7	1	1	6.4	297
 O70133 	 ATP-dependent RNA helicase A 	 Dhx9 	1.84	5566.2	1	1	1.59	1383
 P70245 	" 3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase "	 Ebp 	5.01	25921.9	1	1	5.65	230
 O08579 	 emerin 	 Emd 	7.84	24870.7	1	1	5.79	259
 O08917 	 flotillin-1 	 Flot1 	3.6	16597.5	1	1	3.97	428
 P38532 	 heat shock factor protein 1 	 Hsf1 	4.45	15351.6	1	1	1.79	503
 P97471 	 mothers against decapentaplegic homolog 4 	 Smad4 	2.09	5794.2	1	1	3.81	551
 P49138 	 MAP kinase-activated protein kinase 2 	 Mapkapk2 	3.54	21654.4	1	1	3.11	386
 P29595 	 NEDD8 precursor 	 Nedd8 	7.3	21006.6	1	1	13.58	81
 Q64669 	 NAD(P)H dehydrogenase 	 Nqo1 	6.46	10821.3	1	1	4.74	274
 P46718 	 programmed cell death protein 2 	 Pdcd2 	4.86	25986	1	1	3.79	343
 O55057 	" retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase "	 Pde6d 	3.38	23555	1	1	8	150
 P51175 	 protoporphyrinogen oxidase 	 Ppox 	6.59	16721.1	1	1	5.03	477
 Q8K1M3 	 cAMP-dependent protein kinase type II-alpha regulatory subunit 	 Prkar2a 	7	13877.3	1	1	3.23	402
 O08586 	" phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and "	 Pten 	4.54	7880.6	1	1	2.23	403
 P70700 	 DNA-directed RNA polymerase I subunit RPA2 	 Polr1b 	1.93	6891.8	1	1	0.88	1135
 O35704 	 serine palmitoyltransferase 1 	 Sptlc1 	7.23	25417.2	1	1	2.96	473
 P20801 	" troponin C, skeletal muscle "	 Tnnc2 	6.62	19373.9	1	1	10.62	160
 P68373 	 tubulin alpha-1C chain 	 Tuba1c 	8.75	27206.5	1	1	5.35	449
