UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q8C0S1 	 DIS3-like exonuclease 1 isoform 1 	 Dis3l 	4.07	36753.5	5	3	3.99	1053
 Q3TNL8 	" inositol 1,4,5-trisphosphate receptor-interacting protein precursor "	 Itprip 	21.74	104984.6	7	6	13.87	555
 P23949 	" zinc finger protein 36, C3H1 type-like 2 "	 Zfp36l2 	2.76	29657.7	1	1	1.86	484
 P01901 	" H-2 class I histocompatibility antigen, K-W28 alpha chain isoform 1 "	 H2-K1 	73.74	1021064	33	15	51.49	369
 P59997 	 lysine-specific demethylase 2A 	 Kdm2a 	14.68	102638.4	6	6	6.29	1161
 P48678 	 prelamin-A/C isoform A precursor 	 Lmna 	33.55	268508.8	19	13	21.05	665
 P17156 	 heat shock-related 70 kDa protein 2 	 Hspa2 	33.95	212259.2	9	8	14.69	633
 Q6ZWZ7 	 60S ribosomal protein L17 	 Rpl17 	46.6	928772.7	32	9	47.28	184
 Q8R480 	 nuclear pore complex protein Nup85 	 Nup85 	12.53	92691.8	4	4	5.79	656
 Q7M754 	 Try10-like trypsinogen precursor 	 Gm5409 	3.38	64306.3	3	1	4.07	246
 Q6GYP7 	 ral GTPase-activating protein subunit alpha-1 isoform 3 	 Ralgapa1 	6.04	64305.3	3	3	1.73	2083
 Q68FD5 	 clathrin heavy chain 1 	 Cltc 	227.33	2121239.8	84	45	32.84	1675
 Q68FG0 	 zinc finger C4H2 domain-containing protein isoform 1 	 Zc4h2 	2.81	23901.7	3	3	12.5	224
 Q9ES97 	 reticulon-3 isoform 1 	 Rtn3 	5.69	326248.6	5	3	3.01	964
 Q6P1G2 	 lysine-specific demethylase 2B isoform 1 	 Kdm2b 	3.4	60718.6	4	4	4.35	1309
 Q8R361 	 rab11 family-interacting protein 5 isoform 1 	 Rab11fip5 	6.01	50470.4	3	3	3.49	1318
 O88509 	 DNA (cytosine-5)-methyltransferase 3B isoform 1 	 Dnmt3b 	16.32	69134.8	6	3	4.42	859
 Q68ED7 	 CREB-regulated transcription coactivator 1 	 Crtc1 	4.54	34354.5	2	1	2.86	630
 Q6NTA4 	 ras-related GTP-binding protein B 	 Rragb 	3.29	14936.9	1	1	2.67	374
 Q65Z40 	 wings apart-like protein homolog isoform 1 	 Wapl 	57.69	325289.1	22	11	13.33	1200
 Q6PDY2 	 2-aminoethanethiol dioxygenase 	 Ado 	9.89	23301.1	2	2	10.55	256
 Q6PAM1 	 alpha-taxilin 	 Txlna 	33.78	165334.1	9	7	16.43	554
 Q640N3 	 rho GTPase-activating protein 30 	 Arhgap30 	44.64	219713.3	13	9	11.25	1093
 Q8BJW6 	 eukaryotic translation initiation factor 2A 	 Eif2a 	75	368488.8	18	10	27.71	581
 Q6ZWQ0 	 nesprin-2 	 Syne2 	43.78	1109848.7	42	26	4.38	6874
 A2RTL5 	 arginine/serine-rich coiled-coil protein 2 	 Rsrc2 	10.04	186985.7	7	5	15.44	434
 Q5XJY4 	" presenilins-associated rhomboid-like protein, mitochondrial "	 Parl 	8.32	57634.2	3	2	8.22	377
 Q64191 	 N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase isoform 1 	 Aga 	15.53	80894.8	8	6	28.32	346
 Q9D1R9 	 60S ribosomal protein L34 	 Rpl34 	8	138834.6	5	3	21.37	117
 Q5U452 	 TP53-regulating kinase 	 Trp53rka 	10.65	47467.3	3	2	10.25	244
 Q5RJG1 	 nucleolar protein 10 	 Nol10 	14.71	63533	3	3	5.82	687
 Q5U4C3 	" splicing factor, arginine/serine-rich 19 "	 Scaf1 	15.33	118531.2	9	5	4.62	1256
 Q5U4D9 	 THO complex subunit 6 homolog 	 Thoc6 	29.45	186929.7	11	6	26.39	341
 Q8BG60 	 thioredoxin-interacting protein isoform 1 	 Txnip 	6.49	33629.8	2	1	3.78	397
 A2AF47 	 dedicator of cytokinesis protein 11 	 Dock11 	82.68	549360.4	38	25	14.04	2073
 Q5PSV9 	 mediator of DNA damage checkpoint protein 1 	 Mdc1 	39.55	172862.8	14	9	7.14	1708
 Q91XB0 	 three-prime repair exonuclease 1 	 Trex1 	11.55	38272.7	2	2	10.83	314
 Q5EBG8 	 uncharacterized protein C1orf50 homolog 	 AU022252 	10.44	36378.3	1	1	8.04	199
 Q5DW34 	 histone-lysine N-methyltransferase EHMT1 isoform 1 	 Ehmt1 	22.54	117365.7	6	5	5.48	1296
 Q5EE38 	 adrenocortical dysplasia protein 	 Acd 	5.37	23837.8	2	2	6.73	416
 Q5NC05 	 transcription termination factor 2 	 Ttf2 	2.35	74089.3	4	4	3.87	1138
 Q5SUQ9 	 CST complex subunit CTC1 isoform a 	 Ctc1 	3.74	25848.7	2	1	1.82	1212
 Q7TMQ7 	 WD repeat-containing protein 91 	 Wdr91 	13	79336.4	6	4	6.15	748
 Q5EG47 	 5'-AMP-activated protein kinase catalytic subunit alpha-1 	 Prkaa1 	25.9	97295.1	6	5	13.24	559
 Q3UIR3 	 E3 ubiquitin-protein ligase DTX3L 	 Dtx3l 	44.31	313587.3	15	8	15.78	748
 Q5SSI6 	 U3 small nucleolar RNA-associated protein 18 homolog 	 Utp18 	13.56	93561.3	7	3	8.88	552
 A2AJG0 	 ribonuclease P protein subunit p38 	 Rpp38 	14.08	95916.7	6	5	19.29	280
 Q6PDL0 	 cytoplasmic dynein 1 light intermediate chain 2 	 Dync1li2 	26.28	133395.7	8	7	20.12	492
 Q6NVF9 	 cleavage and polyadenylation specificity factor subunit 6 isoform 2 	 Cpsf6 	50.48	354131.6	16	9	21.42	551
 Q3TXT3 	 SOSS complex subunit C 	 Inip 	4.35	16117.4	2	1	8.65	104
 Q91VJ1 	 interferon-inducible protein AIM2 	 Aim2 	4.73	25109.9	4	2	3.39	354
 Q3UCV8 	 ubiquitin thioesterase otulin 	 Otulin 	5.52	59311.7	3	2	7.67	352
 Q6NSQ5 	 SP140 nuclear body protein family member 	 Sp140 	11.81	72105.9	6	5	13.48	534
 Q8VI33 	 transcription initiation factor TFIID subunit 9 	 Taf9 	15.76	73751.9	6	3	15.91	264
 P17047 	 lysosome-associated membrane glycoprotein 2 isoform 1 precursor 	 Lamp2 	15.32	132384.7	6	4	8.43	415
 A2ADY9 	 protein DDI1 homolog 2 	 Ddi2 	49.42	292311.4	13	7	24.31	399
 Q5F2E7 	 nuclear fragile X mental retardation-interacting protein 2 	 Nufip2 	11.82	36827.6	3	3	5.49	692
 Q9QYC0 	 alpha-adducin isoform 1 	 Add1 	20.23	114126.6	7	6	11.29	735
 Q3UQU0 	 bromodomain-containing protein 9 isoform 1 	 Brd9 	7.27	33857.7	6	3	6.87	597
 Q505D1 	 serine/threonine-protein phosphatase 6 regulatory ankyrin repeat 	 Ankrd28 	22.59	220291.8	8	7	8.17	1053
 Q504M2 	 pyruvate dehydrogenase 	 Pdp2 	6.63	38189	3	2	3.95	532
 Q5U3K5 	 rab-like protein 6 	 Rabl6 	13.93	75005.9	5	5	10.07	725
 Q6P8I4 	 PEST proteolytic signal-containing nuclear protein 	 Pcnp 	28.58	192195.5	14	5	37.08	178
 P53569 	 CCAAT/enhancer-binding protein zeta 	 Cebpz 	19.32	189782.6	8	7	8.75	1052
 Q9WV98 	 mitochondrial import inner membrane translocase subunit Tim9 	 Timm9 	8.36	131422	6	2	25.84	89
 Q4FZF3 	 probable ATP-dependent RNA helicase DDX49 	 Ddx49 	4.7	27752.1	3	3	7.08	480
 P16951 	 cyclic AMP-dependent transcription factor ATF-2 isoform 1 	 Atf2 	3.09	28384.5	3	2	5.95	487
 Q8BIX3 	 ARL14 effector protein 	 Arl14ep 	13.26	48898.2	2	2	11.59	276
 Q7TQK5 	 coiled-coil domain-containing protein 93 isoform a 	 Ccdc93 	21.06	86090.9	5	5	10.33	629
 Q62393 	 tumor protein D52 isoform 3 	 Tpd52 	26.93	196737.3	10	6	33.67	199
 O54786 	 DNA fragmentation factor subunit alpha isoform a 	 Dffa 	14.56	162826.2	7	6	19.03	331
 Q8CD76 	 kinesin light chain 1 isoform 1D 	 Klc1 	17.01	149131.1	6	5	9.25	616
 Q9ERF3 	 WD repeat-containing protein 61 isoform a 	 Wdr61 	70.68	582348	23	12	61.64	305
 P17182 	" enolase 1B, retrotransposed "	 Eno1b 	235.56	5250373.4	136	31	74.19	434
 Q8K019 	 bcl-2-associated transcription factor 1 isoform 1 	 Bclaf1 	64.85	539727.2	23	15	18.72	919
