UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
A2AUY4	A2AUY4	bromodomain adjacent to zinc finger domain protein 2B	Baz2b	2462	11.66	210540.5	7	5	4.38	2123
Q6IRU2	TPM4	tropomyosin alpha-4 chain	Tpm4	2057	15.12	424909.2	7	3	16.13	248
Q3SXA6	Q3SXA6	TNFAIP3-interacting protein 3	Tnip3	3056	8.00	78638.1	2	2	14.90	208
Q3TNL8	IPRI	"inositol 1,4,5-trisphosphate receptor-interacting protein precursor"	Itprip	1654	19.38	461208.6	7	5	11.89	555
P23949	TISD	"zinc finger protein 36, C3H1 type-like 2"	Zfp36l2	2193	13.82	373122.8	7	6	20.04	484
P59997	KDM2A	lysine-specific demethylase 2A	Kdm2a	3440	6.16	463465.1	10	9	11.71	1161
P48678	LMNA	prelamin-A/C isoform A precursor	Lmna	2985	8.36	336318.0	9	7	11.13	665
P17156	HSP72	heat shock-related 70 kDa protein 2	Hspa2	4603	1.88	113708.5	2	2	4.90	633
Q6ZWZ7	Q6ZWZ7	60S ribosomal protein L17	Rpl17	545	46.66	1914358.9	25	8	38.59	184
P61406	EST1A	telomerase-binding protein EST1A	Smg6	2161	14.18	456990.1	12	10	10.08	1418
Q8R480	NUP85	nuclear pore complex protein Nup85	Nup85	2686	10.09	225496.9	5	4	9.30	656
Q6IFZ6	K2C1B	"keratin, type II cytoskeletal 1b"	Krt77	4217	3.60	29486.6	1	1	2.10	572
Q68FD5	CLH1	clathrin heavy chain 1	Cltc	18	191.36	4903948.0	59	34	30.03	1675
Q6A4J8	UBP7	ubiquitin carboxyl-terminal hydrolase 7	Usp7	327	63.53	1469150.2	24	16	22.39	1103
Q9ES97	RTN3	reticulon-3 isoform 1	Rtn3	3072	7.86	425863.7	4	3	3.53	964
Q8R361	RFIP5	rab11 family-interacting protein 5 isoform 1	Rab11fip5	4053	4.23	91139.1	5	4	5.24	1318
O88509	DNM3B	DNA (cytosine-5)-methyltransferase 3B isoform 1	Dnmt3b	3885	4.72	476278.9	9	8	11.87	859
G3X9T2	G3X9T2	zinc finger protein 91	Zfp619	4705	1.57	339146.3	7	6	4.91	1161
Q3V1H1	CKAP2	cytoskeleton-associated protein 2	Ckap2	4524	2.09	199662.1	4	3	7.23	664
Q68FF6	GIT1	ARF GTPase-activating protein GIT1	Git1	1029	30.46	624922.8	14	10	17.66	770
Q65Z40	WAPL	wings apart-like protein homolog isoform 1	Wapl	1088	28.78	936268.4	20	17	19.25	1200
Q3TAA8	Q3TAA8	phosphatidylinositol glycan anchor biosynthesis class U protein	Pigu	3496	5.95	82872.0	2	1	3.91	435
Q6PDY2	AEDO	2-aminoethanethiol dioxygenase	Ado	3471	6.03	313108.0	6	6	33.20	256
Q6PAM1	TXLNA	alpha-taxilin	Txlna	1031	30.34	566338.0	12	9	22.92	554
Q640N3	RHG30	rho GTPase-activating protein 30	Arhgap30	778	37.33	1448849.4	26	22	24.06	1093
Q8BJW6	EIF2A	eukaryotic translation initiation factor 2A	Eif2a	2444	11.76	337293.4	8	6	15.66	581
Q6ZWQ0	SYNE2	nesprin-2	Syne2	1317	24.46	1929501.7	33	28	5.85	6874
A2RTL5	RSRC2	arginine/serine-rich coiled-coil protein 2	Rsrc2	3899	4.67	268210.0	4	3	8.76	434
Q5XJY4	PARL	"presenilins-associated rhomboid-like protein, mitochondrial"	Parl	4197	3.67	143819.1	3	3	10.88	377
Q64191	ASPG	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase isoform 1	Aga	2045	15.23	143954.7	6	4	22.25	346
Q80TH2	ERBIN	protein LAP2 isoform 1	Erbb2ip	1058	29.40	1185085.5	22	13	12.34	1450
Q5U452	Q5U452	TP53-regulating kinase	Trp53rka	3358	6.52	106063.5	2	2	11.48	244
Q5RJG1	NOL10	nucleolar protein 10	Nol10	3415	6.30	172248.4	4	4	8.73	687
Q5U4C3	SFR19	"splicing factor, arginine/serine-rich 19"	Scaf1	2420	11.90	220325.1	6	4	3.98	1256
Q5U4D9	THOC6	THO complex subunit 6 homolog	Thoc6	1791	17.81	203775.4	4	3	11.44	341
A2AF47	DOC11	dedicator of cytokinesis protein 11	Dock11	618	43.65	1087303.9	21	16	11.92	2073
Q5PSV9	MDC1	mediator of DNA damage checkpoint protein 1	Mdc1	977	31.53	614612.0	12	7	7.90	1708
Q91XB0	TREX1	three-prime repair exonuclease 1	Trex1	3504	5.91	92560.2	2	2	14.65	314
Q5NCR9	NSRP1	nuclear speckle splicing regulatory protein 1	Nsrp1	2763	9.68	477660.1	11	8	17.90	542
Q5DW34	EHMT1	histone-lysine N-methyltransferase EHMT1 isoform 1	Ehmt1	903	33.99	1156498.9	18	12	15.59	1296
Q5EE38	ACD	adrenocortical dysplasia protein	Acd	3789	5.01	123206.2	3	3	13.46	416
Q5NC05	TTF2	transcription termination factor 2	Ttf2	1882	16.81	314167.6	5	5	5.54	1138
Q5SUQ9	CTC1	CST complex subunit CTC1 isoform a	Ctc1	3824	4.91	66379.1	2	1	1.82	1212
Q7TMQ7	WDR91	WD repeat-containing protein 91	Wdr91	1922	16.33	272630.5	5	3	5.88	748
