UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q8C0S1 	 DIS3-like exonuclease 1 isoform 1 	 Dis3l 	2.07	6771.7	1	1	1.14	1053
 Q7M754 	 Try10-like trypsinogen precursor 	 Gm5409 	2.5	17887.8	1	1	4.07	246
 Q9ES97 	 reticulon-3 isoform 1 	 Rtn3 	5.74	39211	2	1	1.14	964
 Q6NTA4 	 ras-related GTP-binding protein B 	 Rragb 	2.93	8537.3	1	1	2.67	374
 Q5SUQ9 	 CST complex subunit CTC1 isoform a 	 Ctc1 	4.9	13863.8	1	1	1.82	1212
 Q7TMQ7 	 WD repeat-containing protein 91 	 Wdr91 	4.74	7792.8	1	1	2.01	748
 Q3TXT3 	 SOSS complex subunit C 	 Inip 	3.7	11637.3	2	1	8.65	104
 P56394 	 cytochrome c oxidase copper chaperone 	 Cox17 	7.11	23416.4	1	1	25.4	63
 Q4FZF3 	 probable ATP-dependent RNA helicase DDX49 	 Ddx49 	8.26	15851.1	2	1	2.29	480
 Q8BIX3 	 ARL14 effector protein 	 Arl14ep 	5.26	23556.6	2	1	5.8	276
 Q7TQK5 	 coiled-coil domain-containing protein 93 isoform a 	 Ccdc93 	1.7	9076.1	1	1	2.07	629
 Q8BG99 	 homeobox protein PKNOX2 	 Pknox2 	3.61	6171.4	2	1	1.69	474
 Q8R3F5 	" malonyl-CoA-acyl carrier protein transacylase, mitochondrial "	 Mcat 	9.52	23694.5	1	1	3.94	381
 Q99LY9 	 NADH dehydrogenase 	 Ndufs5 	2.94	11797.4	1	1	11.32	106
 Q3UV17 	" keratin, type II cytoskeletal 2 oral "	 Krt76 	4.23	64727.1	2	1	1.52	594
 Q3V1B8 	 galactose-3-O-sulfotransferase 4 	 Gal3st4 	3.54	10559.4	1	1	1.67	480
 Q3UD01 	 putative ataxin-7-like protein 3B 	 Atxn7l3b 	4.61	45606	3	1	20.62	97
 F8VQ29 	 ras GTPase-activating-like protein IQGAP3 	 Iqgap3 	2.08	18105.2	1	1	0.92	1632
 Q60929 	 myocyte-specific enhancer factor 2A isoform a 	 Mef2a 	3.41	35197.9	1	1	2.01	498
 Q8VDD8 	 WAS protein family homolog 1 	 Wash1 	7.31	16919.4	1	1	3.16	475
 Q9CRC9 	 glucosamine-6-phosphate isomerase 2 	 Gnpda2 	6.8	12171.9	1	1	4.35	276
 Q9JKK7 	 tropomodulin-2 	 Tmod2 	1.72	3423.5	1	1	1.99	351
 Q3UGR5 	 haloacid dehalogenase-like hydrolase domain-containing protein 2 	 Hdhd2 	8.23	18725.6	1	1	5.02	259
 Q8CBE3 	 WD repeat-containing protein 37 isoform a 	 Wdr37 	12.46	26474	1	1	3.02	496
 Q6ZWY8 	 thymosin beta-10 	 Tmsb10 	7.11	173796.6	3	1	31.82	44
 Q921L3 	 transmembrane and coiled-coil domain-containing protein 1 precursor 	 Tmco1 	6.97	31539.6	2	1	7.45	188
 Q9CPW2 	" adrenodoxin-like protein, mitochondrial precursor "	 Fdx1l 	5.24	18687.4	1	1	6.32	174
 Q3U1V6 	 ubiquitin-conjugating enzyme E2 variant 3 	 Uevld 	3.25	8046.5	1	1	2.34	471
 Q91W53 	 golgin subfamily A member 7 	 Golga7 	7.68	15607.2	1	1	10.95	137
 P17012 	 zinc finger X-chromosomal protein 	 Zfx 	1.89	17654	1	1	1.13	799
 P19426 	 negative elongation factor E 	 Nelfe 	10.07	21719	2	1	4.9	367
 D3Z0K6 	 round spermatid basic protein 1-like protein 	 Rsbn1l 	1.92	18018.2	2	1	1.46	821
 Q80TG1 	 KAT8 regulatory NSL complex subunit 1 	 Kansl1 	6.4	20473.5	1	1	2.03	1036
 Q9D818 	 suppressor APC domain-containing protein 2 isoform a 	 Sapcd2 	3.19	1723.5	1	1	4.71	425
 E9QAP7 	 transcription initiation factor TFIID subunit 4 	 Taf4 	3.86	9850.3	1	1	0.96	1042
 A6H619 	 PHD and RING finger domain-containing protein 1 	 Phrf1 	2.07	5727.1	2	1	0.59	1682
 B1AVZ0 	 uracil phosphoribosyltransferase homolog 	 Uprt 	5.9	26752.1	1	1	4.19	310
 Q8BHT6 	" beta-1,3-glucosyltransferase precursor "	 B3glct 	1.99	7661.2	1	1	2.66	489
 Q0VBF8 	 protein stum homolog 	 6330403A02Rik 	12.15	22326.2	1	1	12.06	141
 Q78T54 	 vacuolar ATPase assembly integral membrane protein Vma21 isoform 2 	 Vma21 	6.67	42348.7	4	1	11.88	101
 Q3TWF6 	 WD repeat-containing protein 70 	 Wdr70 	7.2	31873.3	1	1	1.98	657
 Q3U6Q4 	 phosphoinositide 3-kinase regulatory subunit 6 isoform 1 	 Pik3r6 	5.01	17756.1	1	1	1.85	756
 E9Q166 	 ATPase family AAA domain-containing protein 2B 	 Atad2b 	3.26	14914.7	1	1	0.68	1460
 Q80XC2 	 tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A 	 Trmt61a 	3.93	60928.6	2	1	4.83	290
 L7N2B1 	 vomeronasal receptor Vmn2r20 precursor 	 Vmn2r20 	1.78	17377.7	2	1	0.94	853
 P97303 	 transcription regulator protein BACH2 	 Bach2 	7.06	25911.4	3	1	2.03	839
 O35900 	 U6 snRNA-associated Sm-like protein LSm2 isoform 2 	 Lsm2 	5.17	15363.8	2	1	20	95
 P97808 	 FXYD domain-containing ion transport regulator 5 isoform a 	 Fxyd5 	3.86	9772.9	1	1	10.67	178
 Q9Z0M5 	 lysosomal acid lipase/cholesteryl ester hydrolase precursor 	 Lipa 	5.65	37661.6	2	1	2.52	397
 B1ARV6 	 novel preferentially expressed antigen in melanoma (Prame) protein 	 Gm13125 	2.35	337619.3	4	1	2.1	477
 Q8BR65 	 sin3 histone deacetylase corepressor complex component SDS3 isoform 	 Suds3 	6.9	8050.9	1	1	4.52	332
 Q9D8C9 	 purine-nucleoside phosphorylase 2 	 Pnp2 	8.93	27750.6	2	1	3.93	305
 P0C8B4 	 uncharacterized protein C14orf142 homolog 	 AK010878 	10.52	38809.1	2	1	21.43	98
 Q0WXH7 	" histocompatibility 2, Q region locus 4 precursor "	 H2-Q4 	2.67	15100	1	1	3.95	354
 Q99LI8 	 hepatocyte growth factor-regulated tyrosine kinase substrate 	 Hgs 	4.24	38116.6	2	1	1.68	776
 Q3UH60 	 disco-interacting protein 2 homolog B isoform 1 	 Dip2b 	6.77	47866.3	3	1	1.14	1574
 Q61179 	 interferon regulatory factor 9 isoform 1 	 Irf9 	6.84	49145.6	3	1	3.87	465
 P36993 	 protein phosphatase 1B isoform 4 	 Ppm1b 	4.36	10996.4	1	1	3.31	393
 P35545 	 40S ribosomal protein S30 precursor 	 Fau 	7.01	197007.9	6	1	7.52	133
 Q08024 	 core-binding factor subunit beta isoform 4 	 Cbfb 	6.49	26494	1	1	5.49	182
 Q9R112 	" sulfide:quinone oxidoreductase, mitochondrial "	 Sqrdl 	7.02	45407.1	3	1	3.11	450
 G3XA30 	 non-structural maintenance of chromosomes element 4 homolog A 	 Nsmce4a 	4.99	2912.3	1	1	4.46	381
 Q9QYY8 	 spastin isoform 1 	 Spast 	9.89	22535.5	1	1	2.44	614
 Q7TNS2 	 MICOS complex subunit Mic10 	 Minos1 	4.17	19821.7	1	1	10.53	76
 Q3UDK1 	 TRAF-type zinc finger domain-containing protein 1 isoform 1 	 Trafd1 	4.87	18933.1	3	1	3.62	580
 Q3TRY9 	 receptor-type tyrosine-protein phosphatase alpha isoform 2 	 Ptpra 	6.27	17066.5	2	1	1.39	793
 Q64253 	 lymphocyte antigen 6E precursor 	 Ly6e 	5.5	27843.5	2	1	10.29	136
 Q9QYB5 	 gamma-adducin isoform a 	 Add3 	1.76	4100.3	1	1	2.83	706
 Q9WU00 	 nuclear respiratory factor 1 isoform a 	 Nrf1 	3.67	32927	1	1	2.39	503
 G5E8R1 	 tropomyosin alpha-1 chain isoform Tpm1.8cy 	 Tpm1 	8.39	22450.6	1	1	4.84	248
 P0DJF2 	" protein PET117 homolog, mitochondrial precursor "	 Pet117 	4.79	22093.3	1	1	12.5	80
 Q8QZZ7 	 EKC/KEOPS complex subunit Tprkb 	 Tprkb 	7.11	15658.2	2	1	6.29	175
 Q99LI2 	 chloride channel CLIC-like protein 1 isoform 2 precursor 	 Clcc1 	6.23	11424.7	1	1	2.41	539
 A2ADH1 	 magnesium transporter protein 1 	 Magt1 	3.97	9479.3	1	1	2.72	368
 P62484 	 abl interactor 2 isoform 1 	 Abi2 	3.85	38372.1	2	1	3.08	487
 Q8K209 	 G-protein coupled receptor 56 precursor 	 Adgrg1 	6.69	35534.5	2	1	1.6	687
 Q3UA16 	 kinetochore protein Spc25 isoform 1 	 Spc25 	6.58	18015.7	1	1	4.87	226
 P13864 	 DNA (cytosine-5)-methyltransferase 1 isoform 1 	 Dnmt1 	12.26	46888.3	2	1	1.11	1620
 D3Z4S3 	 putative peptidyl-tRNA hydrolase PTRHD1 	 Ptrhd1 	4.96	9408.6	1	1	6.43	140
 Q9DCJ1 	 target of rapamycin complex subunit LST8 isoform 1 	 Mlst8 	4.85	13044.8	3	1	5.52	326
 Q91YI4 	 beta-arrestin-2 isoform a 	 Arrb2 	4.69	19015.6	1	1	3.09	421
 P60904 	 dnaJ homolog subfamily C member 5 	 Dnajc5 	4.82	31092.8	2	1	17.17	198
 Q8BSP2 	 condensin-2 complex subunit H2 isoform c 	 Ncaph2 	7.08	22325.1	3	1	3.29	608
 Q9CQ37 	 ubiquitin-conjugating enzyme E2 T 	 Ube2t 	1.87	4149	1	1	6.37	204
 O35226 	 26S proteasome non-ATPase regulatory subunit 4 isoform 1 	 Psmd4 	14.22	29262.8	1	1	7.39	379
 Q9CQ80 	 vacuolar protein-sorting-associated protein 25 isoform 1 	 Vps25 	6.59	9555.4	1	1	10.33	184
 Q8CFI5 	" probable proline--tRNA ligase, mitochondrial isoform 1 "	 Pars2 	6.27	10399.5	1	1	4.21	475
 Q8C1M2 	 zinc finger protein 428 isoform a 	 Zfp428 	4.89	64080.8	3	1	8.99	189
 Q8R2T8 	 general transcription factor 3C polypeptide 5 isoform a 	 Gtf3c5 	7.58	27638.3	2	1	2.5	520
 Q8CGY8 	 UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 	 Ogt 	6.97	25811.9	2	1	1.83	1036
 Q9EPK2 	 protein XRP2 isoform a 	 Rp2 	4.38	11032.2	1	1	2.88	347
 Q08639 	 transcription factor Dp-1 isoform a 	 Tfdp1 	6.12	24488.6	1	1	2.68	410
 Q8K2A7 	 integrator complex subunit 10 isoform 1 	 Ints10 	4.88	14426	1	1	1.49	736
 P54726 	 UV excision repair protein RAD23 homolog A isoform 1 	 Rad23a 	1.74	9278.8	1	1	2.48	363
 P22892 	 AP-1 complex subunit gamma-1 isoform 2 	 Ap1g1 	5.93	36544.7	2	1	1.58	822
 Q9ERI2 	 ras-related protein Rab-27A 	 Rab27a 	6.29	16656.1	1	1	4.98	221
 Q60772 	 cyclin-dependent kinase 4 inhibitor C 	 Cdkn2c 	10.64	22482.2	1	1	7.74	168
 P51163 	 uroporphyrinogen-III synthase isoform 1 	 Uros 	6.24	25382.1	2	1	5.66	265
 A0A286YDU3 	 AP-3 complex subunit sigma-1 isoform 2 	 Ap3s1 	8.93	25553.9	2	1	9.26	162
 P05063 	 fructose-bisphosphate aldolase C 	 Aldoc 	3.62	14718.6	3	1	5.79	363
 Q60866 	 phosphotriesterase-related protein isoform 1 	 Pter 	7.68	54103.6	3	1	4.16	361
 Q6P3A8 	" 2-oxoisovalerate dehydrogenase subunit beta, mitochondrial isoform "	 Bckdhb 	5.82	71994.7	3	1	3.33	390
 A2RSY1 	 KAT8 regulatory NSL complex subunit 3 isoform 1 	 Kansl3 	6.65	9988.7	2	1	1.55	903
 Q9Z2K1 	" keratin, type I cytoskeletal 16 isoform 1 "	 Krt16 	4.51	21965.9	1	1	2.34	470
 P11438 	 lysosome-associated membrane glycoprotein 1 isoform 1 precursor 	 Lamp1 	4.29	24813.7	1	1	2.95	407
 P47915 	 60S ribosomal protein L29 	 Rpl29 	3.34	42545.8	3	1	5	160
 O88512 	 AP-1 complex subunit gamma-like 2 isoform 1 	 Ap1g2 	8.08	21571.1	3	1	2.65	791
 P61967 	 AP-1 complex subunit sigma-1A 	 Ap1s1 	11.34	23827.3	1	1	10.13	158
 O35841 	 apoptosis inhibitor 5 isoform 2 	 Api5 	7.43	22149.2	1	1	2.38	504
 P81269 	 cyclic AMP-dependent transcription factor ATF-1 	 Atf1 	3.56	12670.5	2	1	9.67	269
 O08734 	 bcl-2 homologous antagonist/killer 	 Bak1 	6.9	49603.4	2	1	5.26	209
 P24288 	" branched-chain-amino-acid aminotransferase, cytosolic isoform 2 "	 Bcat1 	7.44	18429.3	1	1	3.63	386
 P18181 	 CD48 antigen precursor 	 Cd48 	11.3	68890.8	2	1	6.67	240
 O35648 	 centrin-3 	 Cetn3 	9.01	24832.5	1	1	11.98	167
 P63040 	 complexin-1 	 Cplx1 	5.72	30260.6	2	1	8.21	134
