GeneName	ProteinName	UniprotID	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 A430005L14Rik 	 UPF0688 protein C1orf174 homolog isoform 1 	 Q80WR5 	3.51	1195.9	1	1	4.35	230
 Higd1a 	" HIG1 domain family member 1A, mitochondrial "	 Q9JLR9 	3.59	1324.3	1	1	18.95	95
 Serhl 	 serine hydrolase-like protein 	 Q9EPB5 	1.9	1849.3	1	1	2.89	311
 Tbpl1 	 TATA box-binding protein-like protein 1 	 P62340 	3.29	2590.5	1	1	9.14	186
 Cenpk 	 centromere protein K isoform 1 	 Q9ESN5 	3.6	2801.2	1	1	3.27	306
 Rpp25l 	 ribonuclease P protein subunit p25-like protein 	 Q99JH1 	4.05	2848.5	1	1	14.11	163
 Gvin1 	 interferon-induced very large GTPase 1 	 L7N451 	1.72	2909.9	1	1	0.54	2427
 Wdr59 	 WD repeat-containing protein 59 isoform 1 	 Q8C0M0 	1.89	2954.7	1	1	1.41	993
 Arfrp1 	 ADP-ribosylation factor-related protein 1 isoform 1 	 Q8BXL7 	6.39	3078.3	1	1	6.47	201
 Arl1 	 ADP-ribosylation factor-like protein 1 	 P61211 	2.63	3149.9	1	1	7.73	181
 Kbtbd2 	 kelch repeat and BTB domain-containing protein 2 	 G3X9X1 	2.76	3166.8	1	1	3.37	623
 Fam98a 	 protein FAM98A 	 Q3TJZ6 	3.76	3208.6	1	1	2.91	515
 Abi2 	 PREDICTED: abl interactor 2 isoform X2 	 nan 	4.53	3243.1	1	1	2.03	541
 Psmf1 	 proteasome inhibitor PI31 subunit isoform 1 	 Q8BHL8 	1.87	3394.2	1	1	7.38	271
 Stx2 	 syntaxin-2 isoform a 	 Q80W45 	4.24	3466.2	1	1	4.5	289
 Ankrd28 	 serine/threonine-protein phosphatase 6 regulatory ankyrin repeat 	 Q505D1 	5.96	3627.2	1	1	1.61	1053
 Carnmt1 	 carnosine N-methyltransferase 	 Q80UY1 	3.62	3709.3	1	1	2.75	400
 Smad4 	 mothers against decapentaplegic homolog 4 	 P97471 	4.35	3745.5	1	1	4.17	551
 Nudt1 	" 7,8-dihydro-8-oxoguanine triphosphatase precursor "	 P53368 	3.86	3767.5	1	1	9.62	156
 Fbxo6 	 F-box only protein 6 	 Q9QZN4 	2.28	3776.3	1	1	3.39	295
 Sqrdl 	" sulfide:quinone oxidoreductase, mitochondrial "	 Q9R112 	3.84	3797.1	1	1	3.11	450
 Edem2 	 ER degradation-enhancing alpha-mannosidase-like protein 2 precursor 	 Q8BJT9 	3.11	3865.5	1	1	3.64	577
 F8a 	 factor VIII intron 22 protein 	 Q9JJQ6 	4.04	3897.6	2	1	2.89	381
