UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
B1AVZ0	UPP	 uracil phosphoribosyltransferase homolog 	Uprt	3844	2.79	2833.0	1	1	6.13	310
Q3KNM2	MARH5	 E3 ubiquitin-protein ligase MARCH5 isoform 1 	5-Mar	3540	3.77	3123.1	1	1	5.76	278
P13634	CAH1	 carbonic anhydrase 1 	Car1	3534	3.80	3388.5	1	1	4.60	261
Q9D1J1	NECP2	 adaptin ear-binding coat-associated protein 2 	Necap2	3872	2.67	4062.7	1	1	10.15	266
Q8VC60	GLB1L	 beta-galactosidase-1-like protein precursor 	Glb1l	3758	2.99	4340.2	1	1	3.56	646
Q9D7E4	CS025	 UPF0449 protein C19orf25 homolog 	2310011J03Rik	4054	1.88	4402.4	1	1	21.10	109
nan		 PREDICTED: nucleolar protein 56 isoform X1 	Nop56	4001	2.03	4923.8	1	1	5.03	477
Q61818	RAI1	 retinoic acid-induced protein 1 	Rai1	3199	5.16	5203.9	1	1	1.06	1889
Q8VEM1	GOLI	 E3 ubiquitin-protein ligase RNF130 isoform 3 precursor 	Rnf130	3893	2.60	6324.5	1	1	4.30	419
O54826	AF10	 protein AF-10 isoform 1 	Mllt10	3424	4.25	6947.5	1	1	1.87	1068
P83877	TXN4A	 thioredoxin-like protein 4A isoform a 	Txnl4a	3884	2.64	8934.3	1	1	8.45	142
Q80XL6	ACD11	 acyl-CoA dehydrogenase family member 11 	Acad11	3649	3.35	8969.2	2	1	2.18	779
Q9D1L9	LTOR5	 ragulator complex protein LAMTOR5 	Lamtor5	3795	2.93	9040.7	1	1	13.79	145
Q9JJQ6	Q9JJQ6	 factor VIII intron 22 protein 	F8a	3953	2.27	9576.5	1	1	2.89	381
Q80X32	CE024	 UPF0461 protein C5orf24 homolog 	B230219D22Rik	3210	5.12	9916.6	2	2	20.21	188
P04247	MYG	 myoglobin 	Mb	2653	7.67	10026.6	1	1	9.09	154
Q3UA16	SPC25	 kinetochore protein Spc25 isoform 1 	Spc25	3954	2.27	10205.7	1	1	4.87	226
O09111	NDUBB	 NADH dehydrogenase 	Ndufb11	3281	4.90	10309.8	1	1	11.26	151
Q3U1V6	UEVLD	 ubiquitin-conjugating enzyme E2 variant 3 	Uevld	3869	2.68	10821.5	1	1	3.40	471
Q9CQ39	MED21	 mediator of RNA polymerase II transcription subunit 21 	Med21	3963	2.22	10874.9	1	1	13.89	144
P50428	ARSA	 arylsulfatase A precursor 	Arsa	3868	2.69	10934.1	1	1	3.75	506
Q8C2B3	HDAC7	 histone deacetylase 7 isoform 1 	Hdac7	3802	2.91	11150.7	1	1	1.36	953
P0DOV1	IFI5B	 interferon-activable protein 205-B isoform 1 	Mnda	3981	2.13	11232.8	1	1	2.82	425
O55234	PSB5	 proteasome subunit beta type-5 	Psmb5	2848	6.53	11315.5	1	1	5.30	264
Q9D7N6	RM30	" 39S ribosomal protein L30, mitochondrial precursor "	Mrpl30	3678	3.19	11400.8	1	1	10.62	160
O35593	PSDE	 26S proteasome non-ATPase regulatory subunit 14 	Psmd14	2619	7.89	12013.0	1	1	8.39	310
Q9JI75	NQO2	 ribosyldihydronicotinamide dehydrogenase 	Nqo2	3082	5.53	12023.2	1	1	4.76	231
P61979	HNRPK	 heterogeneous nuclear ribonucleoprotein K isoform 1 	Hnrnpk	3705	3.08	12028.7	1	1	7.76	464
Q8C263	SKA3	 spindle and kinetochore-associated protein 3 	Ska3	4027	1.95	12396.2	1	1	3.41	411
Q8R0J2	Q8R0J2	 mannose-P-dolichol utilization defect 1 protein isoform 1 	Mpdu1	3361	4.51	12602.5	1	1	4.45	247
Q9DCX1	MD2BP	 MAD2L1-binding protein 	Mad2l1bp	3533	3.82	12614.0	1	1	6.16	276
Q8CFE6	S38A2	 sodium-coupled neutral amino acid transporter 2 	Slc38a2	3859	2.73	12872.6	1	1	4.17	504
Q8CHT3	INT5	 integrator complex subunit 5 	Ints5	3688	3.14	12919.3	1	1	1.08	1018
Q9WTK7	STK11	 serine/threonine-protein kinase STK11 isoform L 	Stk11	3725	3.03	13019.7	1	1	3.21	436
Q9D083	SPC24	 kinetochore protein Spc24 	Spc24	2286	9.95	13047.0	1	1	8.46	201
Q91YP0	L2HDH	" L-2-hydroxyglutarate dehydrogenase, mitochondrial precursor "	L2hgdh	3407	4.32	13429.8	1	1	2.59	464
