UniprotID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q8C0S1 	 DIS3-like exonuclease 1 isoform 1 	 Dis3l 	4206	2.89	317039.9	8	8	9.78	1053
 Q6IRU2 	 tropomyosin alpha-4 chain 	 Tpm4 	3623	5.32	109558.8	3	2	16.13	248
 Q3TNL8 	" inositol 1,4,5-trisphosphate receptor-interacting protein precursor "	 Itprip 	1782	16.30	340508.1	5	5	12.43	555
 Q6EJB6 	 U3 small nucleolar RNA-associated protein 14 homolog B 	 Utp14b 	2680	9.38	70647.3	3	3	7.56	780
 P59997 	 lysine-specific demethylase 2A 	 Kdm2a 	3880	4.31	651865.3	9	8	10.34	1161
 P48678 	 prelamin-A/C isoform A precursor 	 Lmna 	3402	6.03	343976.9	7	4	9.02	665
 Q6ZWZ7 	 60S ribosomal protein L17 	 Rpl17 	258	63.75	4030079.9	53	12	42.93	184
 P61406 	 telomerase-binding protein EST1A 	 Smg6 	916	29.57	520458.8	14	11	11.78	1418
 Q68FD5 	 clathrin heavy chain 1 	 Cltc 	21	175.08	4332236.6	64	31	25.01	1675
 Q6A4J8 	 ubiquitin carboxyl-terminal hydrolase 7 	 Usp7 	112	94.93	2222920.4	44	21	27.20	1103
 Q9ES97 	 reticulon-3 isoform 1 	 Rtn3 	2752	9.04	424454.3	8	6	10.27	964
 Q6P1G2 	 lysine-specific demethylase 2B isoform 1 	 Kdm2b 	4152	3.11	223856.6	8	5	5.81	1309
 Q8R361 	 rab11 family-interacting protein 5 isoform 1 	 Rab11fip5 	3766	4.78	436044.5	8	7	10.09	1318
 Q3V1H1 	 cytoskeleton-associated protein 2 	 Ckap2 	2223	12.24	383459.8	7	6	14.01	664
 Q68FF6 	 ARF GTPase-activating protein GIT1 	 Git1 	1753	16.66	366929.9	6	4	9.48	770
 Q5U4C1 	 G-protein coupled receptor-associated sorting protein 1 	 Gprasp1 	2450	10.76	781250.8	14	8	8.09	1347
 Q7SIG6 	" arf-GAP with SH3 domain, ANK repeat and PH domain-containing "	 Asap2 	3755	4.81	283636.6	9	8	12.77	955
 Q65Z40 	 wings apart-like protein homolog isoform 1 	 Wapl 	395	51.48	1566292.1	36	21	22.50	1200
 Q9CQK1 	 zinc finger HIT domain-containing protein 3 	 Znhit3 	4148	3.13	122079.5	4	4	33.11	151
 Q6PAM1 	 alpha-taxilin 	 Txlna 	1671	17.45	591146.5	9	8	22.92	554
 Q640N3 	 rho GTPase-activating protein 30 	 Arhgap30 	1576	18.58	1178247.6	29	13	12.72	1093
 Q8BJW6 	 eukaryotic translation initiation factor 2A 	 Eif2a 	2071	13.58	372449.0	8	7	19.45	581
 Q6ZWQ0 	 nesprin-2 	 Syne2 	1189	24.31	2482454.2	61	52	11.42	6874
 A2RTL5 	 arginine/serine-rich coiled-coil protein 2 	 Rsrc2 	3214	6.73	439017.1	7	6	14.52	434
 Q64191 	 N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase isoform 1 	 Aga 	3956	3.96	42323.5	1	1	4.91	346
 Q80TH2 	 protein LAP2 isoform 1 	 Erbb2ip 	676	37.42	949135.5	16	9	9.59	1450
 Q7TPE5 	 probable RNA polymerase II nuclear localization protein SLC7A6OS 	 Slc7a6os 	3606	5.39	178106.7	4	3	14.05	306
 Q5U452 	 TP53-regulating kinase 	 Trp53rka 	2568	10.02	185270.7	4	2	11.48	244
 B1AXD8 	 akirin-2 	 Akirin2 	4046	3.63	75912.4	1	1	5.97	201
 Q5RJG1 	 nucleolar protein 10 	 Nol10 	3160	6.92	329428.9	9	8	15.14	687
 Q5U4C3 	" splicing factor, arginine/serine-rich 19 "	 Scaf1 	2845	8.42	342061.9	8	7	7.72	1256
 Q5U4D9 	 THO complex subunit 6 homolog 	 Thoc6 	3645	5.22	20466.7	2	2	10.85	341
 A2AF47 	 dedicator of cytokinesis protein 11 	 Dock11 	289	60.15	1176273.1	25	18	12.83	2073
 Q5PSV9 	 mediator of DNA damage checkpoint protein 1 	 Mdc1 	438	48.97	1303031.6	22	15	14.58	1708
 Q91XB0 	 three-prime repair exonuclease 1 	 Trex1 	2829	8.54	66435.3	2	2	12.42	314
 Q5NCR9 	 nuclear speckle splicing regulatory protein 1 	 Nsrp1 	2893	8.16	343661.1	9	5	12.55	542
 Q7TMQ7 	 WD repeat-containing protein 91 	 Wdr91 	2937	7.90	146678.9	4	2	3.88	748
 Q5EG47 	 5'-AMP-activated protein kinase catalytic subunit alpha-1 	 Prkaa1 	1612	18.23	177771.0	4	4	10.20	559
 Q3UIR3 	 E3 ubiquitin-protein ligase DTX3L 	 Dtx3l 	988	27.96	936600.2	17	12	20.99	748
 Q5SSI6 	 U3 small nucleolar RNA-associated protein 18 homolog 	 Utp18 	2094	13.36	272988.3	7	5	14.49	552
 Q6NVF9 	 cleavage and polyadenylation specificity factor subunit 6 isoform 2 	 Cpsf6 	791	33.15	2294421.9	14	4	11.07	551
 Q3TXT3 	 SOSS complex subunit C 	 Inip 	4357	2.31	181457.9	5	3	27.88	104
 P60330 	 separin 	 Espl1 	3312	6.31	343099.9	8	6	2.97	2118
 A2ADY9 	 protein DDI1 homolog 2 	 Ddi2 	1222	23.78	472440.9	8	6	25.56	399
 O70494 	 transcription factor Sp3 isoform 1 	 Sp3 	3920	4.12	202672.4	11	2	3.45	783
 Q5F2E7 	 nuclear fragile X mental retardation-interacting protein 2 	 Nufip2 	3098	7.13	299932.1	5	4	8.24	692
 Q8BZJ7 	 DCN1-like protein 2 isoform a 	 Dcun1d2 	4197	2.93	57241.5	2	2	10.81	259
 Q505D1 	 serine/threonine-protein phosphatase 6 regulatory ankyrin repeat 	 Ankrd28 	1534	19.07	807888.4	11	5	7.88	1053
 Q504M2 	 pyruvate dehydrogenase 	 Pdp2 	3408	6.00	285990.7	5	4	11.28	532
 Q5U3K5 	 rab-like protein 6 	 Rabl6 	2201	12.40	217834.1	5	4	10.76	725
 Q6P8I4 	 PEST proteolytic signal-containing nuclear protein 	 Pcnp 	1490	19.55	686308.6	10	6	37.08	178
 P53569 	 CCAAT/enhancer-binding protein zeta 	 Cebpz 	974	28.27	1343415.8	20	14	19.49	1052
 Q9WV98 	 mitochondrial import inner membrane translocase subunit Tim9 	 Timm9 	2851	8.39	214223.1	3	1	16.85	89
 Q4FZF3 	 probable ATP-dependent RNA helicase DDX49 	 Ddx49 	3273	6.47	112072.8	3	3	9.58	480
 Q4VGL6 	 roquin-1 	 Rc3h1 	4027	3.71	265175.8	6	6	8.94	1130
 P16951 	 cyclic AMP-dependent transcription factor ATF-2 isoform 1 	 Atf2 	3830	4.49	167915.4	5	3	10.88	487
 Q8BIX3 	 ARL14 effector protein 	 Arl14ep 	3745	4.85	412924.1	6	5	18.84	276
 Q7TQK5 	 coiled-coil domain-containing protein 93 isoform a 	 Ccdc93 	1972	14.52	384251.7	9	8	15.58	629
 Q4QQM4 	 tumor protein p53-inducible protein 11 	 Trp53i11 	2968	7.74	90086.1	2	1	7.94	189
 O54786 	 DNA fragmentation factor subunit alpha isoform a 	 Dffa 	2699	9.29	427020.4	8	6	20.24	331
 Q80U04 	 E3 ubiquitin-protein ligase Praja-2 isoform a 	 Pja2 	4193	2.94	72006.5	3	3	5.23	707
 Q7M702 	 kinesin light chain 1 isoform 1B 	 Klc1 	4170	3.02	293192.0	8	6	12.16	551
 Q9ERF3 	 WD repeat-containing protein 61 isoform a 	 Wdr61 	913	29.64	630748.1	7	4	24.59	305
 P17182 	" enolase 1B, retrotransposed "	 Eno1b 	67	119.73	5922492.6	189	25	65.44	434
 Q8K019 	 bcl-2-associated transcription factor 1 isoform 1 	 Bclaf1 	795	33.04	1450261.2	30	17	20.89	919
 F8VPR5 	 CREB-binding protein 	 Crebbp 	1587	18.44	810606.9	17	15	7.33	2441
 B2RUR8 	 OTU domain-containing protein 7B 	 Otud7b 	3821	4.54	742848.0	14	7	10.83	840
 Q3T9Y0 	" phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit "	 Pik3cd 	2332	11.47	404616.8	7	5	6.21	1047
