UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
P59759	MRTFB	 MKL/myocardin-like protein 2 isoform 1 	Mkl2	4183	2.55	3046.1	1	1	1.39	1080
Q9ERA0	TFCP2	 alpha-globin transcription factor CP2 isoform 1 	Tfcp2	4396	1.65	3875.2	1	1	2.39	502
Q3UMW7	MAPK3	 MAP kinase-activated protein kinase 3 isoform 1 	Mapkapk3	4024	3.44	4157.7	1	1	3.12	384
Q9JLI0	Q9JLI0	" aldo-keto reductase family 1, member C12 "	Akr1c12	4364	1.72	4941.6	1	1	5.88	323
Q62315	JARD2	 protein Jumonji 	Jarid2	4107	3.01	5365.4	1	1	1.54	1234
Q62192	CD180	 CD180 antigen precursor 	Cd180	3663	5.17	5400.7	1	1	2.42	661
P56565	S10A1	 protein S100-A1 	S100a1	3874	4.35	5978.7	1	1	22.34	94
Q9QWV9	CCNT1	 cyclin-T1 	Ccnt1	4118	2.96	6208.3	1	1	3.59	724
Q02526	ZFP41	 zinc finger protein 41 	Zfp41	3469	5.97	6237.1	1	1	7.07	198
P55012	S12A2	 solute carrier family 12 member 2 	Slc12a2	3846	4.44	6310.1	1	1	1.41	1206
Q9D7E4	CS025	 UPF0449 protein C19orf25 homolog 	2310011J03Rik	3376	6.40	6829.0	1	1	21.10	109
Q8CB44	GRAM4	 GRAM domain-containing protein 4 isoform 1 	Gramd4	4253	2.07	7014.0	1	1	2.69	633
Q99N92	RM27	" 39S ribosomal protein L27, mitochondrial "	Mrpl27	4145	2.82	7050.6	1	1	7.43	148
Q9Z223	MOC2B	 molybdopterin synthase sulfur carrier subunit isoform Mocs2A 	Mocs2	3806	4.60	7166.3	1	1	11.36	88
O88396	GRPE2	" grpE protein homolog 2, mitochondrial precursor "	Grpel2	4369	1.71	7523.9	1	1	4.91	224
Q8R2N2	UTP4	 U3 small nucleolar RNA-associated protein 4 homolog 	Cirh1a	3318	6.59	7556.0	1	1	1.60	686
Q7TS74	CKP2L	 cytoskeleton-associated protein 2-like 	Ckap2l	3062	7.72	7834.1	1	1	3.22	745
Q9DCU6	RM04	" 39S ribosomal protein L4, mitochondrial "	Mrpl4	3517	5.77	7925.3	1	1	3.74	294
Q64705	USF2	 upstream stimulatory factor 2 	Usf2	4216	2.32	8017.2	1	1	6.94	346
Q80VY9	DHX33	 putative ATP-dependent RNA helicase DHX33 	Dhx33	4110	2.97	8027.4	1	1	1.72	698
Q9JHN8	STK19	 serine/threonine-protein kinase 19 	Stk19	4358	1.73	8122.9	1	1	5.12	254
