UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
P60710	ACTB	"actin, cytoplasmic 1"	Actb	29	212.97	30862728.3	303	33	74.13	375
Q8VDD5	MYH9	myosin-9	Myh9	2	649.27	18414331.0	250	103	53.16	1960
C0HKE1	H2A1B	histone H2A type 1	Hist1h2ao	615	56.21	16012036.8	187	7	58.46	130
P11499	HS90B	heat shock protein HSP 90-beta	Hsp90ab1	13	305.55	15307004.3	167	56	62.29	724
P26039	TLN1	talin-1	Tln1	1	680.33	14433187.5	247	92	52.77	2541
P63017	HSP7C	heat shock cognate 71 kDa protein	Hspa8	20	241.35	13389555.1	166	38	58.36	646
P99024	TBB5	tubulin beta-5 chain	Tubb5	44	183.44	12677489.2	129	23	68.47	444
P63101	1433Z	14-3-3 protein zeta/delta isoform 1	Ywhaz	89	142.81	12512003.4	101	24	68.16	245
P05213	TBA1B	tubulin alpha-1B chain	Tuba1b	101	136.44	12204514.6	110	22	57.87	451
P16858	G3P	glyceraldehyde-3-phosphate dehydrogenase isoform 1	Gapdh	134	119.73	12202262.1	86	18	49.30	359
P17742	PPIA	peptidyl-prolyl cis-trans isomerase A	Ppia	253	90.55	12166994.2	90	16	79.88	164
P10126	EF1A1	elongation factor 1-alpha 1	Eef1a1	64	162.44	12003856.0	104	24	40.69	462
O88569	ROA2	PREDICTED: heterogeneous nuclear ribonucleoproteins A2/B1 isoform	Hnrnpa2b1	83	146.39	11744975.4	103	26	61.47	353
Q8BTM8	FLNA	PREDICTED: filamin-A isoform X1	Flna	3	577.74	11401530.8	222	100	54.97	2647
P17182	ENOA	"enolase 1B, retrotransposed"	Eno1b	31	201.30	11281074.5	125	27	70.51	434
P47738	ALDH2	"aldehyde dehydrogenase, mitochondrial isoform 1 precursor"	Aldh2	25	222.11	10946629.7	133	29	56.65	519
Q61233	PLSL	plastin-2	Lcp1	16	255.53	10721296.2	124	38	67.62	627
P61979	HNRPK	heterogeneous nuclear ribonucleoprotein K isoform 2	Hnrnpk	61	163.44	10359345.9	100	24	55.29	463
Q01853	TERA	transitional endoplasmic reticulum ATPase	Vcp	10	339.44	10104131.7	138	53	64.39	806
nan		PREDICTED: nuclear mitotic apparatus protein 1 isoform X1	Numa1	4	561.45	9582902.0	180	90	48.24	2108
P56480	ATPB	"ATP synthase subunit beta, mitochondrial precursor"	Atp5b	19	243.00	9498661.8	101	28	71.46	529
P17751	TPIS	triosephosphate isomerase	Tpi1	54	168.09	9459310.8	104	20	71.24	299
P20152	VIME	vimentin	Vim	18	243.31	9252733.7	130	43	76.61	466
Q8BG05	ROA3	heterogeneous nuclear ribonucleoprotein A3 isoform c	Hnrnpa3	115	127.34	9213898.3	93	23	44.54	357
P52480	KPYM	pyruvate kinase PKM isoform M2	Pkm	35	197.25	9108683.1	80	31	60.83	531
P00920	CAH2	carbonic anhydrase 2	Car2	125	122.53	8709545.4	111	17	74.62	260
P09405	NUCL	nucleolin	Ncl	198	101.75	8707295.1	88	27	29.42	707
P14733	LMNB1	lamin-B1	Lmnb1	17	249.45	8406714.1	102	46	64.46	588
nan		"PREDICTED: spectrin alpha chain, non-erythrocytic 1 isoform X2"	Sptan1	5	489.63	8299518.9	161	93	43.51	2505
P18760	COF1	cofilin-1	Cfl1	123	123.48	8070894.9	93	20	81.93	166
P07901	HS90A	heat shock protein HSP 90-alpha	Hsp90aa1	103	135.22	8062763.7	82	28	35.88	733
Q6ZWY9	H2B1C	histone H2B type 1-C/E/G	Hist1h2be	290	83.78	8032415.8	81	15	58.73	126
