UniprotID	ProteinName	GeneName	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Q8C0S1 	 DIS3-like exonuclease 1 isoform 1 	 Dis3l 	6.91	165205.3	7	5	7.03	1053
 Q6IRU2 	 tropomyosin alpha-4 chain 	 Tpm4 	4.81	59905.7	3	3	15.73	248
 Q3TNL8 	" inositol 1,4,5-trisphosphate receptor-interacting protein precursor "	 Itprip 	8.51	89994	3	3	6.67	555
 P59997 	 lysine-specific demethylase 2A 	 Kdm2a 	16.17	288484.7	12	10	13.01	1161
 P17156 	 heat shock-related 70 kDa protein 2 	 Hspa2 	26.86	764907.8	16	9	15.8	633
 Q6ZWZ7 	 60S ribosomal protein L17 	 Rpl17 	48.13	2362481.9	46	9	41.85	184
 Q6DIC6 	 trophinin isoform 1 	 Tro 	1.81	137720.1	5	3	1.58	2087
 P61406 	 telomerase-binding protein EST1A 	 Smg6 	7.57	374802.5	11	10	9.03	1418
 Q6BCL1 	 PML-RARA-regulated adapter molecule 1 	 Pram1 	3.7	153379.8	5	3	6.07	675
 Q8R480 	 nuclear pore complex protein Nup85 	 Nup85 	5.7	261594	7	6	13.87	656
 Q6IFZ6 	" keratin, type II cytoskeletal 1b "	 Krt77 	6.28	123472.3	4	3	4.9	572
 Q6GYP7 	 ral GTPase-activating protein subunit alpha-1 isoform 3 	 Ralgapa1 	5.68	58126.6	4	3	1.68	2083
 Q68FD5 	 clathrin heavy chain 1 	 Cltc 	247.89	4500525.9	117	49	37.67	1675
 Q68FL6 	" methionine--tRNA ligase, cytoplasmic isoform 2 "	 Mars 	69.76	1096157.4	32	17	25.72	902
 Q6AXC6 	 probable ATP-dependent DNA helicase DDX11 	 Ddx11 	3.34	74149.3	5	4	6.59	880
 Q6P1G2 	 lysine-specific demethylase 2B isoform 1 	 Kdm2b 	4.13	166914.7	5	4	3.9	1309
 Q3V1H1 	 cytoskeleton-associated protein 2 	 Ckap2 	3.01	213938.2	10	8	10.69	664
 Q65Z40 	 wings apart-like protein homolog isoform 1 	 Wapl 	40.85	702617	25	15	16.42	1200
 Q3TAA8 	 phosphatidylinositol glycan anchor biosynthesis class U protein 	 Pigu 	6.42	50567.9	2	1	3.91	435
 Q9CQK1 	 zinc finger HIT domain-containing protein 3 	 Znhit3 	3.1	51510.7	1	1	7.28	151
 Q6PDY2 	 2-aminoethanethiol dioxygenase 	 Ado 	7.47	82945	4	3	18.75	256
 Q6PAM1 	 alpha-taxilin 	 Txlna 	54.26	644076.6	26	12	37.36	554
 Q640N3 	 rho GTPase-activating protein 30 	 Arhgap30 	5.39	112329.5	4	4	4.94	1093
 Q8BJW6 	 eukaryotic translation initiation factor 2A 	 Eif2a 	82.19	955503.4	28	17	44.92	581
 A2RTL5 	 arginine/serine-rich coiled-coil protein 2 	 Rsrc2 	12.5	144803.4	7	5	17.74	434
 Q5XJY4 	" presenilins-associated rhomboid-like protein, mitochondrial "	 Parl 	5.13	52246.9	2	2	8.22	377
 Q64191 	 N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase isoform 1 	 Aga 	12.84	112029.8	8	3	17.34	346
 Q9D1R9 	 60S ribosomal protein L34 	 Rpl34 	2.44	83617.6	2	1	7.69	117
 Q80TH2 	 protein LAP2 isoform 1 	 Erbb2ip 	15.99	251291.6	10	8	9.17	1450
 Q7TPE5 	 probable RNA polymerase II nuclear localization protein SLC7A6OS 	 Slc7a6os 	3.8	147507.4	5	4	21.9	306
 Q5U452 	 TP53-regulating kinase 	 Trp53rka 	13.28	72172.5	3	2	10.66	244
 Q5RJG1 	 nucleolar protein 10 	 Nol10 	16.96	251476.4	10	5	10.48	687
 Q5U4D9 	 THO complex subunit 6 homolog 	 Thoc6 	13.58	330844.2	7	5	17.3	341
 Q921F2 	 TAR DNA-binding protein 43 isoform 2 	 Tardbp 	49.1	1519447.1	29	10	51.97	304
 Q6PGH1 	 protein BUD31 homolog isoform 2 	 Bud31 	16.64	168195.3	5	5	59.22	103
 A2AF47 	 dedicator of cytokinesis protein 11 	 Dock11 	44.08	1053145.7	36	28	16.84	2073
 Q5PSV9 	 mediator of DNA damage checkpoint protein 1 	 Mdc1 	50.66	743064.3	28	16	13.64	1708
 Q91XB0 	 three-prime repair exonuclease 1 	 Trex1 	5.66	33984	2	2	9.24	314
 Q8BIF9 	 zinc finger protein 787 	 Zfp787 	3.15	23700.1	2	1	3.41	381
 Q5NC05 	 transcription termination factor 2 	 Ttf2 	23.13	295364.7	13	12	13.36	1138
 Q5SUQ9 	 CST complex subunit CTC1 isoform a 	 Ctc1 	6.57	59075.8	3	2	2.06	1212
 Q7TMQ7 	 WD repeat-containing protein 91 	 Wdr91 	3.95	173065.3	6	4	8.29	748
 Q5EG47 	 5'-AMP-activated protein kinase catalytic subunit alpha-1 	 Prkaa1 	10.34	909020.8	6	5	14.85	559
 Q3UIR3 	 E3 ubiquitin-protein ligase DTX3L 	 Dtx3l 	24.4	327501.1	12	8	15.91	748
 Q5SSI6 	 U3 small nucleolar RNA-associated protein 18 homolog 	 Utp18 	12.51	189442	9	6	16.67	552
 A2AJG0 	 ribonuclease P protein subunit p38 	 Rpp38 	10.33	70117.1	3	3	18.93	280
 Q6PDL0 	 cytoplasmic dynein 1 light intermediate chain 2 	 Dync1li2 	12.99	243817	9	7	19.92	492
 Q6NVF9 	 cleavage and polyadenylation specificity factor subunit 6 isoform 2 	 Cpsf6 	30.46	264050.6	9	6	15.97	551
 Q6NSQ5 	 SP140 nuclear body protein family member 	 Sp140 	5.68	192142.8	7	7	17.23	534
 P60330 	 separin 	 Espl1 	2.67	130700	4	4	3.02	2118
 Q8VI33 	 transcription initiation factor TFIID subunit 9 	 Taf9 	17.88	109955.4	6	5	28.03	264
 P56394 	 cytochrome c oxidase copper chaperone 	 Cox17 	6.71	63780.3	2	1	25.4	63
 P17047 	 lysosome-associated membrane glycoprotein 2 isoform 1 precursor 	 Lamp2 	21.42	218970	9	5	11.57	415
 A2ADY9 	 protein DDI1 homolog 2 	 Ddi2 	14.52	330964.8	8	6	20.8	399
 Q5F2E7 	 nuclear fragile X mental retardation-interacting protein 2 	 Nufip2 	26.26	336649.4	10	6	11.27	692
 Q9QYC0 	 alpha-adducin isoform 1 	 Add1 	28.3	381942.2	15	7	12.93	735
 Q505D1 	 serine/threonine-protein phosphatase 6 regulatory ankyrin repeat 	 Ankrd28 	29.07	329961.5	12	10	15.29	1053
 Q504M2 	 pyruvate dehydrogenase 	 Pdp2 	4.38	117200.4	2	2	6.39	532
 Q5U3K5 	 rab-like protein 6 	 Rabl6 	7.45	130698.6	8	5	10.9	725
 P53569 	 CCAAT/enhancer-binding protein zeta 	 Cebpz 	16.39	182239.3	7	7	7.41	1052
 Q9WV98 	 mitochondrial import inner membrane translocase subunit Tim9 	 Timm9 	5.8	139130.3	5	2	29.21	89
 F8VQG7 	 NEDD4-binding protein 2 	 N4bp2 	7.14	1068646.3	14	11	9.36	1678
 Q4FZF3 	 probable ATP-dependent RNA helicase DDX49 	 Ddx49 	23.74	258737.7	8	5	15.42	480
 Q4VGL6 	 roquin-1 	 Rc3h1 	3.24	178029	7	4	5.58	1130
 P16951 	 cyclic AMP-dependent transcription factor ATF-2 isoform 1 	 Atf2 	7.21	76110	3	2	5.75	487
 Q8BIX3 	 ARL14 effector protein 	 Arl14ep 	9.87	118185.4	5	4	18.84	276
 O54786 	 DNA fragmentation factor subunit alpha isoform a 	 Dffa 	10.44	143238.3	4	3	14.2	331
 Q9ERF3 	 WD repeat-containing protein 61 isoform a 	 Wdr61 	67.02	923493.3	21	10	53.44	305
 P17182 	" enolase 1B, retrotransposed "	 Eno1b 	177.2	7719855.5	168	21	67.28	434
 Q8K019 	 bcl-2-associated transcription factor 1 isoform 1 	 Bclaf1 	18.54	478619.7	18	13	18.61	919
 F8VPR5 	 CREB-binding protein 	 Crebbp 	31.45	488562.5	18	13	8.44	2441
 Q3TV70 	 nuclear receptor 2C2-associated protein isoform 1 	 Nr2c2ap 	7.31	99552.4	2	2	17.14	140
 Q9CQV7 	 mitochondrial import inner membrane translocase subunit TIM14 	 Dnajc19 	3.42	26310.3	1	1	8.92	157
 Q4QY64 	 ATPase family AAA domain-containing protein 5 	 Atad5 	33.25	1049544.9	31	24	19.06	1826
